strategy_id,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh,delta_total_vs_6000_yuan,delta_emergency_vs_6000_yuan,delta_unused_vs_6000_kWh
T_q80_4800,1215835.0274486702,2860.2098116779052,1218695.2372603482,606.952843333331,174687.96981410496,-1184.534950649133,0.0,-1798.7474448559515
T_q80_4800,1121754.1159476698,27122.438542646127,1148876.554490316,4560.210112580245,245324.2095084218,-1118.443328774767,0.0,-1648.9653849876777
T_q80_4800,952161.5055532895,10536.793486521365,962698.2990398109,1892.6963188333375,314545.6007086623,-1338.8684880201472,0.0,-1899.013443850039
T_q80_4800,973414.0074348255,57099.32136974452,1030513.32880457,8960.169486499977,355600.7918633436,-1638.1839623630513,0.0,-2318.5802804506384
T_q80_4800,1331280.1930869343,124947.68204944753,1456227.8751363817,19507.063406666643,297962.50138180866,-2012.0238863746636,-66.93891291208274,-3751.7590446501854
T_q80_4800,1502697.633299593,196237.99760620648,1698935.6309057996,32919.65610188886,359279.7353659671,-2493.7559859557077,-112.68616356741404,-4830.110333732562
T_q80_4800,1279475.6923409998,17693.36368463961,1297169.0560256396,2709.3334354999915,356498.09201243625,-1730.085166160483,2.1827872842550278e-11,-2301.8520414341474
T_q80_4800,1141136.2521819097,25036.459064974722,1166172.7112468844,3890.533000825101,352321.21280781896,-2256.362515823217,0.0,-4215.705323045258
T_q80_4800,1136964.7249288473,753.9627065419,1137718.6876353892,135.25200966666267,285332.51298279216,-1106.1365691332612,0.0,-2241.273495808651
T_q80_4800,1270223.904354886,2347.04524980172,1272570.9496046877,439.4990264999956,162224.7324726338,-512.1458589008544,0.0,-1403.6069341563853
T_q80_4800,1678028.4147834918,74760.04251174016,1752788.4572952318,14642.27004143827,197867.84887674902,-603.1589825318661,28.902599156746874,-1968.0322465020581
T_q80_6000,1217019.5623993194,2860.2098116779052,1219879.7722109973,606.952843333331,176486.7172589609,0.0,0.0,0.0
T_q80_6000,1122872.5592764446,27122.438542646127,1149994.9978190907,4560.210112580245,246973.17489340948,0.0,0.0,0.0
T_q80_6000,953500.3740413097,10536.793486521365,964037.167527831,1892.6963188333375,316444.61415251234,0.0,0.0,0.0
T_q80_6000,975052.1913971886,57099.32136974452,1032151.5127669331,8960.169486499977,357919.37214379426,0.0,0.0,0.0
T_q80_6000,1333225.278060397,125014.62096235961,1458239.8990227564,19520.560515833313,301714.26042645884,0.0,0.0,0.0
T_q80_6000,1505078.7031219816,196350.6837697739,1701429.3868917553,32939.33069055553,364109.84569969965,0.0,0.0,0.0
T_q80_6000,1281205.7775071606,17693.36368463959,1298899.1411918001,2709.3334354999884,358799.9440538704,0.0,0.0,0.0
T_q80_6000,1143392.614697733,25036.459064974722,1168429.0737627076,3890.533000825101,356536.9181308642,0.0,0.0,0.0
T_q80_6000,1138070.8614979805,753.9627065419,1138824.8242045224,135.25200966666267,287573.7864786008,0.0,0.0,0.0
T_q80_6000,1270736.050213787,2347.04524980172,1273083.0954635886,439.4990264999956,163628.33940679018,0.0,0.0,0.0
T_q80_6000,1678660.4763651802,74731.13991258341,1753391.6162777636,14639.119436833336,199835.88112325108,0.0,0.0,0.0
T_q80_7200,1218196.3429357293,2860.2098116779052,1221056.5527474072,606.952843333331,177980.09521719138,1176.7805364099331,0.0,1493.3779582304705
T_q80_7200,1124164.7375535662,27122.438542646127,1151287.1760962124,4560.210112580245,248635.1661185103,1292.178277121624,0.0,1661.9912251008209
T_q80_7200,954832.7087056384,10536.793486521365,965369.5021921598,1892.6963188333375,318224.2001776152,1332.3346643287223,0.0,1779.586025102879
T_q80_7200,976742.7208876659,57099.32136974452,1033842.0422574104,8960.169486499977,360284.95853227365,1690.529490477289,0.0,2365.5863884793944
T_q80_7200,1335812.2968773458,125147.71676926428,1460960.01364661,19547.397053166645,306731.2522698745,2720.114623853704,133.09580690467556,5016.991843415657
T_q80_7200,1507569.2099986295,196585.9823984239,1704155.1923970534,32981.24247388886,368704.52079500485,2725.805505298078,235.2986286499945,4594.675095305196
T_q80_7200,1282862.271549012,17693.36368463961,1300555.6352336516,2709.3334354999915,360965.1108283951,1656.4940418514889,2.1827872842550278e-11,2165.166774524725
T_q80_7200,1145839.4959594938,25036.459064974708,1170875.9550244685,3890.533000825098,360515.2314600761,2446.8812617608346,-1.4551915228366852e-11,3978.313329211902
T_q80_7200,1139555.9743029897,753.9627065419,1140309.9370095315,135.25200966666267,289800.4871063786,1485.112805009121,0.0,2226.7006277777837
T_q80_7200,1271391.4038490478,2347.04524980172,1273738.4490988497,439.4990264999956,165038.99053230454,655.3536352610681,0.0,1410.651125514356
T_q80_7200,1679442.3197004618,74190.15481279547,1753632.4745132574,14537.857207166666,201826.27262242802,240.858235493768,-540.9850997879403,1990.3914991769416
