strategy_id,check,actual_value,threshold,passed
T_q80_4800,per_segment_physical_kWh,4.547473508864641e-12,1e-06,True
T_q80_4800,day_continuity_kWh,0.0,1e-09,True
T_q80_4800,energy_identity_kWh,8.811184670776129e-09,0.0001,True
T_q80_4800,reported_metric_max_abs_diff,1.862645149230957e-09,0.0001,True
T_q80_4800,daily_reconciliation_yuan_or_kWh,1.1641532182693481e-10,0.0001,True
T_q80_4800,event_energy_max_abs_diff_kWh,9.094947017729282e-13,1e-06,True
T_q80_4800,nominal_terminal_kWh,0.0,1e-06,True
T_q80_4800,nominal_reconstruction_violation_kWh,6.476739145000465e-10,1e-06,True
T_q80_4800,greedy_control_replay_kWh,5.4569682106375694e-12,1e-06,True
T_q80_4800,protection_independent_kWh,4.547473508864641e-13,1e-06,True
T_q80_6000,per_segment_physical_kWh,4.547473508864641e-12,1e-06,True
T_q80_6000,day_continuity_kWh,0.0,1e-09,True
T_q80_6000,energy_identity_kWh,1.609805622138083e-10,0.0001,True
T_q80_6000,reported_metric_max_abs_diff,1.862645149230957e-09,0.0001,True
T_q80_6000,daily_reconciliation_yuan_or_kWh,1.862645149230957e-09,0.0001,True
T_q80_6000,event_energy_max_abs_diff_kWh,9.094947017729282e-13,1e-06,True
T_q80_6000,nominal_terminal_kWh,0.0,1e-06,True
T_q80_6000,nominal_reconstruction_violation_kWh,7.796529644110706e-08,1e-06,True
T_q80_6000,greedy_control_replay_kWh,5.4569682106375694e-12,1e-06,True
T_q80_6000,protection_independent_kWh,4.547473508864641e-13,1e-06,True
T_q80_7200,per_segment_physical_kWh,4.547473508864641e-12,1e-06,True
T_q80_7200,day_continuity_kWh,0.0,1e-09,True
T_q80_7200,energy_identity_kWh,4.512003215495497e-09,0.0001,True
T_q80_7200,reported_metric_max_abs_diff,2.3283064365386963e-10,0.0001,True
T_q80_7200,daily_reconciliation_yuan_or_kWh,1.862645149230957e-09,0.0001,True
T_q80_7200,event_energy_max_abs_diff_kWh,9.094947017729282e-13,1e-06,True
T_q80_7200,nominal_terminal_kWh,0.0,1e-06,True
T_q80_7200,nominal_reconstruction_violation_kWh,4.190496838418767e-10,1e-06,True
T_q80_7200,greedy_control_replay_kWh,5.4569682106375694e-12,1e-06,True
T_q80_7200,protection_independent_kWh,4.547473508864641e-13,1e-06,True
