month,fixed_total_cost_yuan,free_total_cost_yuan,free_minus_fixed_yuan,fixed_emergency_kWh,free_emergency_kWh,delta_emergency_kWh
2025-02,1207720.0009119937,1204383.161672475,-3336.839239518522,968.7598478254304,1060.5171123154225,91.7572644899922
2025-03,1127620.5815486722,1126358.4411577014,-1262.1403909705386,4775.905488803542,5017.861853709252,241.9563649057102
2025-04,966067.0993213626,963424.4241193847,-2642.675201977898,6267.358365260611,6332.097536859173,64.73917159856137
2025-05,996415.8537187489,994072.2967906491,-2343.5569280998607,6533.748403817364,7966.008415947877,1432.2600121305131
2025-06,1409452.2558345334,1406461.6420055137,-2990.6138290198287,16085.479449174121,17173.485227062334,1088.0057778882133
2025-07,1493581.6851433513,1489804.2463113412,-3777.4388320102044,8064.5628407405675,9118.500785859262,1053.9379451186946
2025-08,1280645.8950872964,1275942.858228477,-4703.03685881932,4338.353777905685,4338.353777905687,1.8189894035458565e-12
2025-09,1151122.459154715,1148088.822538766,-3033.6366159490244,7752.478301516591,8597.509207237144,845.0309057205542
2025-10,1121994.6692264099,1120193.2658897229,-1801.403336686837,2781.9184967511032,2781.9184967511032,0.0
2025-11,1263781.4974674608,1262683.0165982211,-1098.4808692396327,274.53891780815025,274.53891780815025,0.0
2025-12,1709646.1707773602,1707925.5091194,-1720.6616579603178,10498.60828393041,10435.171399091449,-63.43688483896335
