subset,n,mean_d_net_kWh,mean_abs_d_net_kWh,mean_d_rho_kWh,mean_abs_d_rho_kWh,mean_d_protected_kWh,mean_abs_d_protected_kWh,p10_d_protected_kWh,p90_d_protected_kWh,max_abs_d_protected_kWh,max_abs_identity_residual_kWh,truncated_share
overall,121242,-4.76188341562685,12.363664638882325,5.185574512818247,12.458311343480851,0.4236910971913977,5.15230161008434,-8.479112286706282,9.670893937827726,94.29827207341253,2.2737367544323206e-13,0.030591709143696078
publication_00,48096,-5.265505489121996,14.549364419545705,6.037177688101633,14.539394512307364,0.7716721989796362,7.274060939636263,-12.45106901710393,14.458665660045163,94.29827207341253,2.2737367544323206e-13,0.03366184298070526
publication_06,36406,-3.115463653119167,14.563641386803718,3.4293522359614106,14.743620541280933,0.3138885828422441,5.4441113990338055,-9.728945964863783,10.537453623045984,51.569828626299795,2.2737367544323206e-13,0.029967587760259297
publication_12,24382,-8.892189513314776,10.54327944076581,9.008150132526918,10.758098614954365,0.11596061921214251,2.8239829056044385,-4.901345420368478,5.449687145941562,39.06194738972033,2.2737367544323206e-13,0.02653596915757526
publication_18,12358,0.49687792494563643,0.9677155989782016,-0.49687546832080626,0.9810370275675114,2.4566248302187187e-06,0.6286976905184973,-0.0007535714285950232,0.0005368452380821528,28.731415556379716,2.2737367544323206e-13,0.028483573393753035
boundary_first_hour,7682,3.6876791091535854,12.73679304461083,-3.64351424598319,13.123309674890299,0.0441648631703958,4.542353035343552,-8.231232842261937,9.119532053571467,46.98903968882195,1.1368683772161603e-13,0.08799791720906014
boundary_interior,113226,-5.349204422958937,12.374820129463822,5.7998949138956855,12.449943643542984,0.4506904909367501,5.208883081556677,-8.52677743511029,9.74664241959691,94.29827207341253,2.2737367544323206e-13,0.026787133697207356
boundary_midnight_tail,334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truncated_rows,3709,7.45566479883766,7.45566479883766,-13.378041692194596,13.439687316632433,-5.922376893356933,7.345782471210793,-19.44103156860866,0.07164047619050962,49.62878794642859,2.2737367544323206e-13,1.0
non_truncated_rows,117533,-5.147433740450082,12.518546854147194,5.771388305577666,12.427341969054782,0.6239545651275838,5.083081727039425,-7.911940248362907,9.875807596949887,94.29827207341253,2.2737367544323206e-13,0.0
generation_subset,63029,-9.752350480014146,23.177292163908014,10.668758392938873,23.216632501549512,0.9164079129247271,9.448101369183085,-14.332535607513273,15.91903312500005,94.29827207341253,2.2737367544323206e-13,0.010709356010725223
truncation_binding_only,3709,7.45566479883766,7.45566479883766,-13.378041692194596,13.439687316632433,-5.922376893356933,7.345782471210793,,,49.62878794642859,2.2737367544323206e-13,1.0
