group,date,update_hour,segment_index,interval_start,q_nominal_kWh,state_nominal_kWh
B2,2025-02-01,0,0,2025-02-01 00:10:00,1286.7704003351214,5553.4534004417355
B2,2025-02-01,0,1,2025-02-01 00:20:00,1297.367031192705,6303.4534004417355
B2,2025-02-01,0,2,2025-02-01 00:30:00,1304.606052007715,7053.453400441736
B2,2025-02-01,0,3,2025-02-01 00:40:00,1304.1257421914345,7803.453400441736
B2,2025-02-01,0,4,2025-02-01 00:50:00,1306.5522664609991,8553.453400441736
B2,2025-02-01,0,5,2025-02-01 01:00:00,494.01820161461194,9303.453400441736
B2,2025-02-01,0,6,2025-02-01 01:10:00,500.5733759215923,9303.453400441736
B2,2025-02-01,0,7,2025-02-01 01:20:00,475.4419270478692,9303.453400441736
B2,2025-02-01,0,8,2025-02-01 01:30:00,1307.0922038894391,9303.453400441736
B2,2025-02-01,0,9,2025-02-01 01:40:00,494.913732198216,10050.0
B2,2025-02-01,0,10,2025-02-01 01:50:00,511.80398396378405,10050.0
B2,2025-02-01,0,11,2025-02-01 02:00:00,527.7268794137424,10050.0
B2,2025-02-01,0,12,2025-02-01 02:10:00,493.4204349535627,10050.0
B2,2025-02-01,0,13,2025-02-01 02:20:00,509.9211510263,10050.0
B2,2025-02-01,0,14,2025-02-01 02:30:00,526.964467153583,10050.0
B2,2025-02-01,0,15,2025-02-01 02:40:00,509.5119204438972,10050.0
B2,2025-02-01,0,16,2025-02-01 02:50:00,531.5256190539055,10050.0
B2,2025-02-01,0,17,2025-02-01 03:00:00,551.5807639666189,10050.0
B2,2025-02-01,0,18,2025-02-01 03:10:00,548.8706277285042,10050.0
B2,2025-02-01,0,19,2025-02-01 03:20:00,544.9564373725609,10050.0
B2,2025-02-01,0,20,2025-02-01 03:30:00,531.8296633019006,10050.0
B2,2025-02-01,0,21,2025-02-01 03:40:00,514.3497551454577,10050.0
B2,2025-02-01,0,22,2025-02-01 03:50:00,525.1401987699934,10050.0
B2,2025-02-01,0,23,2025-02-01 04:00:00,557.2734016320471,10050.0
B2,2025-02-01,0,24,2025-02-01 04:10:00,553.4983719204369,10050.0
B2,2025-02-01,0,25,2025-02-01 04:20:00,555.1513455018985,10050.0
B2,2025-02-01,0,26,2025-02-01 04:30:00,561.5752676059519,10050.0
B2,2025-02-01,0,27,2025-02-01 04:40:00,564.3463207771947,10050.0
B2,2025-02-01,0,28,2025-02-01 04:50:00,566.3062534103484,10050.0
B2,2025-02-01,0,29,2025-02-01 05:00:00,547.2175599992688,10050.0
B2,2025-02-01,0,30,2025-02-01 05:10:00,568.3316381778976,10050.0
B2,2025-02-01,0,31,2025-02-01 05:20:00,595.1239421334479,10050.0
B2,2025-02-01,0,32,2025-02-01 05:30:00,591.6888129171092,10050.0
B2,2025-02-01,0,33,2025-02-01 05:40:00,1410.2031069412042,10050.0
