group,date,update_hour,kind,objective_yuan,mip_gap,seconds,max_violation_kWh,n_intervals,context
B2,2025-02-01,0,plan,24206.021637351605,0.0,0.020321199903264642,2.035408878479454e-12,144,B2 2025-02-01 00:00 plan
B2,2025-02-01,6,revision,12213.447761402786,0.0,0.01786840008571744,1.0231815394945443e-12,109,B2 2025-02-01 06:00
B2,2025-02-01,12,revision,12252.959935523122,0.0,0.03266480006277561,1.5347723092418164e-12,73,B2 2025-02-01 12:00
B2,2025-02-01,18,revision,5499.960932494916,0.0,0.007505699992179871,2.1600499167107046e-12,37,B2 2025-02-01 18:00
B2,2025-02-02,0,plan,59621.30955904313,0.0,0.024276099866256118,9.094947017729282e-13,144,B2 2025-02-02 00:00 plan
B2,2025-02-02,6,revision,43983.94142104326,0.0,0.012248700018972158,1.2505552149377763e-12,109,B2 2025-02-02 06:00
B2,2025-02-02,12,revision,31967.775502380413,0.0,0.014480599900707603,9.094947017729282e-13,73,B2 2025-02-02 12:00
B2,2025-02-02,18,revision,13577.558975011996,0.0,0.012052999809384346,1.2505552149377763e-12,37,B2 2025-02-02 18:00
B2,2025-02-03,0,plan,60544.294339114495,0.0,0.014049299992620945,7.958078640513122e-13,144,B2 2025-02-03 00:00 plan
B2,2025-02-03,6,revision,44241.50773637538,0.0,0.021837899927049875,1.1368683772161603e-12,109,B2 2025-02-03 06:00
B2,2025-02-03,12,revision,32476.63240159607,0.0,0.010467599844560027,7.958078640513122e-13,73,B2 2025-02-03 12:00
B2,2025-02-03,18,revision,13423.677320762246,0.0,0.008443099912256002,1.3642420526593924e-12,37,B2 2025-02-03 18:00
B2,2025-02-04,0,plan,60607.562894716226,0.0,0.02081810007803142,7.958078640513122e-13,144,B2 2025-02-04 00:00 plan
B2,2025-02-04,6,revision,44841.661159954965,0.0,0.023562399903312325,6.59472476627343e-13,109,B2 2025-02-04 06:00
B2,2025-02-04,12,revision,32166.45323467293,0.0,0.014717099955305457,7.389644451905042e-13,73,B2 2025-02-04 12:00
B2,2025-02-04,18,revision,12692.873518543125,0.0,0.007627000100910664,2.7284841053187847e-12,37,B2 2025-02-04 18:00
B2,2025-02-05,0,plan,56686.03131329291,0.0,0.026434000115841627,7.958078640513122e-13,144,B2 2025-02-05 00:00 plan
B2,2025-02-05,6,revision,42774.055218309535,0.0,0.02924209996126592,6.67651119575415e-09,109,B2 2025-02-05 06:00
B2,2025-02-05,12,revision,30475.472153353003,0.0,0.022448200033977628,8.335554468885675e-13,73,B2 2025-02-05 12:00
B2,2025-02-05,18,revision,12817.113594654362,0.0,0.008148800116032362,4.547473508864641e-13,37,B2 2025-02-05 18:00
B2,2025-02-06,0,plan,60568.31178512721,0.0,0.01164949988014996,7.958078640513122e-13,144,B2 2025-02-06 00:00 plan
B2,2025-02-06,6,revision,44105.3806539283,0.0,0.011543800123035908,1.8189894035458565e-12,109,B2 2025-02-06 06:00
B2,2025-02-06,12,revision,31901.438789756237,1.1403807931885167e-16,0.01500430004671216,9.094947017729282e-13,73,B2 2025-02-06 12:00
B2,2025-02-06,18,revision,12766.94556723493,0.0,0.007580900099128485,6.821210263296962e-13,37,B2 2025-02-06 18:00
B2,2025-02-07,0,plan,24359.895312176443,0.0,0.023561800131574273,3.885780586188048e-12,144,B2 2025-02-07 00:00 plan
B2,2025-02-07,6,revision,11571.832198786371,0.0,0.02337519987486303,7.068419923446831e-11,109,B2 2025-02-07 06:00
B2,2025-02-07,12,revision,10709.465568357955,0.0,0.025226099882274866,1.2505552149377763e-12,73,B2 2025-02-07 12:00
B2,2025-02-07,18,revision,4983.674259255741,0.0,0.006561599904671311,7.958078640513122e-13,37,B2 2025-02-07 18:00
B2,2025-02-08,0,plan,19528.45697481883,1.8629115509652106e-16,0.03388700005598366,1.5631940186722204e-12,144,B2 2025-02-08 00:00 plan
B2,2025-02-08,6,revision,9626.230122210996,0.0,0.03038350003771484,2.5011104298755527e-12,109,B2 2025-02-08 06:00
B2,2025-02-08,12,revision,9432.701833238894,3.856772822259924e-16,0.040386600187048316,3.737626507530204e-12,73,B2 2025-02-08 12:00
B2,2025-02-08,18,revision,5040.969924152022,0.0,0.007604100042954087,7.958078640513122e-13,37,B2 2025-02-08 18:00
B2,2025-02-09,0,plan,58488.55180683935,0.0,0.011946399929001927,7.958078640513122e-13,144,B2 2025-02-09 00:00 plan
B2,2025-02-09,6,revision,43401.20670101758,0.0,0.0261225001886487,1.0231815394945443e-12,109,B2 2025-02-09 06:00
B2,2025-02-09,12,revision,30323.876691464004,0.0,0.014024000149220228,4.440892098500626e-12,73,B2 2025-02-09 12:00
B2,2025-02-09,18,revision,12999.922471214575,0.0,0.011513799894601107,2.9558577807620168e-12,37,B2 2025-02-09 18:00
B2,2025-02-10,0,plan,55429.570806826734,0.0,0.01275360002182424,9.094947017729282e-13,144,B2 2025-02-10 00:00 plan
