group,date,update_hour,published_at,remaining_intervals,state_at_update_kWh,old_ordinary_yuan,old_adjustment_yuan,old_predicted_emergency_yuan,old_predicted_total_yuan,new_ordinary_yuan,new_adjustment_yuan,new_predicted_emergency_yuan,new_predicted_total_yuan,delta_predicted_yuan,accepted,revision_kWh
B2,2025-02-01,6,2025-02-01 06:00,109,10222.73523715796,12786.063608459926,0.0,0.0,12786.063608459926,10511.440503904245,1137.3115522778403,0.0,11648.752056182086,-1137.3115522778407,True,4048.963978052108
B2,2025-02-01,12,2025-02-01 12:00,73,6722.503925491295,10511.440503904247,1137.3115522778403,1606.8421739868752,13255.594230168963,10724.388577481039,1030.8375154894434,0.0,11755.226092970483,-1500.3681371984803,True,275.60440221207966
B2,2025-02-01,18,2025-02-01 18:00,37,10800.0,5294.407860613016,0.25869799999998344,0.0,5294.666558613016,5294.407860613018,0.25869800000092796,0.0,5294.666558613018,2.7284841053187847e-12,False,1.5560885913146194e-12
B2,2025-02-02,6,2025-02-02 06:00,109,10800.0,43909.95367733494,0.0,112.97372800194339,44022.92740533688,41776.57387181739,1089.2846483591645,0.0,42865.85852017655,-1157.0688851603263,True,3184.489697101721
B2,2025-02-02,12,2025-02-02 12:00,73,7031.204886720551,31074.113919973228,670.0096581277451,1133.8276781127054,32877.95125621368,30118.729570664927,1230.28123958818,0.0,31349.01081025311,-1528.940445960572,True,1888.8614882188479
B2,2025-02-02,18,2025-02-02 18:00,37,10800.0,13352.34275814364,1.649823333333364,0.0,13353.992581476974,13352.342758143639,1.6498233333353503,0.0,13353.992581476974,0.0,False,5.286437954055145e-12
B2,2025-02-03,6,2025-02-03 06:00,109,10800.0,44984.52498100933,0.0,2.1576864888779457,44986.68266749821,41581.22546194617,1701.982011083529,0.0,43283.207473029695,-1703.4751944685122,True,4724.669870425894
B2,2025-02-03,12,2025-02-03 12:00,73,6152.13530384076,31432.347352753695,977.5802732476068,468.858757346152,32878.786383347455,30546.68936428536,1420.0770159298274,0.0,31966.766380215187,-912.0200031322674,True,1444.2417480641047
B2,2025-02-03,18,2025-02-03 18:00,37,10800.0,13209.483415310619,1.649823333333364,0.0,13211.133238643952,13209.483415310617,1.6498233333349988,2.4306245904881506e-13,13211.133238643952,0.0,False,4.945377440890297e-12
B2,2025-02-04,6,2025-02-04 06:00,109,10800.0,45191.330820126066,0.0,1354.6230719311673,46545.95389205723,42296.51052673103,1708.3048559259414,0.0,44004.81538265697,-2541.1385094002617,True,4552.483102084732
B2,2025-02-04,12,2025-02-04 12:00,73,6819.451738421716,30715.018530339865,1531.581482544663,91.1836541115332,32337.78366699606,29427.60769769278,2175.2868988682067,0.0,31602.894596560986,-734.8890704350742,True,1870.1275026128856
B2,2025-02-04,18,2025-02-04 18:00,37,10754.505149147237,12473.773071995001,1.6498233333333396,285.63487159398005,12761.057766922315,12526.5147976401,28.02068615588322,0.0,12554.535483795984,-206.52228312633088,True,40.945365767486805
B2,2025-02-05,6,2025-02-05 06:00,109,10800.0,41203.188585981865,0.0,4301.560681661195,45504.74926764306,41661.28256396303,449.0212297899137,0.0,42110.303793752944,-3394.4454738901186,True,1199.498824574218
B2,2025-02-05,12,2025-02-05 12:00,73,6040.154863028134,30573.77398813611,160.163787757075,0.0,30733.937775893184,29279.32506270647,707.0349157570715,0.0,29986.35997846354,-747.5777974296434,True,1754.6152879779665
B2,2025-02-05,18,2025-02-05 18:00,37,10743.631972766801,12539.618688561113,0.4329450000000194,353.9010221809047,12893.952655742018,12604.965578852289,33.10639014558736,0.0,12638.071968997876,-255.8806867441417,True,50.73122450987864
B2,2025-02-06,6,2025-02-06 06:00,109,10800.0,45075.679525420805,0.0,1.2940394020546737,45076.97356482286,41242.15311546168,1916.9624677556053,1.1103111319243908e-11,43159.115583217295,-1917.8579816055644,True,5251.803570965998
B2,2025-02-06,12,2025-02-06 12:00,73,6380.167317794951,30705.375233445156,1505.62395028608,1.1103111319243908e-11,32210.99918373125,28816.398433626124,2449.9130874195494,0.0,31266.311521045674,-944.6876626855737,True,2590.9346458215978
B2,2025-02-06,18,2025-02-06 18:00,37,10674.49137134833,12474.176316288414,0.4329450000000073,787.9933741266492,13262.602635415064,12619.677214398009,73.18339405479773,0.0,12692.860608452807,-569.7420269622562,True,112.95776578650373
