group,date,update_hour,kind,objective_yuan,mip_gap,seconds,max_violation_kWh,n_intervals,context
B2,2025-02-01,0,plan,22937.326869132547,0.0,0.022065900033339858,2.035408878479454e-12,144,B2 2025-02-01 00:00 plan
B2,2025-02-01,6,revision,11648.752056182087,0.0,0.019168300088495016,8.526512829121202e-13,109,B2 2025-02-01 06:00
B2,2025-02-01,12,revision,11755.226092970484,0.0,0.015592699870467186,8.526512829121202e-13,73,B2 2025-02-01 12:00
B2,2025-02-01,18,revision,5294.6665586130175,0.0,0.007776400074362755,9.094947017729282e-13,37,B2 2025-02-01 18:00
B2,2025-02-02,0,plan,58214.33235704867,0.0,0.024794699857011437,8.641235874999136e-11,144,B2 2025-02-02 00:00 plan
B2,2025-02-02,6,revision,42865.85852017655,0.0,0.020937700057402253,9.43689570931383e-12,109,B2 2025-02-02 06:00
B2,2025-02-02,12,revision,31349.010810253105,0.0,0.014875999884679914,1.4802973661668755e-12,73,B2 2025-02-02 12:00
B2,2025-02-02,18,revision,13353.992581476972,0.0,0.007636900059878826,1.1368683772161603e-12,37,B2 2025-02-02 18:00
B2,2025-02-03,0,plan,59263.82721499316,0.0,0.025330800097435713,7.958078640513122e-13,144,B2 2025-02-03 00:00 plan
B2,2025-02-03,6,revision,43283.20747302968,0.0,0.026859200093895197,4.5186484100450077e-10,109,B2 2025-02-03 06:00
B2,2025-02-03,12,revision,31966.76638021519,0.0,0.019565099850296974,1.6653345369377348e-11,73,B2 2025-02-03 12:00
B2,2025-02-03,18,revision,13211.133238643952,0.0,0.0078747000079602,1.4400332778071363e-12,37,B2 2025-02-03 18:00
B2,2025-02-04,0,plan,59354.42972258574,0.0,0.020271799992769957,7.958078640513122e-13,144,B2 2025-02-04 00:00 plan
B2,2025-02-04,6,revision,44004.81538265697,0.0,0.022473099874332547,2.1723363848498897e-10,109,B2 2025-02-04 06:00
B2,2025-02-04,12,revision,31602.894596560986,0.0,0.015124899800866842,7.958078640513122e-13,73,B2 2025-02-04 12:00
B2,2025-02-04,18,revision,12554.535483795986,0.0,0.011914099799469113,7.958078640513122e-13,37,B2 2025-02-04 18:00
B2,2025-02-05,0,plan,55574.94584383623,0.0,0.014020599890500307,1.0231815394945443e-12,144,B2 2025-02-05 00:00 plan
B2,2025-02-05,6,revision,42110.303793752944,0.0,0.022562499856576324,7.586524001605237e-12,109,B2 2025-02-05 06:00
B2,2025-02-05,12,revision,29986.359978463544,0.0,0.015132199972867966,2.035408878479454e-12,73,B2 2025-02-05 12:00
B2,2025-02-05,18,revision,12638.071968997878,0.0,0.008185300044715405,1.0231815394945443e-12,37,B2 2025-02-05 18:00
