strategy_id,month,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
L80,2025-02,1162441.78583246,39904.86727238767,2309.787536812044,1204656.4406416598
L80,2025-03,1071151.3684397985,39827.90351771759,3014.5322113832253,1113993.8041688993
L80,2025-04,897315.1559407671,29303.89421258371,0.0,926619.0501533508
L80,2025-05,916308.5670872001,29057.283489434776,31763.30369624096,977129.1542728759
L80,2025-06,1246999.2547548243,47060.01705678832,12910.230284547179,1306969.5020961598
L80,2025-07,1415438.5255434946,53578.255783161025,21091.09077762602,1490107.8721042818
L80,2025-08,1229421.7034251986,40786.97664502055,7397.536780041545,1277606.2168502605
L80,2025-09,1069102.5663299737,37752.57654356183,14852.250403076836,1121707.3932766125
L80,2025-10,1070550.1175910614,43432.700147207994,3018.36453952913,1117001.1822777984
L80,2025-11,1238232.9413600606,31630.508421462127,1400.6834932977383,1271264.1332748206
L80,2025-12,1613653.1824679815,39531.12216059439,32073.212341859424,1685257.5169704352
L75,2025-02,1150265.2741567304,37315.034752629275,6603.923006013687,1194184.2319153734
L75,2025-03,1060489.8352507763,36970.80977525529,7388.797844387481,1104849.442870419
L75,2025-04,887923.8929334566,25462.088128740957,135.6325626213452,913521.6136248189
L75,2025-05,901386.3764967145,25885.48020060311,39917.978999401945,967189.8356967196
L75,2025-06,1228605.046545368,43006.29655916727,17556.40010665533,1289167.7432111904
L75,2025-07,1395904.873847301,51808.53303543965,28354.961517445245,1476068.3684001858
L75,2025-08,1212185.8122886969,36484.216647956535,10649.462973437126,1259319.4919100907
L75,2025-09,1052686.3037410849,35256.71667002828,25516.66073734039,1113459.6811484536
L75,2025-10,1057972.036990707,39357.96069975887,8549.562468825992,1105879.560159292
L75,2025-11,1226214.032226889,28907.122290840438,2254.4150184160976,1257375.5695361455
L75,2025-12,1597678.579248394,35809.015435603185,39318.90576316668,1672806.5004471638
C80,2025-02,1163340.6885970114,40374.83730665985,1318.6465647240027,1205034.1724683952
C80,2025-03,1072108.3152092216,40056.42663653963,2657.308351217762,1114822.050196979
C80,2025-04,897586.9174487818,29992.236509349867,0.0,927579.1539581316
C80,2025-05,915632.181567953,32907.567596551955,30395.619821521912,978935.3689860268
C80,2025-06,1244885.8390128817,45381.01909708539,13375.63428041228,1303642.4923903795
C80,2025-07,1417719.5581399673,57529.18769935787,21104.17291675964,1496352.918756085
C80,2025-08,1231060.0677995891,39233.94380738284,7395.237320974375,1277689.2489279464
C80,2025-09,1067297.9573094812,39861.27817455239,15789.431703427877,1122948.6671874614
C80,2025-10,1073378.6244200012,43145.85970520247,3044.172167917916,1119568.6562931214
C80,2025-11,1236213.5475927584,35734.15695319241,1574.230101973444,1273521.9346479243
C80,2025-12,1612187.6362831905,40657.72251259548,39395.446793673305,1692240.8055894591
C75,2025-02,1151682.2575358665,38215.43758019735,3260.0883344709373,1193157.7834505348
C75,2025-03,1061603.113813166,37705.854020215374,6935.270142303039,1106244.2379756845
C75,2025-04,887781.3418894577,26386.926090063338,160.17247931432277,914328.4404588352
C75,2025-05,901030.9772080572,28838.208056129577,37756.252337097845,967625.4376012846
C75,2025-06,1226857.834647226,42471.96382906319,18114.963390572713,1287444.7618668617
C75,2025-07,1397471.9947736687,55122.45844109172,28747.02852666433,1481341.4817414249
C75,2025-08,1213424.5437934508,34901.2007705382,10215.670165439184,1258541.414729428
C75,2025-09,1051040.823748866,36873.710929421395,30655.317623890936,1118569.8523021783
C75,2025-10,1059913.532958085,39880.46774844686,8465.253563364346,1108259.2542698963
C75,2025-11,1224735.2285491403,31805.323652878647,2339.336704886216,1258879.8889069052
C75,2025-12,1595445.2224938697,37054.03329176275,48185.33001252409,1680684.5857981567
