date,accepted,n_slots,old_versions,mean_abs_delta_pv_kW,max_abs_delta_pv_kW,mean_abs_delta_net_kWh,mean_abs_delta_rho_kWh,mean_abs_delta_protected_kWh,max_abs_delta_protected_kWh
2025-02-01,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-09,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-22,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-16,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-22,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-30,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-05,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-06,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-12,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-13,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-17,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-18,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-19,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-20,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-21,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-22,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-23,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-25,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-26,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-27,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-28,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-29,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-02,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-04,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-05,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-06,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-07,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-08,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-09,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-10,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-11,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-12,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-14,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-15,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-16,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-17,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-18,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-19,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-20,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-22,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-24,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-25,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-26,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-27,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-28,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-29,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-30,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-31,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-02,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-03,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-04,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-05,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-06,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-07,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-08,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-09,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-10,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-11,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-12,True,37,12:00,0.008724324324325483,0.049316666666697984,0.0014540540540608432,0.0,0.0014540540540577706,0.008219444444421242
2025-06-13,True,37,12:00,0.012210810810811861,0.06902500000002476,0.002035135135134329,6.058558558932516e-05,0.0020957207207205814,0.011504166666782112
2025-06-14,True,37,12:00,0.02513513513515481,0.14208333333347412,0.00418918918919767,0.00016156156156334013,0.004027627627635866,0.023680555555642968
2025-06-15,True,37,12:00,0.010443243243243347,0.05903333333334615,0.0017405405405368681,0.00014538288288607677,0.0017408783783815346,0.009838888888907604
2025-06-16,True,37,12:00,0.08438918918919257,0.4770333333333667,0.014064864864867804,0.00014538288288607677,0.014089076576575231,0.07950555555555638
2025-06-17,True,37,12:00,0.02943243243242259,0.16637500000000038,0.004905405405406168,8.47972972967516e-05,0.004990202702702919,0.027729166666745186
2025-06-18,True,37,12:00,0.06682702702702933,0.37775833333336095,0.011137837837828875,0.00042545045044863473,0.011393693693680934,0.06295972222210366
2025-06-19,True,37,12:00,0.07949189189189552,0.4493500000000008,0.013248648648659827,0.0017942942942982955,0.011567717717728531,0.07489166666687197
2025-06-20,True,37,12:00,0.024000000000016994,0.13566666666672234,0.004000000000011418,0.00034065315315188316,0.004340653153160228,0.022881944444407054
2025-06-21,True,37,12:00,0.06353513513512701,0.35914999999999964,0.010589189189193509,0.0008019144144130936,0.010859271771775295,0.059858333333409064
2025-06-22,True,37,12:00,0.0,0.0,0.0,0.002419707207207933,0.002419707207207933,0.059858333333409064
2025-06-23,True,37,12:00,0.03376216216216444,0.1908500000000002,0.005627027027031004,0.0025164039039011826,0.00569883633634593,0.028050000000121145
2025-06-24,True,37,12:00,0.10407567567567982,0.5883166666666995,0.017345945945939512,0.0022504879879847606,0.016167454954951165,0.09805277777775245
2025-06-25,True,37,12:00,0.05623783783782569,0.31789999999999985,0.009372972972967644,0.0022263138138122166,0.008590277777769287,0.052983333333372684
2025-06-26,True,37,12:00,0.0029837837837884316,0.01686666666670078,0.000497297297304588,0.0022263138138122166,0.0025302177177180156,0.05704722222230885
2025-06-27,True,37,12:00,0.01868108108107502,0.10559999999999903,0.0031135135135093297,0.004905968468466273,0.006874737237233824,0.06179444444444471
2025-06-28,True,37,12:00,0.054081081081071174,0.30570833333333347,0.009013513513507774,0.004905968468466273,0.010971959459460641,0.0830180555554989
2025-06-29,True,37,12:00,0.011416216216217485,0.06453333333334399,0.001902702702701341,0.004905968468466273,0.005751614114117458,0.07061388888894271
2025-06-30,True,37,12:00,0.015032432432458026,0.08497500000008529,0.0025054054054002386,0.0031535285285329067,0.004016816816810869,0.042576388889074224
2025-07-01,True,37,12:00,0.00012972972972843445,0.00073333333340031,2.1621621622339386e-05,0.0026801426426505417,0.0026909534534647842,0.05310555555558949
2025-07-02,True,37,12:00,0.0,0.0,0.0,0.0031486111111222715,0.0031486111111222715,0.052983333333372684
2025-07-03,True,37,12:00,0.0,0.0,0.0,0.0031486111111222715,0.0031486111111222715,0.052983333333372684
2025-07-04,True,37,12:00,0.0,0.0,0.0,0.0018330330330406247,0.0018330330330406247,0.03613888888901329
2025-07-05,True,37,12:00,0.0,0.0,0.0,0.0012618993994022742,0.0012618993994022742,0.017600000000015825
2025-07-06,True,37,12:00,0.0,0.0,0.0,0.0009480480480490498,0.0009480480480490498,0.017600000000015825
2025-07-07,True,37,12:00,0.0,0.0,0.0,0.001928003003006386,0.0019280030030094585,0.03613888888901329
2025-07-08,True,37,12:00,0.0,0.0,0.0,0.0020826576576659186,0.002082657657672064,0.036138888889126974
2025-07-09,True,37,12:00,0.0,0.0,0.0,0.0017375375375434953,0.0017375375375434953,0.03613888888901329
2025-07-10,True,37,12:00,0.0,0.0,0.0,0.00202807807808792,0.00202807807808792,0.03613888888901329
2025-07-11,True,37,12:00,0.0,0.0,0.0,0.0012643018018098774,0.0012643018018098774,0.019374999999968168
2025-07-12,True,37,12:00,0.0,0.0,0.0,0.0015965465465489763,0.0015965465465489763,0.019374999999968168
2025-07-13,True,37,12:00,0.0,0.0,0.0,0.0006656156156199162,0.0006656156156199162,0.017600000000015825
2025-07-14,True,37,12:00,0.0,0.0,0.0,0.0035936936936970007,0.0035936936936970007,0.052983333333372684
2025-07-15,True,37,12:00,0.0,0.0,0.0,0.00034354354354675435,0.000343543543549827,0.0068444444443684915
2025-07-16,True,37,12:00,0.0,0.0,0.0,0.0003228228228291866,0.00032282282283225915,0.006166666666786114
2025-07-17,True,37,12:00,0.0,0.0,0.0,0.0005078078078121187,0.0005078078078090461,0.0068444444443684915
2025-07-18,True,37,12:00,0.0,0.0,0.0,0.0001906906906936923,0.00019069069069061967,0.00616666666655874
2025-07-19,True,37,12:00,0.0,0.0,0.0,2.4924924925496294e-05,2.4924924925496294e-05,0.0007666666667773825
2025-07-20,True,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-21,False,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-22,False,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-23,False,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-24,False,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-25,False,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-26,True,37,12:00,0.0,0.0,0.0,0.00018588588588155854,0.00018588588588155854,0.0068444444443684915
2025-07-27,True,37,12:00,0.0,0.0,0.0,0.00018588588588155854,0.00018588588588155854,0.0068444444443684915
2025-07-28,True,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-29,False,37,12:00,0.0,0.0,0.0,9.009008986263448e-07,9.009008986263448e-07,3.333333324917476e-05
2025-07-30,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-02,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-03,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-04,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-05,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-06,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-07,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-08,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-09,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-11,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-12,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-13,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-14,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-15,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-16,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-17,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-18,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-19,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-21,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-22,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-23,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-26,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-27,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-28,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-30,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-31,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-04,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-05,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-06,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-08,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-09,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-10,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-12,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-13,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-14,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-15,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-17,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-18,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-19,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-20,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-21,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-23,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-25,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-26,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-27,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-28,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-30,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-03,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-04,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-05,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-07,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-08,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-09,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-10,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-11,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-15,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-18,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-19,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-21,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-23,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-24,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-28,False,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,True,37,12:00,0.0,0.0,0.0,0.0,0.0,0.0
