a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,delta_pv_mae_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_protected_bias_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_protected_bias_kWh,delta_protected_bias_kWh,group_type,month,clock,boundary,is_generation
48096,153.12105020003096,310.6537725092503,-1.9819643203163286,48096,40.942142348019466,60.5652893833733,0.2378171322125066,48096,207.47110994538698,394.21186605842445,-29.6762228147871,48096,48.499739368595236,73.18220822238477,-4.377892616865954,54.35005974535602,-27.69425849447077,7.55759702057577,-4.61570974907846,0.7922280439121756,6.552073840609832,48.929581505263464,42.61532479686615,42.377507664653635,0.7895874916833001,6.798816524516291,54.8245527906863,43.64784364930406,48.02573626617001,5.648228601516372,,,,,
4032,111.89129446919698,232.09377041537402,-9.767433857694098,4032,31.822204450760537,46.13142658480119,-7.767059345071451,4032,179.06938874421297,340.76496880585165,-66.60507492559525,4032,41.30959352831166,63.362587163362186,-17.23999952305498,67.178094275016,-56.837641067901146,9.487389077551121,-9.472940177983528,0.8035714285714286,4.13678429522879,40.11349392627073,28.209650285970483,35.97670963104194,0.8120039682539683,3.949381408277331,51.01490236301439,29.825521431682088,47.06552095473706,11.088811323695118,month,2025-02,,,
4464,156.0874639383712,319.45612240836783,-4.22289947037198,4464,37.45702591636013,57.96513135107878,2.176678665291741,4464,223.2006910916965,421.6908278981753,-76.85391857078854,4464,46.051259648344,72.07967047115879,-9.928491184777682,67.11322715332531,-72.63101910041655,8.59423373198387,-12.105169850069423,0.7549283154121864,7.795226980508524,39.88357507935511,34.26502676413833,32.08834809884658,0.7618727598566308,6.970476029362446,47.781412561464535,30.882445347324406,40.81093653210209,8.72258843325551,month,2025-03,,,
4320,181.32772700452097,355.35854839071214,0.34696936596404165,4320,40.438327910448976,63.45626202059821,5.419626989831652,4320,224.04804036265432,398.8815400813177,-7.00097821759259,4320,45.89306248837403,69.00158680901117,4.19496905923888,42.72031335813335,-7.347947583556632,5.454734577925052,-1.2246579305927723,0.7921296296296296,6.573030955542515,46.82576702456218,45.672363058851325,40.25273606901967,0.7587962962962963,8.39121754362366,46.109133682050064,41.91288519766528,37.7179161384264,-2.5348199305932653,month,2025-04,,,
4464,187.06337641321664,342.1286178822197,20.5025520672778,4464,45.02812914050774,64.1832858942513,8.62674270537673,4464,202.58610144115892,359.08211805974895,13.883324283154112,4464,46.12986344681428,65.66764490257214,7.523538074689446,15.522725027942272,-6.619227784123689,1.1017343063065397,-1.1032046306872836,0.7786738351254481,7.441578087475324,53.41489621129632,54.60006082919773,45.973318123821,0.7954749103942652,6.76798871890091,56.353659527319394,57.109208883107925,49.58567080841848,3.612352684597475,month,2025-05,,,
4320,212.0853344939605,406.65248869677015,7.688379727069531,4320,53.051424529159114,77.95980243884227,4.039060182164233,4320,207.14226628858026,376.8041911034531,-31.132420300925947,4320,49.064694658475425,69.45299888459759,-2.4310731558350107,-4.943068205380229,-38.820800027995475,-3.986729870683689,-6.470133337999243,0.8104166666666667,8.527558951613319,67.79522187379618,63.3067231043471,59.26766292218287,0.8030092592592593,6.87488453324258,61.150465700776195,51.84450801169861,54.27558116753361,-4.992081754649263,month,2025-06,,,
4464,185.61142357051796,345.85849113739823,-41.55448385844182,4464,49.27929718901557,67.45261272756957,-4.306226055890129,4464,216.61831875,392.1098853913911,5.322196102150534,4464,57.416880229622905,80.72643783389003,3.5065539375419292,31.00689517948203,46.876679960592355,8.137583040607332,7.812779993432057,0.782258064516129,8.784029899034245,57.871911316586555,44.78165536166218,49.08788141755231,0.7829301075268817,9.274588866902686,67.04230299626714,61.27426806690638,57.76771412936444,8.679832711812132,month,2025-07,,,
4464,196.52547074369988,370.65602348207324,3.752384005018947,4464,48.429368588403435,69.91740846702022,-11.481430092747836,4464,267.5031120183692,510.1293938931368,-82.70563438620073,4464,59.60328169985038,94.53094454732722,-25.89109982461778,70.97764127466934,-86.45801839121968,11.173913111446943,-14.409669731869943,0.7892025089605734,7.95980636811107,56.08558737754333,36.644350916684424,48.125781009432245,0.8080197132616488,6.28735485093356,68.4032424858979,36.22478781034658,62.11588763496435,13.990106625532107,month,2025-08,,,
4320,148.2610816215072,294.79770997571774,19.504572487081816,4320,49.93672896291946,69.18456656080333,-9.564261653445994,4320,229.88354457561726,426.0435769661253,0.16144682870369875,4320,61.90741740497447,87.65529451507693,-12.788115929842352,81.62246295411006,-19.343125658378117,11.970688442055007,-3.2238542763963576,0.7780092592592592,7.8281301787333915,56.493220413470205,39.10082858129081,48.6650902347368,0.7578703703703704,10.113592430282406,59.67079993456333,36.769091574438576,49.557207504280925,0.8921172695441228,month,2025-09,,,
4464,134.88991283754396,293.0282758840845,-6.735263895191549,4464,35.47968610556299,54.121374513903476,3.9979345026910638,4464,251.82718196311234,480.7877746085096,-85.56521467293909,4464,51.715893061176956,81.33847362213542,-9.140390626933522,116.93726912556838,-78.82995077774754,16.236206955613966,-13.138325129624587,0.7936827956989247,4.725706761313566,42.13209352966387,41.40432127104137,37.4063867683503,0.7876344086021505,6.200229825139091,59.03748239156785,43.69686193949523,52.83725256642875,15.43086579807845,month,2025-10,,,
4320,89.9043053124837,190.69460682116159,7.903735083197647,4320,27.293323662851293,38.59958139348093,6.178513383129067,4320,151.61288302469134,288.2162228566091,2.5253175925925917,4320,35.81616925165217,52.555474935027334,5.282110468028224,61.70857771220764,-5.378417490605056,8.522845588800877,-0.8964029151008432,0.8224537037037037,3.0261321650615294,36.24378773009457,39.39616894816211,33.21765556503304,0.8090277777777778,4.132600832697712,40.925583540983084,42.075093176313594,36.79298270828537,3.5753271432523306,month,2025-11,,,
4464,77.3101289062845,166.1680935603319,-18.574470618278827,4464,31.489708145822455,43.5881147809056,4.686958880781949,4464,125.38736278001794,264.8288443700017,0.6444956541218633,4464,37.8506934049592,55.81686333301995,7.890119926182064,48.077233873733434,19.21896627240069,6.360985259136747,3.2031610454001145,0.8113799283154122,5.032914321904211,40.88814556828787,40.54219012716561,35.85523124638365,0.8100358422939068,5.623657823641471,44.843315526955486,47.10977762949609,39.21965770331401,3.36442645693036,month,2025-12,,,
10020,112.20693972202712,206.78912958008593,5.5313042713471585,10020,34.5089288455283,48.618626860100655,0.9912820391114725,10020,191.88605942448436,336.1247966555987,-92.09306303393214,10020,44.80893236965338,64.82494002808353,-15.27944584510174,79.67911970245724,-97.62436730527929,10.300003524125074,-16.270727884213212,0.7936127744510978,5.744593996770879,40.9482240008103,36.19491204315089,35.203630004039425,0.7896207584830339,6.127781530315171,48.883768159196144,27.476540783779228,42.75598662888097,7.5523566248415435,clock,,evening_1500_2000,,
12024,430.6646305262002,563.0867382273238,-16.223398116159522,12024,76.12260937159355,98.41260035208252,-1.7422036715736058,12024,543.1643162106343,695.8826430656327,-125.07056216733203,12024,93.85064934105282,120.78870808690228,-19.883397680102355,112.4996856844341,-108.84716405117251,17.72803996945926,-18.14119400852875,0.7981536926147704,12.090098733628984,92.34340831913873,78.51110591393613,80.25330958550973,0.7932468396540253,12.617343462957777,110.11224110103171,77.6114999579716,97.49489763807395,17.241588052564225,clock,,midday_0900_1500,,
8016,131.78682998547174,223.50091833632754,4.889559971143302,8016,34.15664499872807,46.753130224159484,1.898046829022646,8016,190.15912787341986,254.58579973916952,124.66735244510978,8016,40.01061702703072,51.499486577223394,21.86101224135039,58.37229788794812,119.77779247396649,5.85397202830265,19.962965412327744,0.7912924151696606,5.3056439571639995,40.92951450200631,37.521917373864966,35.62387054484231,0.7875499001996008,5.511279879735196,39.72275082781435,56.07248318942954,34.21147094807915,-1.4123995967631586,clock,,morning_0500_0900,,
18036,0.30393367683552175,3.635959683823082,0.28427597422847356,18036,24.078281766705786,32.254522669976666,0.40135952121042784,18036,0.02821475659791528,0.30881874089667305,-0.0011187957418496341,18036,24.089190982619886,32.27594508539109,0.35379372621537347,-0.27571892023760647,-0.2853947699703232,0.010909215914100656,-0.04756579499505437,0.7879241516966068,3.86262599559463,27.976703133268245,24.515436658884045,24.114077137673615,0.788035041029053,3.8648342933475193,27.978441807004753,24.467401239872604,24.11360751365723,-0.00046962401638594997,clock,,other,,
1670,0.0,0.0,0.0,1670,23.20903877873075,30.974330121162456,0.6279514843905202,1670,0.0,0.0,0.0,1670,23.20903877873075,30.974330121162456,0.6279514843905202,0.0,0.0,0.0,0.0,0.7820359281437126,3.5414233188922752,26.76118832330371,23.84771648880195,23.219765004411432,0.7820359281437126,3.5414233188922752,26.76118832330371,23.84771648880195,23.219765004411432,0.0,boundary,,,first_hour,
46092,159.77848716524971,317.33526318401033,-2.0681366820692113,46092,41.68441844470841,61.5000939829294,0.2171453487124299,46092,216.4915929864908,402.6905105817923,-30.966493371951756,46092,49.57060664009183,74.45207609772588,-4.5992474329346615,56.71310582124107,-28.898356689882544,7.8861881953834185,-4.8163927816470915,0.7926321270502473,6.670135817757255,49.864976810595216,43.41198634155038,43.19484099283796,0.789876768202725,6.927606444442256,56.01625119538425,44.489397318007335,49.08864475094199,5.893803758104028,boundary,,,interior,
334,0.0,0.0,0.0,334,27.173558851387416,38.276300049451855,1.1398514943331,334,0.0,0.0,0.0,334,27.173558851387416,38.276300049451855,1.1398514943331,0.0,0.0,0.0,0.0,0.7874251497005988,5.312773602853223,30.68699527928182,26.51407317076169,25.374221676428593,0.7874251497005988,5.312773602853223,30.68699527928182,26.51407317076169,25.374221676428593,0.0,boundary,,,midnight_tail,
2143,1.4870392650013782,9.152262686392017,1.481677249135769,2143,18.139969898025306,23.046726021847043,-4.48484756197223,2143,10.448008648312335,49.2934724341795,10.434683216674443,2143,18.634475455012875,23.76332826438515,-2.9926799007157845,8.960969383310957,8.953005967538674,0.49450555698756915,1.4921676612564454,0.8175454969668688,2.337822942392577,23.871957848341772,17.049287343976964,21.534134905949195,0.8068128791413905,2.4951213350204724,23.347144560898098,17.859343325161838,20.852023225877623,-0.6821116800715714,month_x_is_generation,2025-02,,,False
1889,237.14080156426905,338.94421413859624,-22.529130576559318,1889,47.3441889115925,62.76779878907852,-11.490606116475176,1889,370.36405128815943,495.07460732539226,-154.00380531145228,1889,67.03366871681315,89.0440999557595,-33.403051905624004,133.22324972389038,-131.47467473489297,19.689479805220657,-21.912445789148826,0.787718369507676,6.177638810383902,58.538910450887855,40.87066552402878,52.36127164050396,0.8178930651138169,5.599185186461264,82.40294099188428,43.40070389979902,76.80375580542302,24.442484164919065,month_x_is_generation,2025-02,,,True
2202,1.0653248317327526,5.593072739825658,1.0576283739670853,2202,18.26499023523016,22.98349221612086,4.847958410904664,2202,3.765942381925522,23.33706440243207,3.752842109445958,2202,18.300294190842095,23.09741038173995,5.297160700151144,2.70061755019277,2.6952137354788723,0.035303955611933446,0.44920228924647976,0.7502270663033606,3.502073428231399,19.06128303282364,20.407168015496904,15.559209604592237,0.7470481380563124,3.593764957458971,18.891595246785734,20.59499098947791,15.297830289326763,-0.261379315265474,month_x_is_generation,2025-03,,,False
2262,306.99760996525794,448.7393679151782,-9.363360263137068,2262,56.13998903300389,78.20844054614837,-0.4237448536470989,2262,436.8148894378131,591.9453873993492,-155.32256888815206,2262,73.06612522633657,98.66005904589309,-24.750279624482936,129.81727947255519,-145.95920862501498,16.926136193332674,-24.326534770835835,0.7595048629531388,11.974503780735857,60.15355168698653,47.75530305260357,48.17904790625067,0.7763041556145004,10.257619168324183,75.90492172456035,40.89702293175322,65.64730255623617,17.468254649985496,month_x_is_generation,2025-03,,,True
1961,1.2498948680431832,5.640177963977578,1.2373031291344632,1961,16.801481738259145,20.934356231394453,3.872466850294039,1961,11.933906306306307,49.87343236122338,11.918177596464389,1961,18.104600372288466,23.05913376075155,5.652612594849026,10.684011438263123,10.680874467329925,1.303118634029321,1.7801457445549866,0.8148903620601734,2.158598046754472,21.601126239384463,23.31499504292403,19.44252819262999,0.7990821009688934,2.518125324129012,21.011247086346515,24.14573435706653,18.493121762217502,-0.9494064304124876,month_x_is_generation,2025-04,,,False
2359,331.02362730957947,480.86131234214065,-0.3931512400458001,2359,60.087270404583876,83.72406929930987,6.705757143978857,2359,400.37522005086896,537.8675710698366,-22.72817811219444,2359,68.99317872815521,90.97874835278077,2.9832526652874183,69.3515927412895,-22.33502687214864,8.905908323571339,-3.7225044786914383,0.7732089868588385,10.2426803553447,67.79461847845516,64.2576952670893,57.55193812311045,0.7253073336159389,13.27342773541213,66.9726163502038,56.68244128007908,53.699188614791666,-3.8527495083187873,month_x_is_generation,2025-04,,,True
1871,1.750749165854967,6.697726142236051,1.7450447297245555,1871,24.834907481898718,32.848664649813394,8.409306442919272,1871,3.708329966150009,23.526903412400653,3.688816230179939,1871,25.16886683077807,33.141735399225894,8.733268359661835,1.957580800295042,1.9437715004553837,0.33395934887935397,0.32396191674256336,0.7637626937466595,5.548246837788748,27.123130463744786,29.98419006887531,21.57488362595604,0.7616247995724211,5.565270230254038,27.036422273769283,30.20442040317708,21.47115204351525,-0.1037315824407905,month_x_is_generation,2025-05,,,False
2593,320.7771926800172,448.86459856842663,34.03718231354164,2593,59.598710599534904,79.45666825297253,8.783635588931647,2593,346.08795660110553,470.72098373254823,21.2392535415863,2593,61.2544390999588,81.43236268536877,6.650647460272424,25.310763921088324,-12.797928771955341,1.6557285004238977,-2.132988128659223,0.7894330890860007,8.807726474734704,72.38593119535685,72.36184030955378,63.57820472062214,0.8198997300424219,7.63581991529825,77.50774780398434,76.52257534895851,69.8719278886861,6.293723168063963,month_x_is_generation,2025-05,,,True
1734,0.2205342841909194,1.7180534672154475,0.2020992207537798,1734,29.834633596044817,38.1526594843664,5.987792470380627,1734,0.7931942233756247,7.045795902722433,0.7844343713956171,1734,29.801583335362746,38.15128078012326,6.084848328820935,0.5726599391847054,0.5823351506418373,-0.03305026068207084,0.09705585844030828,0.7883506343713956,5.233885956800468,35.760612825102584,36.514519338682746,30.526726868302113,0.7877739331026529,5.272651700877539,35.67094278320277,36.483139411146155,30.398291082325226,-0.12843578597688676,month_x_is_generation,2025-06,,,False
