a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,delta_pv_mae_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_protected_bias_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_protected_bias_kWh,delta_protected_bias_kWh,pair,group_type,month
36406,268.89266231207307,451.7769509906301,-44.37623919134209,36406,56.38409772367645,82.17273662425102,-6.832346424092216,36406,176.416150727902,287.0729960170568,-15.307375789704999,36406,41.93605379343894,57.38484061599795,-1.9875358571527009,-92.47651158417108,29.06886340163709,-14.44804393023751,4.844810566939515,0.7910234576718124,7.760115078315573,63.84771164014459,49.255250137736816,56.087596561829024,0.7862989617096083,6.172243125216094,46.04196571898338,37.882186736614585,39.869722593767285,-16.21787396806174,06:00_vs_00:00,,
3052,236.56500157820005,391.67236930073614,-87.98829341415464,3052,48.27229219603437,71.43856479562284,-19.894121681841813,3052,162.4225792758847,258.2075313095962,-7.883522509829623,3052,34.81276412066138,48.737143383570555,-6.543326531120973,-74.14242230231537,80.10477090432502,-13.459528075372994,13.35079515072084,0.8024246395806028,4.577796650203257,58.62298168579599,34.15106335375092,54.04518503559274,0.7637614678899083,5.000528658809012,34.44498620943117,22.90113101950119,29.444457550622165,-24.600727484970573,06:00_vs_00:00,month,2025-02
3379,294.1689755647627,484.6355204558833,-102.1878063036401,3379,54.83780921569235,81.7490639268822,-14.083932163041892,3379,181.58666402288642,291.30053521722436,31.39439032258064,3379,37.72182096700466,52.00852662081325,8.179767274661568,-112.5823115418763,133.58219662622074,-17.115988248687692,22.26369943770346,0.7759692216632139,7.91174485521716,57.454008790999374,35.45833177274032,49.54226393578221,0.7555489789878662,6.966346166904821,37.162972796620274,38.376393904377025,30.196626629715453,-19.345637306066756,06:00_vs_00:00,month,2025-03
3270,285.328215127421,455.49709812691725,-19.90623235474006,3270,53.84705165300263,77.76382191104426,1.6428589171882175,3270,176.3825389551478,270.7040839878176,-4.964466116207974,3270,37.18793447243268,49.98845959737769,4.133153290276897,-108.94567617227321,14.941766238532086,-16.65911718056995,2.4902943730886795,0.7532110091743119,10.131798511502422,54.550506741070315,46.061567146756104,44.4187082295679,0.8024464831804281,4.674616008941257,43.145901595942895,42.60443887727854,38.471285587001645,-5.947422642566252,06:00_vs_00:00,month,2025-04
3379,255.89247488408802,409.20863060078494,6.638474104764707,3379,54.11329068025562,73.89657985941915,7.767095434320779,3379,198.79009888527182,314.6123098085793,-79.53895963302752,3379,45.39474661501542,60.10220374099042,-6.595810188644595,-57.1023759988162,-86.17743373779223,-8.718544065240202,-14.362905622965375,0.7907664989641906,8.11609608974186,67.3171738137692,66.96817315834812,59.201077724027336,0.8132583604616751,5.52291845484298,56.33702944637116,44.21830080288358,50.81411099152819,-8.386966732499147,06:00_vs_00:00,month,2025-05
3270,266.45591407237515,431.8394766005733,-48.27255256880736,3270,56.315277403044824,77.5016048284676,-5.528699540129265,3270,175.58257296636083,282.90127568159704,-20.724800458715606,3270,43.07187302243049,57.06733566426352,-0.9374075217806401,-90.87334110601432,27.547752110091757,-13.243404380614336,4.591292018348625,0.8048929663608563,7.556027067261325,70.74267999196657,57.657953384575976,63.18665292470524,0.7807339449541284,7.885796448605866,49.04595672691418,40.22275275652767,41.16016027830831,-22.02649264639693,06:00_vs_00:00,month,2025-06
3379,276.2916224622669,448.4314419759187,-2.79925001479728,3379,63.98476473738609,88.91903162403963,1.1944825229062648,3379,179.84340327513073,305.46016980455477,-21.273117372003565,3379,49.31614664808335,66.76432251192911,-1.8844953699614502,-96.44821918713617,-18.473867357206284,-14.66861808930274,-3.078977892867715,0.7883989345960344,9.947229222197885,75.5866458838255,66.83389918453388,65.63941666162762,0.789878662326132,8.475717867072422,57.17001104874688,46.809797811713004,48.69429318167445,-16.945123479953168,06:00_vs_00:00,month,2025-07
3379,340.42131871855577,583.159638463342,-122.2179247706422,3379,69.69080545937987,106.77354428968141,-32.135577183775425,3379,206.16286022985105,319.47482339194784,-24.26501177863273,3379,47.27679221206959,64.07438919056153,-15.810091685107176,-134.25845848870472,97.95291299200947,-22.414013247310287,16.32548549866825,0.8067475584492453,7.28733350291493,79.79103512677455,40.368124440084195,72.50370162385961,0.7866232613199171,6.800658471693182,51.86610874188081,29.25535858508045,45.065450270187625,-27.438251353671987,06:00_vs_00:00,month,2025-08
3270,300.19854486748216,489.0934692485984,-3.260867767584101,3270,71.94185012436299,98.00130871332443,-13.233753261072469,3270,201.06790790519878,324.52598723842596,-25.39570795107035,3270,55.510396211658815,73.48169976490347,-16.922893291653512,-99.13063696228338,-22.134840183486247,-16.43145391270417,-3.6891400305810436,0.753822629969419,12.071108446842407,67.74438991238823,42.43952820447336,55.67328146554583,0.7694189602446483,7.709763001057944,55.3313879266262,30.69873163391475,47.62162492556826,-8.051656539977564,06:00_vs_00:00,month,2025-09
3379,332.67378055144525,552.6133575799801,-113.0249430304824,3379,62.908710496064195,92.70415504668689,-14.550591021752787,3379,191.34277799151621,310.82342272049954,31.078728410772417,3379,41.72993677428732,57.128137907332416,9.466687551789681,-141.33100255992903,144.10367144125482,-21.178773721776878,24.01727857354247,0.7881029890500147,7.346804530778823,71.82678711151418,49.929391558982566,64.47998258073535,0.7582124889020421,6.183645650045125,39.02610596427147,42.309147866016026,32.842460314226344,-31.63752226650901,06:00_vs_00:00,month,2025-10
