publication_hour,kind,j,demean,n_groups,n,n_invalid,mean_b_kW,sd_b_kW,mean_y_kW,sd_y_kW,pearson_r,beta,intercept_a_kW,constant_b,constant_y
6,hour,0,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-1.3615190146301322e-15,109.58380273146543,0.5891390917779677,0.5948435455706322,-2.9813006106789746e-15,False,False
6,hour,0,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,-2.042278521945198e-15,118.4952733830799,0.6446109497648269,0.6470186174110854,-3.583902785188758e-15,False,False
6,hour,1,month,11,334,0,2.7230380292602644e-15,108.5329117135484,3.4037975365753304e-16,116.70290078209494,0.5538071785718217,0.5954959025135159,-1.281178235155434e-15,False,False
6,hour,1,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,1.3615190146301322e-15,125.53569485909061,0.6056749710283935,0.6440579266413391,-1.730509342493911e-16,False,False
6,hour,2,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-1.021139260972599e-15,113.15636339476637,0.5298792761838356,0.5524518874925662,-2.52548675995147e-15,False,False
6,hour,2,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,-6.807595073150661e-16,121.7154950774799,0.5879009916416591,0.6061332862326768,-2.124967997875632e-15,False,False
6,hour,3,month,11,334,0,2.7230380292602644e-15,108.5329117135484,1.7018987682876651e-15,112.36202746981557,0.5603954735967184,0.5801666112526719,1.2208302253958351e-16,False,False
6,hour,3,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.042278521945198e-15,118.99433039476561,0.6122315056476593,0.6171063507882498,5.719249683125728e-16,False,False
6,hour,4,month,11,334,0,2.7230380292602644e-15,108.5329117135484,6.807595073150661e-16,114.6831481055494,0.6268356039957647,0.6623565080480921,-1.1228624530279211e-15,False,False
6,hour,4,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,3.4037975365753304e-16,121.10417227914397,0.6698957718863755,0.687201998792649,-1.29698777577651e-15,False,False
6,hour,5,month,11,334,0,2.7230380292602644e-15,108.5329117135484,1.3615190146301322e-15,117.21014668429747,0.5955426965692896,0.6431564925290285,-3.8982057329205755e-16,False,False
6,hour,5,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.7230380292602644e-15,124.62829925340158,0.6447262919078982,0.6806284854828979,1.1013329357134844e-15,False,False
6,hour,6,month,11,334,0,2.7230380292602644e-15,108.5329117135484,0.0,114.79005023190679,0.5229337277826431,0.5530818986830379,-1.5060630434093848e-15,False,False
6,hour,6,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,6.807595073150661e-16,124.38213958303423,0.5875199804181623,0.6190115256947449,-7.941334270749905e-16,False,False
6,hour,7,month,11,334,0,2.7230380292602644e-15,108.5329117135484,2.042278521945198e-15,120.60278451581394,0.462057988483621,0.5134431495395351,6.441532998858793e-16,False,False
6,hour,7,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.7230380292602644e-15,131.10993185087563,0.5091655742737904,0.5654740708865099,1.3757065546237562e-15,False,False
6,hour,8,month,11,334,0,2.7230380292602644e-15,108.5329117135484,6.807595073150661e-16,134.29138792730632,0.42698542939446016,0.528323298737787,-7.578849268921595e-16,False,False
6,hour,8,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,-1.3615190146301322e-15,145.13372029417025,0.4529142663400891,0.5568040688830045,-2.688192837243496e-15,False,False
6,hour,9,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-6.807595073150661e-16,129.40588980046786,0.3751414093546777,0.447288358085058,-1.8987427164260618e-15,False,False
6,hour,9,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.7230380292602644e-15,142.81935243628058,0.37675158188152646,0.4557851965973941,1.6370576586902655e-15,False,False
6,hour,10,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-2.7230380292602644e-15,137.16094734543992,0.3758008766551652,0.47492694558230275,-4.016282163201295e-15,False,False
6,hour,10,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,0.0,146.15341088573098,0.35153071567921723,0.435201421454652,-1.0369362683829986e-15,False,False
6,hour,11,month,11,334,0,2.7230380292602644e-15,108.5329117135484,0.0,146.92709513634279,0.30374725426016214,0.4111997090972235,-1.1197124454924975e-15,False,False
6,hour,11,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.7230380292602644e-15,156.5779286784301,0.29499380259594793,0.3912564475344498,1.7908076166593816e-15,False,False
6,hour,12,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-1.3615190146301322e-15,140.3596601322627,0.29671724452061443,0.3837281331419032,-2.4064253140725804e-15,False,False
