k,date,weekday,month,publication_hour,s_r,recent_h_start,recent_h_end,recent_interval_start,recent_interval_end,n_valid_slots,valid,b_kW,e_slot_30_kW,e_slot_31_kW,e_slot_32_kW,e_slot_33_kW,e_slot_34_kW,e_slot_35_kW,e_slot_66_kW,e_slot_67_kW,e_slot_68_kW,e_slot_69_kW,e_slot_70_kW,e_slot_71_kW,e_slot_102_kW,e_slot_103_kW,e_slot_104_kW,e_slot_105_kW,e_slot_106_kW,e_slot_107_kW
31,2025-02-01,5,2025-02,6,36,30,35,2025-02-01 05:00:00,2025-02-01 06:00:00,6,True,-213.8931240814724,-225.17535999561278,-327.63952328797905,-384.062869154071,-212.7328775026549,-63.06515752024052,-70.68295702827618,,,,,,,,,,,,
32,2025-02-02,6,2025-02,6,36,30,35,2025-02-02 05:00:00,2025-02-02 06:00:00,6,True,-205.66964784606662,-66.82346363306351,-32.6501972267406,-166.08970264516074,-318.67703988402127,-347.89353404679287,-301.8839496406208,,,,,,,,,,,,
33,2025-02-03,0,2025-02,6,36,30,35,2025-02-03 05:00:00,2025-02-03 06:00:00,6,True,-212.89701186529678,-244.80587420663187,-369.39288238373183,-377.0652301337477,-196.6807452404646,-67.32578111149905,-22.11155811570552,,,,,,,,,,,,
34,2025-02-04,1,2025-02,6,36,30,35,2025-02-04 05:00:00,2025-02-04 06:00:00,6,True,-182.32170479521014,-298.2702933851274,-287.457129717498,-254.50265818237085,-116.24625818237064,0.32875884935174327,-137.78264815324565,,,,,,,,,,,,
35,2025-02-05,2,2025-02,6,36,30,35,2025-02-05 05:00:00,2025-02-05 06:00:00,6,True,-8.798049307300895,111.45568386985724,-87.15200207229236,-144.4585020722925,-2.2957804753650635,125.12159099422024,-55.459286087932924,,,,,,,,,,,,
36,2025-02-06,3,2025-02,6,36,30,35,2025-02-06 05:00:00,2025-02-06 06:00:00,6,True,-99.76111047135555,-88.04441969949812,-34.48922630074685,44.936753917702845,-129.79427850950105,-243.7036881102972,-147.47180412579291,,,,,,,,,,,,
37,2025-02-07,4,2025-02,6,36,30,35,2025-02-07 05:00:00,2025-02-07 06:00:00,6,True,-176.68918419597495,-46.4723421599997,-127.10569552858033,-231.99914622925326,-310.9678165959349,-204.3954145359903,-139.19469012609125,,,,,,,,,,,,
38,2025-02-08,5,2025-02,6,36,30,35,2025-02-08 05:00:00,2025-02-08 06:00:00,6,True,-7.476693418508678,11.805572818318069,-19.58703770862894,32.121778591968905,-5.166913220959032,-48.13955651533297,-15.894004476418104,,,,,,,,,,,,
39,2025-02-09,6,2025-02,6,36,30,35,2025-02-09 05:00:00,2025-02-09 06:00:00,6,True,-114.80576163391667,-27.602845907272695,-79.13355475785374,-215.82840773929183,-233.81470773929232,-99.36734047396067,-33.08771318582876,,,,,,,,,,,,
40,2025-02-10,0,2025-02,6,36,30,35,2025-02-10 05:00:00,2025-02-10 06:00:00,6,True,-33.524323486757794,-102.97328205127724,-36.27771859945551,16.152939552783664,-77.50372166725128,-59.92671715968163,59.382559004335235,,,,,,,,,,,,
41,2025-02-11,1,2025-02,6,36,30,35,2025-02-11 05:00:00,2025-02-11 06:00:00,6,True,-170.00464183346472,-10.465795498420903,-121.53560149755413,-267.00813930371487,-291.66733359840237,-134.81994955687514,-194.53103154582095,,,,,,,,,,,,
42,2025-02-12,2,2025-02,6,36,30,35,2025-02-12 05:00:00,2025-02-12 06:00:00,6,True,-86.15776670870218,12.843568212579157,-128.0808396277339,-95.92390248735228,-146.83674396152583,-55.14921163418194,-103.79947075399832,,,,,,,,,,,,
43,2025-02-13,3,2025-02,6,36,30,35,2025-02-13 05:00:00,2025-02-13 06:00:00,6,True,3.9573957677505405,35.57898265527956,101.22640162752123,-97.85265786215768,-199.4630179109272,72.94088400771489,111.31378208907245,,,,,,,,,,,,
44,2025-02-14,4,2025-02,6,36,30,35,2025-02-14 05:00:00,2025-02-14 06:00:00,6,True,-92.46458241097223,-112.46005450479925,-345.33274900341166,-364.083119982683,-73.92131998268269,146.29190939251112,194.71783961523215,,,,,,,,,,,,
45,2025-02-15,5,2025-02,6,36,30,35,2025-02-15 05:00:00,2025-02-15 06:00:00,6,True,37.19928560962876,118.96693103300368,-13.93366080459964,63.853228587961894,220.00627481159108,-70.63627417694579,-95.06078579323867,,,,,,,,,,,,
46,2025-02-16,6,2025-02,6,36,30,35,2025-02-16 05:00:00,2025-02-16 06:00:00,6,True,3.470534036419849,184.76865718640875,-213.9903257213441,-210.6790910676832,250.772703519056,24.36406856030635,-14.412808258224686,,,,,,,,,,,,
47,2025-02-17,0,2025-02,6,36,30,35,2025-02-17 05:00:00,2025-02-17 06:00:00,6,True,-96.21795014300876,-302.8641705808159,-147.94778354148002,-47.37051491489501,-35.86532619017271,-43.54542972850322,0.28552409781423194,,,,,,,,,,,,
48,2025-02-18,1,2025-02,6,36,30,35,2025-02-18 05:00:00,2025-02-18 06:00:00,6,True,-3.026788937624891,157.56049725920184,-47.81929944312424,-77.13736130462166,47.69105221968357,-43.891480506647895,-54.56414185024096,,,,,,,,,,,,
49,2025-02-19,2,2025-02,6,36,30,35,2025-02-19 05:00:00,2025-02-19 06:00:00,6,True,-49.03673927782605,178.10850963710618,116.0020668911302,19.399368784577746,-94.43234479367584,-296.4803610801937,-216.8176751059009,,,,,,,,,,,,
50,2025-02-20,3,2025-02,6,36,30,35,2025-02-20 05:00:00,2025-02-20 06:00:00,6,True,-15.573136421408739,-9.702718785756588,-160.0858428047909,-96.57646690828778,85.66599883550634,117.22916717596263,-29.96895604108613,,,,,,,,,,,,
51,2025-02-21,4,2025-02,6,36,30,35,2025-02-21 05:00:00,2025-02-21 06:00:00,6,True,54.68064428144021,57.05080766569563,-22.042078753199803,42.58573950971959,168.3242835269798,96.41531766816888,-14.25020392872284,,,,,,,,,,,,
52,2025-02-22,5,2025-02,6,36,30,35,2025-02-22 05:00:00,2025-02-22 06:00:00,6,True,-33.39041192093456,-124.9682283497873,142.25816470438804,193.39126809807294,-96.25699572032136,-233.82162979217765,-80.94505046578206,,,,,,,,,,,,
53,2025-02-23,6,2025-02,6,36,30,35,2025-02-23 05:00:00,2025-02-23 06:00:00,6,True,54.390720954238155,-302.8293169390554,100.31545931682786,439.3377593168284,266.75423772007434,-46.20499861209237,-131.02881507715392,,,,,,,,,,,,
54,2025-02-24,0,2025-02,6,36,30,35,2025-02-24 05:00:00,2025-02-24 06:00:00,6,True,-71.26980445171232,101.82673869075415,22.036779650351946,-119.38345062646977,-250.63448092560884,-99.91134928585143,-81.55306421344994,,,,,,,,,,,,
55,2025-02-25,1,2025-02,6,36,30,35,2025-02-25 05:00:00,2025-02-25 06:00:00,6,True,14.900419717344144,-35.18653928716458,35.31607193525588,-35.63266993716206,-182.76638528541616,45.06530327857536,262.60673759997644,,,,,,,,,,,,
56,2025-02-26,2,2025-02,6,36,30,35,2025-02-26 05:00:00,2025-02-26 06:00:00,6,True,-9.154460611604387,-141.99623248666012,39.066893324570174,116.70375405475306,27.335578328695192,-30.478978357280084,-65.55777853370455,,,,,,,,,,,,
57,2025-02-27,3,2025-02,6,36,30,35,2025-02-27 05:00:00,2025-02-27 06:00:00,6,True,-58.517233841416555,-54.06355862304645,-112.99802640041526,-117.19743929965489,4.622670968533384,-25.166150612677484,-46.30089908123864,,,,,,,,,,,,
58,2025-02-28,4,2025-02,6,36,30,35,2025-02-28 05:00:00,2025-02-28 06:00:00,6,True,-3.6370931756950995,93.48876271594963,114.26044552394387,48.43844552394421,-150.47218556953885,-104.28565177544806,-23.252375473021402,,,,,,,,,,,,
59,2025-03-01,5,2025-03,6,36,30,35,2025-03-01 05:00:00,2025-03-01 06:00:00,6,True,-339.65733181308724,-272.7690597733899,-397.6495478596353,-504.54486917273516,-411.134657939268,-244.32456511438204,-207.52129101911305,,,,,,,,,,,,
60,2025-03-02,6,2025-03,6,36,30,35,2025-03-02 05:00:00,2025-03-02 06:00:00,6,True,-141.50547192399412,-89.77823206847188,-224.89388744737198,-329.8931491722842,-160.7542491722843,17.75075663757525,-61.464070321127565,,,,,,,,,,,,
61,2025-03-03,0,2025-03,6,36,30,35,2025-03-03 05:00:00,2025-03-03 06:00:00,6,True,-166.70943320670713,18.41260272723366,-171.36714147162638,-126.23723323382501,-43.5554071480301,-334.81293619309963,-342.6964839208954,,,,,,,,,,,,
62,2025-03-04,1,2025-03,6,36,30,35,2025-03-04 05:00:00,2025-03-04 06:00:00,6,True,-72.74774491656952,-7.265496798909226,-114.06621886077801,-167.79746262525578,-74.444584015695,16.046037374744174,-88.95874457352329,,,,,,,,,,,,
63,2025-03-05,2,2025-03,6,36,30,35,2025-03-05 05:00:00,2025-03-05 06:00:00,6,True,-42.871187729302925,-208.38500480556195,-26.263422395314137,14.18551552461031,-117.2313023086258,-48.36736106928265,128.8344486783567,,,,,,,,,,,,
64,2025-03-06,3,2025-03,6,36,30,35,2025-03-06 05:00:00,2025-03-06 06:00:00,6,True,-10.660558054587531,10.95244968737552,-79.66885669395833,-114.15477108394498,-31.821342677469147,114.44406465415659,36.285107786315166,,,,,,,,,,,,
65,2025-03-07,4,2025-03,6,36,30,35,2025-03-07 05:00:00,2025-03-07 06:00:00,6,True,-233.78266351140655,-146.393027664059,-15.096850197183812,17.720798170281796,-249.20409161927955,-540.4134033124651,-469.30940644573366,,,,,,,,,,,,
66,2025-03-08,5,2025-03,6,36,30,35,2025-03-08 05:00:00,2025-03-08 06:00:00,6,True,33.38795584474883,97.3696473407822,91.58142933794397,82.6677006837399,35.287862334825604,1.5588290092478019,-108.13773363804648,,,,,,,,,,,,
67,2025-03-09,6,2025-03,6,36,30,35,2025-03-09 05:00:00,2025-03-09 06:00:00,6,True,-121.1686039160307,75.29587766230225,2.031150687390891,-134.952628288675,-226.11870036587106,-234.2477991510109,-209.01952404032045,,,,,,,,,,,,
68,2025-03-10,0,2025-03,6,36,30,35,2025-03-10 05:00:00,2025-03-10 06:00:00,6,True,11.428780567042699,60.73405536396467,-28.601711380625602,-16.38191122769922,56.4070821101036,21.461642539806235,-25.046474003293497,,,,,,,,,,,,
69,2025-03-11,1,2025-03,6,36,30,35,2025-03-11 05:00:00,2025-03-11 06:00:00,6,True,-20.452567044946818,-38.0755010456669,-16.068364980525075,9.034930278448428,86.20409242053711,-18.95409170401126,-144.8564672384632,,,,,,,,,,,,
70,2025-03-12,2,2025-03,6,36,30,35,2025-03-12 05:00:00,2025-03-12 06:00:00,6,True,-32.564595005997795,-111.83864384114622,-21.0824453525056,-54.98280148116328,-176.06381671969484,57.791446392425314,110.78869096609787,,,,,,,,,,,,
71,2025-03-13,3,2025-03,6,36,30,35,2025-03-13 05:00:00,2025-03-13 06:00:00,6,True,-68.39578117569552,24.486694329055354,-77.38418790093328,-111.07910444356821,-110.97178493522006,-130.85598340351817,-4.57032069998877,,,,,,,,,,,,
72,2025-03-14,4,2025-03,6,36,30,35,2025-03-14 05:00:00,2025-03-14 06:00:00,6,True,-67.88530735364786,-104.5632042384027,-168.00972972255022,-163.22694106310473,-132.13102973140758,27.175941882394454,133.44311875118365,,,,,,,,,,,,
73,2025-03-15,5,2025-03,6,36,30,35,2025-03-15 05:00:00,2025-03-15 06:00:00,6,True,-9.232109875705495,-123.62699442086341,139.04586840280308,222.87069796014976,-3.582092832674789,-143.37790252222976,-146.72223584141784,,,,,,,,,,,,
74,2025-03-16,6,2025-03,6,36,30,35,2025-03-16 05:00:00,2025-03-16 06:00:00,6,True,-112.97035772734277,-384.2552557715735,-288.04176740808407,-124.18169861657543,-4.380214893754328,11.965809683886164,111.07098064204456,,,,,,,,,,,,
75,2025-03-17,0,2025-03,6,36,30,35,2025-03-17 05:00:00,2025-03-17 06:00:00,6,True,-55.28215911548242,-120.916962425581,-163.4320944578203,4.4218295451610174,125.47659368902805,-3.6963800697294573,-173.54594097395284,,,,,,,,,,,,
76,2025-03-18,1,2025-03,6,36,30,35,2025-03-18 05:00:00,2025-03-18 06:00:00,6,True,-136.6665966824606,-145.2269641539724,-72.83676415397258,27.65749064712645,-75.98713243693783,-275.80240734002155,-277.8038026569857,,,,,,,,,,,,
77,2025-03-19,2,2025-03,6,36,30,35,2025-03-19 05:00:00,2025-03-19 06:00:00,6,True,-65.32945899586146,-36.99793230588193,-166.81894202006606,-178.49020697511878,-75.63597320734652,10.63684694672611,55.32945358651841,,,,,,,,,,,,
78,2025-03-20,3,2025-03,6,36,30,35,2025-03-20 05:00:00,2025-03-20 06:00:00,6,True,17.16657692770597,103.49959639167264,141.65209639167279,95.92514953565569,-12.878882718035129,-159.6033849554242,-65.59511307930597,,,,,,,,,,,,
79,2025-03-21,4,2025-03,6,36,30,35,2025-03-21 05:00:00,2025-03-21 06:00:00,6,True,29.633909169512133,-49.26989385337265,82.14238268414056,83.28482906271483,4.192187271988587,18.141796589432033,39.31215326216943,,,,,,,,,,,,
80,2025-03-22,5,2025-03,6,36,30,35,2025-03-22 05:00:00,2025-03-22 06:00:00,6,True,92.4117525148419,101.4462096420225,121.54497184603497,86.80139182445419,50.46488008708275,90.29612607758872,103.91693561186821,,,,,,,,,,,,
81,2025-03-23,6,2025-03,6,36,30,35,2025-03-23 05:00:00,2025-03-23 06:00:00,6,True,84.47409325646511,181.21433590590595,199.76629866281337,157.68244848492077,69.24052185541541,-29.490920303329858,-71.56812506693495,,,,,,,,,,,,
82,2025-03-24,0,2025-03,6,36,30,35,2025-03-24 05:00:00,2025-03-24 06:00:00,6,True,160.76169924339038,19.95091218402149,219.88714657254513,234.13084059179937,127.7798430904295,168.71601077826335,194.1054422432835,,,,,,,,,,,,
83,2025-03-25,1,2025-03,6,36,30,35,2025-03-25 05:00:00,2025-03-25 06:00:00,6,True,63.114400237148175,-89.98992239572317,-27.228070678696895,107.6460730527997,126.52039883332509,113.05273530054546,148.68518731063887,,,,,,,,,,,,
84,2025-03-26,2,2025-03,6,36,30,35,2025-03-26 05:00:00,2025-03-26 06:00:00,6,True,112.01021695992199,51.824839012226676,18.57647036466915,12.466164381144154,92.897019072891,271.41725531855263,224.87955361004833,,,,,,,,,,,,
85,2025-03-27,3,2025-03,6,36,30,35,2025-03-27 05:00:00,2025-03-27 06:00:00,6,True,22.983608628827294,129.2159132159718,75.64390158373044,-3.8064544855424174,-68.96263757868155,-2.456522859121378,8.267451896606872,,,,,,,,,,,,
86,2025-03-28,4,2025-03,6,36,30,35,2025-03-28 05:00:00,2025-03-28 06:00:00,6,True,-43.5059169827617,-121.11260752822272,-234.71444439349625,-89.55117064944989,144.0913143558787,65.58422398566245,-25.332817666942447,,,,,,,,,,,,
87,2025-03-29,5,2025-03,6,36,30,35,2025-03-29 05:00:00,2025-03-29 06:00:00,6,True,116.21415282343021,298.10828839801707,176.97511122884362,99.54837029136388,74.24175182701083,69.36376980650084,-20.952374611154937,,,,,,,,,,,,
88,2025-03-30,6,2025-03,6,36,30,35,2025-03-30 05:00:00,2025-03-30 06:00:00,6,True,192.1046374863006,110.90598018924311,230.8904161171231,322.3760950909668,273.61336990289374,169.7598831635023,45.08208045407446,,,,,,,,,,,,
89,2025-03-31,0,2025-03,6,36,30,35,2025-03-31 05:00:00,2025-03-31 06:00:00,6,True,135.7590102726978,193.8732434207809,-34.708358757498445,-53.589195675747305,153.4183128648101,234.10589161632333,321.4541681675182,,,,,,,,,,,,
90,2025-04-01,1,2025-04,6,36,30,35,2025-04-01 05:00:00,2025-04-01 06:00:00,6,True,236.62861530476607,270.7986257136008,246.85517714834805,238.39534803521656,181.6365485573956,273.0123891048852,209.07360326915023,,,,,,,,,,,,
91,2025-04-02,2,2025-04,6,36,30,35,2025-04-02 05:00:00,2025-04-02 06:00:00,6,True,211.37526373994584,213.60674669589025,191.45889054875397,256.04963103530145,339.1420727523887,156.86423305735025,111.13000834999048,,,,,,,,,,,,
92,2025-04-03,3,2025-04,6,36,30,35,2025-04-03 05:00:00,2025-04-03 06:00:00,6,True,102.70773408397099,47.97496841424527,136.9279352033618,250.14120829577269,294.18412378406674,-47.59020215769442,-65.39162903592614,,,,,,,,,,,,
93,2025-04-04,4,2025-04,6,36,30,35,2025-04-04 05:00:00,2025-04-04 06:00:00,6,True,26.759618818572488,26.921774786611422,38.98656667390378,89.49411852466801,95.18351405731892,10.574482284255737,-100.60274341532295,,,,,,,,,,,,
94,2025-04-05,5,2025-04,6,36,30,35,2025-04-05 05:00:00,2025-04-05 06:00:00,6,True,-2.888143126272477,-2.075027457120541,-159.9123247746611,-123.94443582285976,92.67863775314254,112.33365767438909,63.590633869474914,,,,,,,,,,,,
95,2025-04-06,6,2025-04,6,36,30,35,2025-04-06 05:00:00,2025-04-06 06:00:00,6,True,97.98246875407024,310.62453440428544,101.50302266290282,-60.45207843063554,70.31644961336224,87.70821554345775,78.19466873104875,,,,,,,,,,,,
