group,decision,published_at,interval_start,q0_kWh,previous_kWh,previous_version,candidate_kWh,accepted
B2,initial_plan,2025-02-01 00:00,2025-02-01 00:10:00,1289.0692503351213,1289.0692503351213,2025-02-01 00:00,1289.0692503351213,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 00:20:00,1298.0504287055837,1298.0504287055837,2025-02-01 00:00,1298.0504287055837,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 00:30:00,1306.1060520077149,1306.1060520077149,2025-02-01 00:00,1306.1060520077149,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 00:40:00,1309.5896046093233,1309.5896046093233,2025-02-01 00:00,1309.5896046093233,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 00:50:00,1309.0798924457345,1309.0798924457345,2025-02-01 00:00,1309.0798924457345,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 01:00:00,501.909523814466,501.909523814466,2025-02-01 00:00,501.909523814466,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 01:10:00,500.9540259215924,500.9540259215924,2025-02-01 00:00,500.9540259215924,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 01:20:00,486.9273603812024,486.9273603812024,2025-02-01 00:00,486.9273603812024,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 01:30:00,1321.0867100622813,1321.0867100622813,2025-02-01 00:00,1321.0867100622813,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 01:40:00,498.4686633364116,498.4686633364116,2025-02-01 00:00,498.4686633364116,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 01:50:00,515.1747672971175,515.1747672971175,2025-02-01 00:00,515.1747672971175,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 02:00:00,537.4309758006063,537.4309758006063,2025-02-01 00:00,537.4309758006063,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 02:10:00,496.8615928685187,496.8615928685187,2025-02-01 00:00,496.8615928685187,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 02:20:00,514.8206343596333,514.8206343596333,2025-02-01 00:00,514.8206343596333,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 02:30:00,530.3478004869163,530.3478004869163,2025-02-01 00:00,530.3478004869163,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 02:40:00,525.7886537772307,525.7886537772307,2025-02-01 00:00,525.7886537772307,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 02:50:00,548.2874690539056,548.2874690539056,2025-02-01 00:00,548.2874690539056,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 03:00:00,557.5160193937859,557.5160193937859,2025-02-01 00:00,557.5160193937859,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 03:10:00,551.6359897408255,551.6359897408255,2025-02-01 00:00,551.6359897408255,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 03:20:00,550.3496987848387,550.3496987848387,2025-02-01 00:00,550.3496987848387,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 03:30:00,548.8317068090373,548.8317068090373,2025-02-01 00:00,548.8317068090373,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 03:40:00,526.6274516586809,526.6274516586809,2025-02-01 00:00,526.6274516586809,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 03:50:00,527.7176381872251,527.7176381872251,2025-02-01 00:00,527.7176381872251,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 04:00:00,562.0150682987138,562.0150682987138,2025-02-01 00:00,562.0150682987138,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 04:10:00,557.0000194604846,557.0000194604846,2025-02-01 00:00,557.0000194604846,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 04:20:00,558.75181410148,558.75181410148,2025-02-01 00:00,558.75181410148,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 04:30:00,568.2782531872493,568.2782531872493,2025-02-01 00:00,568.2782531872493,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 04:40:00,566.1102635142184,566.1102635142184,2025-02-01 00:00,566.1102635142184,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 04:50:00,571.9123466315883,571.9123466315883,2025-02-01 00:00,571.9123466315883,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 05:00:00,554.8908933326021,554.8908933326021,2025-02-01 00:00,554.8908933326021,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 05:10:00,573.9069038813299,573.9069038813299,2025-02-01 00:00,573.9069038813299,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 05:20:00,605.9423115256784,605.9423115256784,2025-02-01 00:00,605.9423115256784,True
B2,initial_plan,2025-02-01 00:00,2025-02-01 05:30:00,599.4171462504426,599.4171462504426,2025-02-01 00:00,599.4171462504426,True
