group,date,update_hour,published_at,remaining_intervals,state_at_update_kWh,old_ordinary_yuan,old_adjustment_yuan,old_predicted_emergency_yuan,old_predicted_total_yuan,new_ordinary_yuan,new_adjustment_yuan,new_predicted_emergency_yuan,new_predicted_total_yuan,delta_predicted_yuan,accepted,revision_kWh
B2,2025-02-01,6,2025-02-01 06:00,109,10800.0,13368.442619499021,0.0,0.0,13368.442619499021,10846.80589868108,1260.8183604089704,0.0,12107.62425909005,-1260.8183604089718,True,4449.205520708468
B2,2025-02-01,12,2025-02-01 12:00,73,7299.7686883333345,10846.80589868108,1260.8183604089704,1366.662437259882,13474.286696349931,11029.164286624022,1169.6391664374996,0.0,12198.803453061522,-1275.4832432884086,True,237.5066391365584
B2,2025-02-01,18,2025-02-01 18:00,37,10800.0,5499.981838408502,0.0,0.0,5499.981838408502,5499.981838408504,1.111948222387582e-12,0.0,5499.981838408505,2.7284841053187847e-12,False,1.8189894035458565e-12
B2,2025-02-02,6,2025-02-02 06:00,109,10800.0,44949.1985247455,0.0,144.7567426373599,45093.95526738286,42665.93335486288,1170.583933468784,0.0,43836.51728833166,-1257.4379790511957,True,3408.1625821246416
B2,2025-02-02,12,2025-02-02 12:00,73,7054.0098063929545,31694.651853344505,735.9508188090288,845.8481031994232,33276.450775352954,30574.023638291415,1335.7654937018776,0.0,31909.789131993293,-1366.661643359661,True,2099.177676389313
B2,2025-02-02,18,2025-02-02 18:00,37,10800.0,13577.582755056123,0.0,0.0,13577.582755056123,13577.582755056123,2.0221705199219293e-12,1.0541714345890795e-11,13577.582755056135,1.2732925824820995e-11,False,6.59383658785373e-12
B2,2025-02-03,6,2025-02-03 06:00,109,10800.0,45986.44084624947,0.0,19.9970368561698,46006.43788310564,42345.68019199007,1823.0928557805266,0.0,44168.77304777059,-1837.6648353350465,True,5042.965916260882
B2,2025-02-03,12,2025-02-03 12:00,73,6388.601015998269,31977.491839326787,1046.3896949158648,332.4078631232497,33356.2893973659,30803.137563758875,1630.8543040489903,0.0,32433.991867807865,-922.2975295580363,True,1790.558787217388
B2,2025-02-03,18,2025-02-03 18:00,37,10800.0,13423.695283930505,0.0,0.0,13423.695283930505,13423.695283930505,1.2889586287201382e-12,0.0,13423.695283930507,1.8189894035458565e-12,False,3.751665644813329e-12
B2,2025-02-04,6,2025-02-04 06:00,109,10800.0,46244.90751869269,0.0,785.3040596276979,47030.21157832039,43084.53529846004,1731.0431551522552,8.723873179405928e-12,44815.5784536123,-2214.633124708089,True,4583.879039682314
