group,date,total_cost_yuan,emergency_kWh,state_start_kWh,state_end_kWh
B0,2025-02-01,22252.00467988426,0.0,6075.795025925926,2749.155534699689
B0,2025-02-02,58601.55634291614,0.0,2749.155534699689,2631.56005295408
B0,2025-02-03,57406.89572385436,0.0,2631.56005295408,2334.751404912955
B0,2025-02-04,55011.11748276892,0.0,2334.751404912955,1688.1314144935482
B0,2025-02-05,56357.5719628058,328.8916053815769,1688.1314144935482,1747.2531695629689
B0,2025-02-06,55842.10959158965,25.168905545381335,1747.2531695629689,1640.2676780711352
B0,2025-02-07,22640.43120632042,0.0,1640.2676780711352,1855.7314879772796
B0,2025-02-08,21045.059447583826,0.0,1855.7314879772796,1949.747975030882
B0,2025-02-09,55400.8534198608,0.0,1949.747975030882,2005.7531851050096
B0,2025-02-10,55627.41590939725,0.0,2005.7531851050096,1859.3440006443336
B0,2025-02-11,54668.0082071844,0.0,1859.3440006443336,1908.9693685227635
B0,2025-02-12,53709.1267627166,0.0,1908.9693685227635,1706.8216676144707
B0,2025-02-13,53798.0179462945,0.0,1706.8216676144707,1849.16177218892
B0,2025-02-14,19711.9413034292,0.0,1849.16177218892,1968.6878690483672
B0,2025-02-15,19611.580528641658,244.06111844901713,1968.6878690483672,1219.4532830403816
B0,2025-02-16,50513.50657746455,32.76040374001627,1219.4532830403816,1304.5307122682666
B0,2025-02-17,50536.07540423381,0.0,1304.5307122682666,1300.089567824199
B0,2025-02-18,50406.48305734466,0.0,1300.089567824199,1809.9080097614485
B0,2025-02-19,49270.141290448155,131.48490757461437,1809.9080097614485,1200.0
B0,2025-02-20,49459.32010909872,18.864884293585305,1200.0,1822.4236441679225
B0,2025-02-21,18344.16892369019,0.0,1822.4236441679225,1690.350337007067
B0,2025-02-22,17958.454764846334,2.392122553127763,1690.350337007067,1442.304163587336
B0,2025-02-23,47152.877830407546,28.01238393496012,1442.304163587336,1283.5827528437258
B0,2025-02-24,48464.22487661413,19.965664742987315,1283.5827528437258,1393.0270670995628
B0,2025-02-25,48564.992250457675,59.33638246299961,1393.0270670995628,1478.3319317953242
B0,2025-02-26,46938.34374719689,0.0,1478.3319317953242,1557.7701420475455
B0,2025-02-27,47254.05250496433,169.5787336371565,1557.7701420475455,1696.6855854835037
B0,2025-02-28,17836.829820460323,0.0,1696.6855854835037,1770.4578877304336
B0,2025-03-01,17453.179596231366,0.0,1770.4578877304336,1591.2276531790606
B0,2025-03-02,67391.6557427522,3473.947344424319,1591.2276531790606,1200.0
B0,2025-03-03,50483.80997161771,552.7411638936497,1200.0,1249.6862923932688
B0,2025-03-04,48175.68491601767,0.0,1249.6862923932688,1282.7520619434051
B0,2025-03-05,47976.78278335098,3.286666666666747,1282.7520619434051,1524.060573725034
B0,2025-03-06,46848.133699744045,0.0,1524.060573725034,1542.7164970739918
B0,2025-03-07,17152.347688632715,0.0,1542.7164970739918,1848.8709733285732
B0,2025-03-08,16341.988491542945,0.0,1848.8709733285732,1718.0706850495403
B0,2025-03-09,45954.86282516855,0.0,1718.0706850495403,1547.3455718247303
B0,2025-03-10,44960.81758953842,0.0,1547.3455718247303,1646.746654928476
B0,2025-03-11,47606.46806937378,0.0,1646.746654928476,2037.1807564556632
B0,2025-03-12,43892.93313904474,0.0,2037.1807564556632,1534.02167156701
B0,2025-03-13,50169.28307574891,986.246678724616,1534.02167156701,1465.9026670657222
B0,2025-03-14,16868.35478346792,0.0,1465.9026670657222,2125.9275898606325
B0,2025-03-15,16091.20900136869,0.0,2125.9275898606325,1601.1125697493983
B0,2025-03-16,44426.605628684156,1.6400000000001,1601.1125697493983,1918.561979744908
B0,2025-03-17,43015.67413623811,0.0,1918.561979744908,1995.122074306587
B0,2025-03-18,42572.37317813044,0.0,1995.122074306587,1834.6982301734315
B0,2025-03-19,41618.47476714204,0.0,1834.6982301734315,2053.707415024257
B0,2025-03-20,42052.03607770525,0.0,2053.707415024257,1635.16413975897
B0,2025-03-21,15700.731017048425,0.0,1635.16413975897,1650.5323646659244
B0,2025-03-22,15836.872787386295,0.0,1650.5323646659244,2280.489108678327
B0,2025-03-23,39011.46566673851,0.0,2280.489108678327,1609.8652951968083
B0,2025-03-24,39299.24073980419,0.0,1609.8652951968083,1545.180273350367
B0,2025-03-25,40418.51407936643,0.0,1545.180273350367,1553.447327494918
B0,2025-03-26,40266.658435013815,0.0,1553.447327494918,1782.8184225107707
B0,2025-03-27,40071.54657019863,0.0,1782.8184225107707,1721.0742211687584
B0,2025-03-28,15275.751549375398,0.0,1721.0742211687584,2195.213639783105
B0,2025-03-29,14636.734709849088,0.0,2195.213639783105,1895.353334295459
B0,2025-03-30,37493.58073232428,0.0,1895.353334295459,1927.3799293879024
B0,2025-03-31,37294.66970909585,0.0,1927.3799293879024,1801.840686594842
B0,2025-04-01,47818.65603711134,1511.4722449311585,1801.840686594842,1623.3825760213815
B0,2025-04-02,47298.995599517744,1708.4132271939252,1623.3825760213815,1789.4550760576212
B0,2025-04-03,40503.152097829945,0.0,1789.4550760576212,1813.9724831236908
B0,2025-04-04,14556.853525841527,0.0,1813.9724831236908,2029.848018107896
B0,2025-04-05,14459.992196517844,0.0,2029.848018107896,1710.4043273267114
B0,2025-04-06,38549.4439893703,0.0,1710.4043273267114,1606.8477777401963
B0,2025-04-07,38074.57580228084,0.0,1606.8477777401963,1823.7238139609187
B0,2025-04-08,38170.05370371113,0.0,1823.7238139609187,1403.4544206664868
B0,2025-04-09,38179.944555512986,0.0,1403.4544206664868,1488.574823000342
B0,2025-04-10,38974.89131568054,0.0,1488.574823000342,1925.2221045190224
B0,2025-04-11,14098.207572088762,0.0,1925.2221045190224,1773.0400911095596
B0,2025-04-12,14264.426132331684,0.0,1773.0400911095596,2017.9374954591924
B0,2025-04-13,37545.6051571936,0.0,2017.9374954591924,1779.9432978485224
B0,2025-04-14,37396.20469886388,0.0,1779.9432978485224,1660.3680706575883
B0,2025-04-15,36907.42404367014,0.0,1660.3680706575883,1837.2102394966887
B0,2025-04-16,37054.117791411234,0.0,1837.2102394966887,1734.8518519102402
B0,2025-04-17,36997.545765133436,0.0,1734.8518519102402,1977.744128599988
B0,2025-04-18,13619.162046842766,0.0,1977.744128599988,2256.4836746189176
B0,2025-04-19,13575.911141508079,0.0,2256.4836746189176,2111.263565352802
B0,2025-04-20,36414.062555278906,0.0,2111.263565352802,2047.5414907801369
B0,2025-04-21,36603.36952558463,0.0,2047.5414907801369,1552.6860546211008
B0,2025-04-22,34812.6105375055,0.0,1552.6860546211008,1816.446204203744
B0,2025-04-23,36089.338321793744,0.0,1816.446204203744,2027.6754473892831
B0,2025-04-24,35952.0026888164,0.0,2027.6754473892831,1935.7344280231207
B0,2025-04-25,12875.145832161856,0.0,1935.7344280231207,1685.5922458710686
B0,2025-04-26,13079.567321190525,0.0,1685.5922458710686,1656.9974621441722
B0,2025-04-27,37461.05194783877,650.8179860384297,1656.9974621441722,1505.3303586063723
B0,2025-04-28,51347.71799585862,2461.394078695659,1505.3303586063723,1550.852490797188
B0,2025-04-29,35800.400511843254,0.0,1550.852490797188,1767.121418369708
B0,2025-04-30,34943.993709094684,0.0,1767.121418369708,1753.9513780052746
B0,2025-05-01,46333.41716747659,2252.7757485486472,1753.9513780052746,1206.5189035007877
B0,2025-05-02,25556.900040676508,2228.2680228638847,1206.5189035007877,1200.0
