group,month,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
B0,2025-02,1199301.0368461993,0.0,5082.124826275827,1204383.161672475
B0,2025-03,1094088.6405376778,0.0,32269.800620023794,1126358.4411577017
B0,2025-04,923306.5627893837,0.0,40117.86133000099,963424.4241193846
B0,2025-05,949971.0529518849,0.0,44101.24383876411,994072.2967906491
B0,2025-06,1301890.1616082748,0.0,104571.48039723892,1406461.6420055137
B0,2025-07,1435767.216348573,0.0,54037.029962768014,1489804.2463113412
B0,2025-08,1247087.2971336094,0.0,28855.561094867488,1275942.858228477
B0,2025-09,1095728.344865392,0.0,52360.47767337418,1148088.822538766
B0,2025-10,1101604.789773881,0.0,18588.47611584202,1120193.2658897229
B0,2025-11,1260975.4722302486,0.0,1707.5443679725365,1262683.0165982211
B0,2025-12,1655183.7008317118,0.0,52741.80828768827,1707925.5091194
B1,2025-02,1230472.104924804,0.0,7201.244476075923,1237673.34940088
B1,2025-03,1119801.3884918434,0.0,45699.980685149436,1165501.3691769927
B1,2025-04,931342.4479916502,0.0,14027.123035371656,945369.5710270219
B1,2025-05,945042.2890107587,0.0,38373.20662444442,983415.4956352032
B1,2025-06,1295118.9964650937,0.0,16917.703098471844,1312036.6995635657
B1,2025-07,1466038.701192077,0.0,95381.51642590565,1561420.2176179825
B1,2025-08,1278776.52950166,0.0,25476.587322213873,1304253.1168238737
B1,2025-09,1113500.7304144518,0.0,47882.69057929916,1161383.4209937511
B1,2025-10,1133491.4334170534,0.0,32307.339632506297,1165798.7730495597
B1,2025-11,1271002.7130180483,0.0,9291.604866804222,1280294.3178848524
B1,2025-12,1667905.1068473198,0.0,63035.560170593126,1730940.667017913
B2,2025-02,1162441.78583246,39904.86727238767,2309.787536812044,1204656.4406416598
B2,2025-03,1071151.3684397985,39827.90351771759,3014.5322113832253,1113993.8041688993
B2,2025-04,897315.1559407671,29303.89421258371,0.0,926619.0501533508
B2,2025-05,916308.5670872001,29057.283489434776,31763.30369624096,977129.1542728759
B2,2025-06,1246999.2547548243,47060.01705678832,12910.230284547179,1306969.5020961598
B2,2025-07,1415438.5255434946,53578.255783161025,21091.09077762602,1490107.8721042818
B2,2025-08,1229421.7034251986,40786.97664502055,7397.536780041545,1277606.2168502605
B2,2025-09,1069102.5663299737,37752.57654356183,14852.250403076836,1121707.3932766125
B2,2025-10,1070550.1175910614,43432.700147207994,3018.36453952913,1117001.1822777984
B2,2025-11,1238232.9413600606,31630.508421462127,1400.6834932977383,1271264.1332748206
B2,2025-12,1613653.1824679815,39531.12216059439,32073.212341859424,1685257.5169704352
