month,B0,B1,B2,B1_minus_B0,B2_minus_B1
2025-02,1204383.161672475,1237673.34940088,1204656.4406416598,33290.187728405,-33016.90875922027
2025-03,1126358.4411577017,1165501.3691769927,1113993.8041688993,39142.92801929102,-51507.56500809337
2025-04,963424.4241193846,945369.5710270219,926619.0501533508,-18054.853092362755,-18750.52087367105
2025-05,994072.2967906491,983415.4956352032,977129.1542728759,-10656.801155445864,-6286.341362327337
2025-06,1406461.6420055137,1312036.6995635657,1306969.5020961598,-94424.94244194799,-5067.197467405815
2025-07,1489804.2463113412,1561420.2176179825,1490107.8721042818,71615.97130664135,-71312.34551370074
2025-08,1275942.858228477,1304253.1168238737,1277606.2168502605,28310.258595396765,-26646.89997361321
2025-09,1148088.822538766,1161383.4209937511,1121707.3932766125,13294.59845498507,-39676.02771713864
2025-10,1120193.2658897229,1165798.7730495597,1117001.1822777984,45605.50715983682,-48797.59077176126
2025-11,1262683.0165982211,1280294.3178848524,1271264.1332748206,17611.301286631264,-9030.184610031778
2025-12,1707925.5091194,1730940.667017913,1685257.5169704352,23015.1578985129,-45683.1500474778
