group,interval_start,interval_end,owner_date,effective_version,price_yuan_kWh,actual_load_kW,actual_pv_kW,net_kWh,q0_kWh,q_eff_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
F43,2025-02-01 00:00:00,2025-02-01 00:10:00,2025-01-31,public_January,0.309,2543.76,0.0,423.96000000000004,0.0,0.0,0.0,423.96000000000004,0.0,0.0,6097.354409999999,5626.287743333332,0.0,0.0,0.0,0.0
F43,2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01,2025-02-01 00:00,0.3281,2532.1822,0.0,422.0303666666667,1289.0692503351213,1289.0692503351213,833.3333333333334,0.0,0.0,33.7055503351213,5626.287743333332,6376.287743333332,422.9436210349533,0.0,0.0,422.9436210349533
F43,2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01,2025-02-01 00:00,0.3257,2492.4439,0.0,415.4073166666667,1298.0504287055835,1298.0504287055835,833.3333333333334,0.0,0.0,49.309778705583426,6376.287743333332,7126.287743333332,422.7750246294085,0.0,0.0,422.7750246294085
F43,2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01,2025-02-01 00:00,0.3041,2464.3,0.0,410.7166666666667,1306.1060520077149,1306.1060520077149,833.3333333333334,0.0,0.0,62.05605200771481,7126.287743333332,7876.287743333332,397.1868504155461,0.0,0.0,397.1868504155461
F43,2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01,2025-02-01 00:00,0.3126,2581.7688,0.0,430.29479999999995,1309.5896046093233,1309.5896046093233,833.3333333333334,0.0,0.0,45.96147127598999,7876.287743333332,8626.287743333332,409.37771040087443,0.0,0.0,409.37771040087443
F43,2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01,2025-02-01 00:00,0.3286,2546.4635,0.0,424.4105833333333,1309.0798924457345,1309.0798924457345,833.3333333333334,0.0,0.0,51.33597577906778,8626.287743333332,9376.287743333332,430.16365265766837,0.0,0.0,430.16365265766837
F43,2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01,2025-02-01 00:00,0.3438,2436.31,0.0,406.0516666666666,501.909523814466,501.909523814466,95.8578571477994,0.0,0.0,0.0,9376.287743333332,9462.559814766351,172.55649428741341,0.0,0.0,172.55649428741341
F43,2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01,2025-02-01 00:00,0.3704,2620.5011,0.0,436.7501833333333,500.9540259215924,500.9540259215924,64.20384258825908,0.0,0.0,0.0,9462.559814766351,9520.343273095785,185.55337120135783,0.0,0.0,185.55337120135783
F43,2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01,2025-02-01 00:00,0.3746,2710.7861,0.0,451.7976833333333,486.9273603812024,486.9273603812024,35.12967704786911,0.0,0.0,0.0,9520.343273095785,9551.959982438866,182.40298919879842,0.0,0.0,182.40298919879842
F43,2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01,2025-02-01 00:00,0.3606,2676.48,0.0,446.08,1321.086710062281,1321.086710062281,833.3333333333334,0.0,0.0,41.6733767289478,9551.959982438866,10301.959982438866,476.38386764845853,0.0,0.0,476.38386764845853
F43,2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01,2025-02-01 00:00,0.3582,2830.598,0.0,471.7663333333333,498.4686633364116,498.4686633364116,26.702330003078316,0.0,0.0,0.0,10301.959982438866,10325.992079441636,178.55147520710264,0.0,0.0,178.55147520710264
F43,2025-02-01 01:50:00,2025-02-01 02:00:00,2025-02-01,2025-02-01 00:00,0.3041,2688.1558,0.0,448.02596666666665,515.1747672971175,515.1747672971175,67.14880063045081,0.0,0.0,0.0,10325.992079441636,10386.426000009042,156.6646467350534,0.0,0.0,156.6646467350534
F43,2025-02-01 02:00:00,2025-02-01 02:10:00,2025-02-01,2025-02-01 00:00,0.2537,2384.42,0.0,397.4033333333333,537.4309758006063,537.4309758006063,140.02764246727304,0.0,0.0,0.0,10386.426000009042,10512.450878229587,136.3462385606138,0.0,0.0,136.3462385606138
F43,2025-02-01 02:10:00,2025-02-01 02:20:00,2025-02-01,2025-02-01 00:00,0.3346,2604.5438,0.0,434.0906333333333,496.8615928685187,496.8615928685187,62.7709595351854,0.0,0.0,0.0,10512.450878229587,10568.944741811254,166.24988897380635,0.0,0.0,166.24988897380635
F43,2025-02-01 02:20:00,2025-02-01 02:30:00,2025-02-01,2025-02-01 00:00,0.3971,2943.3655,0.0,490.5609166666666,514.8206343596333,514.8206343596333,24.259717692966717,0.0,0.0,0.0,10568.944741811254,10590.778487734924,204.43527390421042,0.0,0.0,204.43527390421042
F43,2025-02-01 02:30:00,2025-02-01 02:40:00,2025-02-01,2025-02-01 00:00,0.367,3019.32,0.0,503.22,530.3478004869163,530.3478004869163,27.12780048691627,0.0,0.0,0.0,10590.778487734924,10615.193508173148,194.63764277869828,0.0,0.0,194.63764277869828
F43,2025-02-01 02:40:00,2025-02-01 02:50:00,2025-02-01,2025-02-01 00:00,0.3185,2844.4369,0.0,474.07281666666665,525.7886537772307,525.7886537772307,51.71583711056405,0.0,0.0,0.0,10615.193508173148,10661.737761572656,167.46368622804798,0.0,0.0,167.46368622804798
F43,2025-02-01 02:50:00,2025-02-01 03:00:00,2025-02-01,2025-02-01 00:00,0.3285,2768.3064,0.0,461.38439999999997,548.2874690539056,548.2874690539056,86.90306905390565,0.0,0.0,0.0,10661.737761572656,10739.95052372117,180.112433584208,0.0,0.0,180.112433584208
F43,2025-02-01 03:00:00,2025-02-01 03:10:00,2025-02-01,2025-02-01 00:00,0.3772,2861.65,0.0,476.94166666666666,557.5160193937859,557.5160193937859,66.72164030981043,0.0,0.0,13.852712417308794,10739.95052372117,10800.0,210.29504251533604,0.0,0.0,210.29504251533604
