group,date,update_hour,published_at,remaining_intervals,state_at_update_kWh,old_ordinary_yuan,old_adjustment_yuan,old_predicted_emergency_yuan,old_predicted_total_yuan,new_ordinary_yuan,new_adjustment_yuan,new_predicted_emergency_yuan,new_predicted_total_yuan,delta_predicted_yuan,accepted,revision_kWh
Q43_S0,2025-02-01,6,2025-02-01 06:00,109,10209.798703703704,10300.53525628796,0.0,0.0,10300.53525628796,8484.668624621045,907.9333158334572,0.0,9392.601940454502,-907.9333158334575,True,4063.3379041123912
Q43_S0,2025-02-01,12,2025-02-01 12:00,73,6709.567392037039,8484.668624621045,684.1364364438705,1296.4085722400246,10465.21363330494,8664.659353154719,594.1410721770335,0.0,9258.800425331752,-1206.413207973188,True,264.5568585502968
Q43_S0,2025-02-01,18,2025-02-01 18:00,37,10800.0,4240.605573473821,0.21181049999999643,0.0,4240.817383973821,4240.605573473822,0.21181050000080823,0.0,4240.817383973823,1.8189894035458565e-12,False,2.4655832930875476e-12
Q43_S0,2025-02-02,6,2025-02-02 06:00,109,10800.0,49511.8375314574,0.0,131.77686503167462,49643.61439648907,46907.53824690905,1328.5050152805134,0.0,48236.04326218956,-1407.5711342995128,True,3142.4976951128256
Q43_S0,2025-02-02,12,2025-02-02 12:00,73,6950.697860004279,33854.50230918945,808.8398787990188,1034.92754902564,35698.2697370141,32774.597534716035,1443.7532765534104,0.0,34218.35081126945,-1479.918925744656,True,1682.7978607751284
Q43_S0,2025-02-02,18,2025-02-02 18:00,37,10800.0,13283.0817398405,1.6999816666666983,0.0,13284.781721507166,13283.081739840502,1.6999816666686935,0.0,13284.78172150717,3.637978807091713e-12,False,5.059064278611913e-12
Q43_S0,2025-02-03,6,2025-02-03 06:00,109,10800.0,52021.84208034156,0.0,2.060720503467073,52023.902800845026,47901.476230899534,2060.5477766393474,0.0,49962.02400753888,-2061.8787933061467,True,4631.315083865578
Q43_S0,2025-02-03,12,2025-02-03 12:00,73,6146.525763431457,35097.0983828735,1163.2248599529646,447.7883415737809,36708.11158440024,34038.823578862655,1691.9974100400525,0.0,35730.820988902706,-977.2905954975358,True,1382.2291244138355
Q43_S0,2025-02-03,18,2025-02-03 18:00,37,10800.0,13276.72236784076,1.5718850000000293,0.0,13278.29425284076,13276.722367840764,1.5718850000024112,1.47241507875151e-12,13278.294252840768,7.275957614183426e-12,False,7.105427357601002e-12
Q43_S0,2025-02-04,6,2025-02-04 06:00,109,10800.0,52304.244896858174,0.0,3.9155343784722025,52308.16043123665,48835.770507077454,1735.0203017660594,0.0,50570.790808843514,-1737.3696223931329,True,4015.0136699743034
