group,date,update_hour,kind,objective_yuan,mip_gap,seconds,max_violation_kWh,n_intervals,context
Q43_S0,2025-02-01,0,plan,18474.073027320865,0.0,0.022156199906021357,2.035408878479454e-12,144,Q43_S0 2025-02-01 00:00 plan
Q43_S0,2025-02-01,6,revision,9392.601940454502,0.0,0.018502900144085288,8.526512829121202e-13,109,Q43_S0 2025-02-01 06:00
Q43_S0,2025-02-01,12,revision,9258.800425331752,0.0,0.018451200099661946,1.223095698795381e-10,73,Q43_S0 2025-02-01 12:00
Q43_S0,2025-02-01,18,revision,4240.817383973821,0.0,0.007490900112316012,9.094947017729282e-13,37,Q43_S0 2025-02-01 18:00
Q43_S0,2025-02-02,0,plan,64403.62923654401,0.0,0.019832500023767352,7.958078640513122e-13,144,Q43_S0 2025-02-02 00:00 plan
Q43_S0,2025-02-02,6,revision,48236.04326218955,0.0,0.020760999992489815,2.942091015256665e-11,109,Q43_S0 2025-02-02 06:00
Q43_S0,2025-02-02,12,revision,34218.35081126945,0.0,0.014343600021675229,9.094947017729282e-13,73,Q43_S0 2025-02-02 12:00
Q43_S0,2025-02-02,18,revision,13284.781721507166,0.0,0.007591499947011471,1.2505552149377763e-12,37,Q43_S0 2025-02-02 18:00
Q43_S0,2025-02-03,0,plan,66613.82433833256,0.0,0.028422300005331635,8.526512829121202e-13,144,Q43_S0 2025-02-03 00:00 plan
Q43_S0,2025-02-03,6,revision,49962.02400753888,0.0,0.022728400072082877,7.958078640513122e-13,109,Q43_S0 2025-02-03 06:00
Q43_S0,2025-02-03,12,revision,35730.820988902706,0.0,0.013788300100713968,5.684341886080801e-13,73,Q43_S0 2025-02-03 12:00
Q43_S0,2025-02-03,18,revision,13278.294252840762,0.0,0.007312699919566512,1.8189894035458565e-12,37,Q43_S0 2025-02-03 18:00
Q43_S0,2025-02-04,0,plan,66885.28556733375,0.0,0.013174100080505013,9.094947017729282e-13,144,Q43_S0 2025-02-04 00:00 plan
Q43_S0,2025-02-04,6,revision,50570.79080884351,1.4387668252383848e-16,0.012437300058081746,9.094947017729282e-13,109,Q43_S0 2025-02-04 06:00
Q43_S0,2025-02-04,12,revision,35031.31872191886,0.0,0.01428359979763627,7.958078640513122e-13,73,Q43_S0 2025-02-04 12:00
Q43_S0,2025-02-04,18,revision,12670.29479920958,0.0,0.012940800050273538,6.821210263296962e-13,37,Q43_S0 2025-02-04 18:00
Q43_S0,2025-02-05,0,plan,62443.98667956789,0.0,0.024120300076901913,9.094947017729282e-13,144,Q43_S0 2025-02-05 00:00 plan
Q43_S0,2025-02-05,6,revision,48347.949595133425,0.0,0.03889820002950728,2.4655832930875476e-12,109,Q43_S0 2025-02-05 06:00
