group,date,update_hour,segment_index,interval_start,q_nominal_kWh,state_nominal_kWh
Q43_S2,2025-02-01,0,0,2025-02-01 00:10:00,453.437067001788,5575.012784515809
Q43_S2,2025-02-01,0,1,2025-02-01 00:20:00,1269.575048397362,5575.012784515809
Q43_S2,2025-02-01,0,2,2025-02-01 00:30:00,1304.606052007715,6300.0
Q43_S2,2025-02-01,0,3,2025-02-01 00:40:00,1304.1257421914345,7050.0
Q43_S2,2025-02-01,0,4,2025-02-01 00:50:00,473.21893312766576,7800.0
Q43_S2,2025-02-01,0,5,2025-02-01 01:00:00,494.01820161461194,7800.0
Q43_S2,2025-02-01,0,6,2025-02-01 01:10:00,500.5733759215923,7800.0
Q43_S2,2025-02-01,0,7,2025-02-01 01:20:00,475.4419270478692,7800.0
Q43_S2,2025-02-01,0,8,2025-02-01 01:30:00,477.5959821580353,7800.0
Q43_S2,2025-02-01,0,9,2025-02-01 01:40:00,494.913732198216,7800.0
Q43_S2,2025-02-01,0,10,2025-02-01 01:50:00,1345.1373172971175,7800.0
Q43_S2,2025-02-01,0,11,2025-02-01 02:00:00,1361.0602127470756,8550.0
Q43_S2,2025-02-01,0,12,2025-02-01 02:10:00,493.4204349535627,9300.0
Q43_S2,2025-02-01,0,13,2025-02-01 02:20:00,509.9211510263,9300.0
Q43_S2,2025-02-01,0,14,2025-02-01 02:30:00,526.964467153583,9300.0
Q43_S2,2025-02-01,0,15,2025-02-01 02:40:00,1342.8452537772305,9300.0
Q43_S2,2025-02-01,0,16,2025-02-01 02:50:00,531.5256190539055,10050.0
Q43_S2,2025-02-01,0,17,2025-02-01 03:00:00,551.5807639666189,10050.0
Q43_S2,2025-02-01,0,18,2025-02-01 03:10:00,548.8706277285042,10050.0
Q43_S2,2025-02-01,0,19,2025-02-01 03:20:00,544.9564373725609,10050.0
Q43_S2,2025-02-01,0,20,2025-02-01 03:30:00,531.8296633019006,10050.0
Q43_S2,2025-02-01,0,21,2025-02-01 03:40:00,514.3497551454577,10050.0
Q43_S2,2025-02-01,0,22,2025-02-01 03:50:00,525.1401987699934,10050.0
Q43_S2,2025-02-01,0,23,2025-02-01 04:00:00,1390.6067349653804,10050.0
Q43_S2,2025-02-01,0,24,2025-02-01 04:10:00,553.4983719204369,10800.0
Q43_S2,2025-02-01,0,25,2025-02-01 04:20:00,555.1513455018985,10800.0
Q43_S2,2025-02-01,0,26,2025-02-01 04:30:00,561.5752676059519,10800.0
