group,month,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
Q42,2025-02,1257369.6539710492,0.0,7950.357491957269,1265320.0114630065
Q42,2025-03,1083257.2570343674,0.0,31413.79344287643,1114671.050477244
Q42,2025-04,892032.3936288066,0.0,37391.351794370894,929423.7454231775
Q42,2025-05,919321.3281411567,0.0,41059.04014265454,960380.3682838113
Q42,2025-06,1371854.0327751965,0.0,108265.73978865743,1480119.772563854
Q42,2025-07,1625066.1165379283,0.0,67371.79256383538,1692437.9091017637
Q42,2025-08,1368367.507087162,0.0,34764.71056294529,1403132.2176501073
Q42,2025-09,1088716.2236314039,0.0,54987.490279637845,1143703.7139110419
Q42,2025-10,1088249.7871336527,0.0,18810.986738620915,1107060.7738722735
Q42,2025-11,1307523.1982542363,0.0,3567.351218275026,1311090.5494725113
Q42,2025-12,1870358.6597358307,0.0,70209.12009082918,1940567.77982666
Q43_S0,2025-02,1202574.967476144,42133.33282629213,8898.546986587251,1253606.8472890235
Q43_S0,2025-03,1048774.4716529413,37877.80232408903,7079.402091260934,1093731.6760682913
Q43_S0,2025-04,859489.6377489112,27161.152777149,183.0678062036534,886833.8583322639
Q43_S0,2025-05,874558.1039581173,27035.396395668577,37939.97461486581,939533.4749686517
Q43_S0,2025-06,1294607.222407478,44723.47448099638,21262.382247623405,1360593.0791360978
Q43_S0,2025-07,1582300.1263786452,55931.525464853024,35958.28537225776,1674189.937215756
Q43_S0,2025-08,1333965.4795469693,35770.89437843222,14262.702377817057,1383999.0763032185
Q43_S0,2025-09,1048131.0176123535,34337.839286663344,27207.897449072312,1109676.7543480892
Q43_S0,2025-10,1047624.8275763347,38948.00742016243,8127.287723980956,1094700.122720478
Q43_S0,2025-11,1269316.5468486971,33096.42150236859,1880.0413510214614,1304293.0097020874
Q43_S0,2025-12,1801151.4813062586,44369.68872388798,46994.27949042912,1892515.4495205756
Q43_S2,2025-02,1204528.923964158,46873.13097394617,7426.839175592979,1258828.894113697
Q43_S2,2025-03,1053601.6701621031,39467.981918114936,2328.66007761092,1095398.312157829
Q43_S2,2025-04,859493.595288031,27488.702683563995,503.80572878195284,887486.103700377
Q43_S2,2025-05,876480.9364561255,34259.72328179706,22884.001978498836,933624.6617164214
Q43_S2,2025-06,1293084.6432236293,51843.23198122722,16260.877804478852,1361188.7530093356
Q43_S2,2025-07,1574352.3273613502,66060.87791114155,19432.935128629753,1659846.1404011215
Q43_S2,2025-08,1329371.389204549,39120.14380344552,16547.255058683422,1385038.7880666777
Q43_S2,2025-09,1048691.6468043667,44701.84652312827,15640.58883686376,1109034.0821643586
Q43_S2,2025-10,1054743.185429761,43858.62170550726,1744.6675956958895,1100346.474730964
Q43_S2,2025-11,1271312.7131684932,34849.09940510034,1204.202934979145,1307366.0155085728
Q43_S2,2025-12,1796694.8812840537,52217.49482145934,25738.305969218614,1874650.6820747317
F42,2025-02,1266233.1339669116,0.0,5210.106050207801,1271443.2400171196
F42,2025-03,1093392.2095918898,0.0,30093.70055887666,1123485.9101507664
F42,2025-04,901489.4157490793,0.0,38998.59223386928,940488.0079829486
F42,2025-05,929972.1617868216,0.0,41252.6507870163,971224.8125738379
F42,2025-06,1385762.9692221957,0.0,107377.3310398018,1493140.3002619976
F42,2025-07,1639795.6563662768,0.0,67076.01536294511,1706871.671729222
F42,2025-08,1381551.60716184,0.0,35096.71779004177,1416648.3249518818
F42,2025-09,1102518.6233345075,0.0,51076.68743197744,1153595.3107664848
F42,2025-10,1098212.6972809285,0.0,17673.669979566963,1115886.3672604954
F42,2025-11,1319599.1186658517,0.0,1644.0846686237862,1321243.2033344754
F42,2025-12,1879941.4344724794,0.0,69534.98945064176,1949476.423923121
F43_S0,2025-02,1211597.5771642455,42059.96836147288,7168.276879717332,1260825.8224054356
F43_S0,2025-03,1058340.349444637,38732.629594791055,7375.761785506427,1104448.7408249346
F43_S0,2025-04,869743.5840850376,24740.99063198666,102.19854985693873,894586.7732668812
F43_S0,2025-05,883696.5783807844,25108.409518673976,37670.09112353692,946475.0790229953
F43_S0,2025-06,1308098.032734637,46317.62079452594,18494.127741921056,1372909.7812710837
F43_S0,2025-07,1597472.1317968867,56280.232115767154,34912.48598890302,1688664.849901557
F43_S0,2025-08,1347715.5924069826,36608.98905092464,13065.024225557136,1397389.6056834643
F43_S0,2025-09,1062329.8954367375,34264.80194877612,25463.047228130778,1122057.7446136444
F43_S0,2025-10,1056847.2376212939,39092.84441079671,8165.075317694188,1104105.1573497846
F43_S0,2025-11,1280164.5498802,32485.930800646955,2145.2031518216486,1314795.6838326687
F43_S0,2025-12,1809046.6940371206,45116.81496119925,53543.25706238178,1907706.7660607016
F43_S2,2025-02,1213643.809403404,46436.21292535325,4576.9167237016445,1264656.9390524589
F43_S2,2025-03,1063010.9986992748,40175.566498987995,2391.91484841967,1105578.4800466825
F43_S2,2025-04,869635.7702139635,25014.881580203422,424.5252046510075,895075.1769988178
F43_S2,2025-05,885806.950661009,32396.648135757103,21608.45147476161,939812.0502715277
F43_S2,2025-06,1306840.9217897428,53302.38089952404,13211.785392215048,1373355.0880814819
F43_S2,2025-07,1589401.0892709042,65915.33222072036,16580.283010151034,1671896.7045017756
F43_S2,2025-08,1343606.7557793788,38962.254544743846,14832.760447627485,1397401.7707717502
F43_S2,2025-09,1062435.2764287926,44315.76388521513,13137.12710585191,1119888.1674198597
F43_S2,2025-10,1064377.316944139,44584.537562116995,1706.0719123880535,1110667.9264186441
F43_S2,2025-11,1282335.4681657392,34421.99658572456,1574.6938096483564,1318332.1585611121
F43_S2,2025-12,1805013.7882684341,53530.44531367987,27764.228554474357,1886308.4621365885
