publication_date,template_slot,interval_start,q_nominal_kWh,kind
2025-01-01,0,2025-01-01 00:10:00,0.0,idle_no_plan
2025-01-01,1,2025-01-01 00:20:00,0.0,idle_no_plan
2025-01-01,2,2025-01-01 00:30:00,0.0,idle_no_plan
2025-01-01,3,2025-01-01 00:40:00,0.0,idle_no_plan
2025-01-01,4,2025-01-01 00:50:00,0.0,idle_no_plan
2025-01-01,5,2025-01-01 01:00:00,0.0,idle_no_plan
2025-01-01,6,2025-01-01 01:10:00,0.0,idle_no_plan
2025-01-01,7,2025-01-01 01:20:00,0.0,idle_no_plan
2025-01-01,8,2025-01-01 01:30:00,0.0,idle_no_plan
2025-01-01,9,2025-01-01 01:40:00,0.0,idle_no_plan
2025-01-01,10,2025-01-01 01:50:00,0.0,idle_no_plan
2025-01-01,11,2025-01-01 02:00:00,0.0,idle_no_plan
2025-01-01,12,2025-01-01 02:10:00,0.0,idle_no_plan
2025-01-01,13,2025-01-01 02:20:00,0.0,idle_no_plan
2025-01-01,14,2025-01-01 02:30:00,0.0,idle_no_plan
2025-01-01,15,2025-01-01 02:40:00,0.0,idle_no_plan
2025-01-01,16,2025-01-01 02:50:00,0.0,idle_no_plan
2025-01-01,17,2025-01-01 03:00:00,0.0,idle_no_plan
2025-01-01,18,2025-01-01 03:10:00,0.0,idle_no_plan
2025-01-01,19,2025-01-01 03:20:00,0.0,idle_no_plan
2025-01-01,20,2025-01-01 03:30:00,0.0,idle_no_plan
2025-01-01,21,2025-01-01 03:40:00,0.0,idle_no_plan
2025-01-01,22,2025-01-01 03:50:00,0.0,idle_no_plan
2025-01-01,23,2025-01-01 04:00:00,0.0,idle_no_plan
2025-01-01,24,2025-01-01 04:10:00,0.0,idle_no_plan
2025-01-01,25,2025-01-01 04:20:00,0.0,idle_no_plan
2025-01-01,26,2025-01-01 04:30:00,0.0,idle_no_plan
2025-01-01,27,2025-01-01 04:40:00,0.0,idle_no_plan
2025-01-01,28,2025-01-01 04:50:00,0.0,idle_no_plan
2025-01-01,29,2025-01-01 05:00:00,0.0,idle_no_plan
2025-01-01,30,2025-01-01 05:10:00,0.0,idle_no_plan
2025-01-01,31,2025-01-01 05:20:00,0.0,idle_no_plan
2025-01-01,32,2025-01-01 05:30:00,0.0,idle_no_plan
2025-01-01,33,2025-01-01 05:40:00,0.0,idle_no_plan
2025-01-01,34,2025-01-01 05:50:00,0.0,idle_no_plan
2025-01-01,35,2025-01-01 06:00:00,0.0,idle_no_plan
2025-01-01,36,2025-01-01 06:10:00,0.0,idle_no_plan
2025-01-01,37,2025-01-01 06:20:00,0.0,idle_no_plan
2025-01-01,38,2025-01-01 06:30:00,0.0,idle_no_plan
2025-01-01,39,2025-01-01 06:40:00,0.0,idle_no_plan
2025-01-01,40,2025-01-01 06:50:00,0.0,idle_no_plan
2025-01-01,41,2025-01-01 07:00:00,0.0,idle_no_plan
2025-01-01,42,2025-01-01 07:10:00,0.0,idle_no_plan
2025-01-01,43,2025-01-01 07:20:00,0.0,idle_no_plan
2025-01-01,44,2025-01-01 07:30:00,0.0,idle_no_plan
2025-01-01,45,2025-01-01 07:40:00,0.0,idle_no_plan
2025-01-01,46,2025-01-01 07:50:00,0.0,idle_no_plan
2025-01-01,47,2025-01-01 08:00:00,0.0,idle_no_plan
2025-01-01,48,2025-01-01 08:10:00,0.0,idle_no_plan
2025-01-01,49,2025-01-01 08:20:00,0.0,idle_no_plan
2025-01-01,50,2025-01-01 08:30:00,0.0,idle_no_plan
2025-01-01,51,2025-01-01 08:40:00,0.0,idle_no_plan
2025-01-01,52,2025-01-01 08:50:00,0.0,idle_no_plan
2025-01-01,53,2025-01-01 09:00:00,0.0,idle_no_plan
2025-01-01,54,2025-01-01 09:10:00,0.0,idle_no_plan
2025-01-01,55,2025-01-01 09:20:00,0.0,idle_no_plan
2025-01-01,56,2025-01-01 09:30:00,0.0,idle_no_plan
2025-01-01,57,2025-01-01 09:40:00,0.0,idle_no_plan
2025-01-01,58,2025-01-01 09:50:00,0.0,idle_no_plan
2025-01-01,59,2025-01-01 10:00:00,0.0,idle_no_plan
2025-01-01,60,2025-01-01 10:10:00,0.0,idle_no_plan
2025-01-01,61,2025-01-01 10:20:00,0.0,idle_no_plan
2025-01-01,62,2025-01-01 10:30:00,0.0,idle_no_plan
2025-01-01,63,2025-01-01 10:40:00,0.0,idle_no_plan
2025-01-01,64,2025-01-01 10:50:00,0.0,idle_no_plan
2025-01-01,65,2025-01-01 11:00:00,0.0,idle_no_plan
2025-01-01,66,2025-01-01 11:10:00,0.0,idle_no_plan
2025-01-01,67,2025-01-01 11:20:00,0.0,idle_no_plan
2025-01-01,68,2025-01-01 11:30:00,0.0,idle_no_plan
2025-01-01,69,2025-01-01 11:40:00,0.0,idle_no_plan
2025-01-01,70,2025-01-01 11:50:00,0.0,idle_no_plan
2025-01-01,71,2025-01-01 12:00:00,0.0,idle_no_plan
2025-01-01,72,2025-01-01 12:10:00,0.0,idle_no_plan
2025-01-01,73,2025-01-01 12:20:00,0.0,idle_no_plan
2025-01-01,74,2025-01-01 12:30:00,0.0,idle_no_plan
2025-01-01,75,2025-01-01 12:40:00,0.0,idle_no_plan
2025-01-01,76,2025-01-01 12:50:00,0.0,idle_no_plan
2025-01-01,77,2025-01-01 13:00:00,0.0,idle_no_plan
2025-01-01,78,2025-01-01 13:10:00,0.0,idle_no_plan
2025-01-01,79,2025-01-01 13:20:00,0.0,idle_no_plan
2025-01-01,80,2025-01-01 13:30:00,0.0,idle_no_plan
2025-01-01,81,2025-01-01 13:40:00,0.0,idle_no_plan
2025-01-01,82,2025-01-01 13:50:00,0.0,idle_no_plan
2025-01-01,83,2025-01-01 14:00:00,0.0,idle_no_plan
2025-01-01,84,2025-01-01 14:10:00,0.0,idle_no_plan
2025-01-01,85,2025-01-01 14:20:00,0.0,idle_no_plan
2025-01-01,86,2025-01-01 14:30:00,0.0,idle_no_plan
2025-01-01,87,2025-01-01 14:40:00,0.0,idle_no_plan
2025-01-01,88,2025-01-01 14:50:00,0.0,idle_no_plan
2025-01-01,89,2025-01-01 15:00:00,0.0,idle_no_plan
2025-01-01,90,2025-01-01 15:10:00,0.0,idle_no_plan
2025-01-01,91,2025-01-01 15:20:00,0.0,idle_no_plan
2025-01-01,92,2025-01-01 15:30:00,0.0,idle_no_plan
2025-01-01,93,2025-01-01 15:40:00,0.0,idle_no_plan
2025-01-01,94,2025-01-01 15:50:00,0.0,idle_no_plan
2025-01-01,95,2025-01-01 16:00:00,0.0,idle_no_plan
2025-01-01,96,2025-01-01 16:10:00,0.0,idle_no_plan
2025-01-01,97,2025-01-01 16:20:00,0.0,idle_no_plan
2025-01-01,98,2025-01-01 16:30:00,0.0,idle_no_plan
2025-01-01,99,2025-01-01 16:40:00,0.0,idle_no_plan
2025-01-01,100,2025-01-01 16:50:00,0.0,idle_no_plan
2025-01-01,101,2025-01-01 17:00:00,0.0,idle_no_plan
2025-01-01,102,2025-01-01 17:10:00,0.0,idle_no_plan
2025-01-01,103,2025-01-01 17:20:00,0.0,idle_no_plan
2025-01-01,104,2025-01-01 17:30:00,0.0,idle_no_plan
2025-01-01,105,2025-01-01 17:40:00,0.0,idle_no_plan
2025-01-01,106,2025-01-01 17:50:00,0.0,idle_no_plan
2025-01-01,107,2025-01-01 18:00:00,0.0,idle_no_plan
2025-01-01,108,2025-01-01 18:10:00,0.0,idle_no_plan
2025-01-01,109,2025-01-01 18:20:00,0.0,idle_no_plan
2025-01-01,110,2025-01-01 18:30:00,0.0,idle_no_plan
2025-01-01,111,2025-01-01 18:40:00,0.0,idle_no_plan
2025-01-01,112,2025-01-01 18:50:00,0.0,idle_no_plan
2025-01-01,113,2025-01-01 19:00:00,0.0,idle_no_plan
2025-01-01,114,2025-01-01 19:10:00,0.0,idle_no_plan
2025-01-01,115,2025-01-01 19:20:00,0.0,idle_no_plan
2025-01-01,116,2025-01-01 19:30:00,0.0,idle_no_plan
2025-01-01,117,2025-01-01 19:40:00,0.0,idle_no_plan
2025-01-01,118,2025-01-01 19:50:00,0.0,idle_no_plan
2025-01-01,119,2025-01-01 20:00:00,0.0,idle_no_plan
2025-01-01,120,2025-01-01 20:10:00,0.0,idle_no_plan
2025-01-01,121,2025-01-01 20:20:00,0.0,idle_no_plan
2025-01-01,122,2025-01-01 20:30:00,0.0,idle_no_plan
2025-01-01,123,2025-01-01 20:40:00,0.0,idle_no_plan
2025-01-01,124,2025-01-01 20:50:00,0.0,idle_no_plan
2025-01-01,125,2025-01-01 21:00:00,0.0,idle_no_plan
2025-01-01,126,2025-01-01 21:10:00,0.0,idle_no_plan
2025-01-01,127,2025-01-01 21:20:00,0.0,idle_no_plan
2025-01-01,128,2025-01-01 21:30:00,0.0,idle_no_plan
2025-01-01,129,2025-01-01 21:40:00,0.0,idle_no_plan
2025-01-01,130,2025-01-01 21:50:00,0.0,idle_no_plan
2025-01-01,131,2025-01-01 22:00:00,0.0,idle_no_plan
2025-01-01,132,2025-01-01 22:10:00,0.0,idle_no_plan
2025-01-01,133,2025-01-01 22:20:00,0.0,idle_no_plan
2025-01-01,134,2025-01-01 22:30:00,0.0,idle_no_plan
2025-01-01,135,2025-01-01 22:40:00,0.0,idle_no_plan
2025-01-01,136,2025-01-01 22:50:00,0.0,idle_no_plan
2025-01-01,137,2025-01-01 23:00:00,0.0,idle_no_plan
2025-01-01,138,2025-01-01 23:10:00,0.0,idle_no_plan
2025-01-01,139,2025-01-01 23:20:00,0.0,idle_no_plan
2025-01-01,140,2025-01-01 23:30:00,0.0,idle_no_plan
2025-01-01,141,2025-01-01 23:40:00,0.0,idle_no_plan
2025-01-01,142,2025-01-01 23:50:00,0.0,idle_no_plan
2025-01-03,0,2025-01-03 00:00:00,616.1166666666666,january_plan
2025-01-03,1,2025-01-03 00:10:00,603.7584833333333,january_plan
2025-01-03,2,2025-01-03 00:20:00,603.7935166666666,january_plan
2025-01-03,3,2025-01-03 00:30:00,618.0383333333333,january_plan
2025-01-03,4,2025-01-03 00:40:00,625.0871,january_plan
2025-01-03,5,2025-01-03 00:50:00,1280.8173,january_plan
2025-01-03,6,2025-01-03 01:00:00,1440.69,january_plan
2025-01-03,7,2025-01-03 01:10:00,1468.2163333333333,january_plan
2025-01-03,8,2025-01-03 01:20:00,1475.8537666666666,january_plan
2025-01-03,9,2025-01-03 01:30:00,1463.9633333333334,january_plan
2025-01-03,10,2025-01-03 01:40:00,651.2308166666667,january_plan
2025-01-03,11,2025-01-03 01:50:00,661.3733,january_plan
2025-01-03,12,2025-01-03 02:00:00,647.795,january_plan
2025-01-03,13,2025-01-03 02:10:00,1477.5650166666667,january_plan
2025-01-03,14,2025-01-03 02:20:00,1488.6143499999998,january_plan
2025-01-03,15,2025-01-03 02:30:00,1509.33,january_plan
2025-01-03,16,2025-01-03 02:40:00,1527.4969999999998,january_plan
2025-01-03,17,2025-01-03 02:50:00,677.9054333333333,january_plan
2025-01-03,18,2025-01-03 03:00:00,1486.5733333333333,january_plan
2025-01-03,19,2025-01-03 03:10:00,1511.3871666666666,january_plan
2025-01-03,20,2025-01-03 03:20:00,690.0798666666666,january_plan
2025-01-03,21,2025-01-03 03:30:00,676.8533333333332,january_plan
2025-01-03,22,2025-01-03 03:40:00,689.7840166666666,january_plan
2025-01-03,23,2025-01-03 03:50:00,713.8835166666665,january_plan
2025-01-03,24,2025-01-03 04:00:00,721.8299999999999,january_plan
2025-01-03,25,2025-01-03 04:10:00,704.1930833333332,january_plan
2025-01-03,26,2025-01-03 04:20:00,700.3314999999999,january_plan
2025-01-03,27,2025-01-03 04:30:00,1545.65,january_plan
2025-01-03,28,2025-01-03 04:40:00,1536.5058666666669,january_plan
2025-01-03,29,2025-01-03 04:50:00,678.2314166666666,january_plan
2025-01-03,30,2025-01-03 05:00:00,671.8249999999999,january_plan
2025-01-03,31,2025-01-03 05:10:00,710.4921833333333,january_plan
2025-01-03,32,2025-01-03 05:20:00,721.7514333333334,january_plan
2025-01-03,33,2025-01-03 05:30:00,691.5216666666666,january_plan
2025-01-03,34,2025-01-03 05:40:00,688.3839833333333,january_plan
2025-01-03,35,2025-01-03 05:50:00,773.6214333333334,january_plan
2025-01-03,36,2025-01-03 06:00:00,901.9316666666666,january_plan
2025-01-03,37,2025-01-03 06:10:00,956.3955333333333,january_plan
2025-01-03,38,2025-01-03 06:20:00,949.2315166666667,january_plan
2025-01-03,39,2025-01-03 06:30:00,922.9433333333333,january_plan
2025-01-03,40,2025-01-03 06:40:00,909.2691666666666,january_plan
2025-01-03,41,2025-01-03 06:50:00,913.9334166666665,january_plan
2025-01-03,42,2025-01-03 07:00:00,922.37375,january_plan
2025-01-03,43,2025-01-03 07:10:00,897.1297333333333,january_plan
2025-01-03,44,2025-01-03 07:20:00,870.7235166666667,january_plan
2025-01-03,45,2025-01-03 07:30:00,810.8829166666666,january_plan
2025-01-03,46,2025-01-03 07:40:00,684.2293166666666,january_plan
2025-01-03,47,2025-01-03 07:50:00,746.6174666666666,january_plan
2025-01-03,48,2025-01-03 08:00:00,111.56875000000002,january_plan
2025-01-03,49,2025-01-03 08:10:00,116.5545833333332,january_plan
2025-01-03,50,2025-01-03 08:20:00,20.141283333333263,january_plan
2025-01-03,51,2025-01-03 08:30:00,0.0,january_plan
2025-01-03,52,2025-01-03 08:40:00,0.0,january_plan
2025-01-03,53,2025-01-03 08:50:00,0.0,january_plan
2025-01-03,54,2025-01-03 09:00:00,0.0,january_plan
2025-01-03,55,2025-01-03 09:10:00,0.0,january_plan
2025-01-03,56,2025-01-03 09:20:00,426.1857333333329,january_plan
2025-01-03,57,2025-01-03 09:30:00,529.8137499999999,january_plan
2025-01-03,58,2025-01-03 09:40:00,491.9351499999999,january_plan
2025-01-03,59,2025-01-03 09:50:00,0.0,january_plan
2025-01-03,60,2025-01-03 10:00:00,0.0,january_plan
2025-01-03,61,2025-01-03 10:10:00,0.0,january_plan
2025-01-03,62,2025-01-03 10:20:00,0.0,january_plan
2025-01-03,63,2025-01-03 10:30:00,0.0,january_plan
2025-01-03,64,2025-01-03 10:40:00,0.0,january_plan
2025-01-03,65,2025-01-03 10:50:00,337.7988833333332,january_plan
2025-01-03,66,2025-01-03 11:00:00,1118.48125,january_plan
2025-01-03,67,2025-01-03 11:10:00,1085.9227666666668,january_plan
2025-01-03,68,2025-01-03 11:20:00,1091.6556,january_plan
2025-01-03,69,2025-01-03 11:30:00,1120.5770833333333,january_plan
2025-01-03,70,2025-01-03 11:40:00,1135.26735,january_plan
2025-01-03,71,2025-01-03 11:50:00,1105.35925,january_plan
2025-01-03,72,2025-01-03 12:00:00,1049.93,january_plan
2025-01-03,73,2025-01-03 12:10:00,1022.7636666666667,january_plan
2025-01-03,74,2025-01-03 12:20:00,1026.6849333333334,january_plan
2025-01-03,75,2025-01-03 12:30:00,1049.0383333333334,january_plan
2025-01-03,76,2025-01-03 12:40:00,1072.5202666666667,january_plan
2025-01-03,77,2025-01-03 12:50:00,1072.0169833333334,january_plan
2025-01-03,78,2025-01-03 13:00:00,0.0,january_plan
