province,total_mt,coal_mt,oil_mt,gas_mt,process_mt,other_mt,gdp_2022_100m,pop_2022_10k,share_pct,per_capita_t,intensity_t_per_10k_yuan,coal_share_pct,process_share_pct,economic_linkage_index,scale_quartile,cluster,class_name,priority
Shanghai,178.588614209177,97.94644968459926,61.30518232921042,18.2884102153678,1.04857198,0.0,44652.8,2475,1.5654043336990116,7.215701584209172,0.39994941909393583,54.84473358972185,0.5871438023321186,-1.041876978107309,1,2,低规模相对低碳型,常规提升
Yunnan,220.046746229424,151.18510050750555,38.40380626528501,2.41569501663294,28.04214444,0.0,28954.2,4693,1.9288023018110543,4.688829026836224,0.7599821311914126,68.70590140418516,12.743721468511444,0.3877085708914376,2,2,低规模相对低碳型,常规提升
Inner Mongolia,878.769744615783,821.8517082577052,30.824895520299947,15.853268637778,10.2398722,0.0,23158.6,2401,7.702786499781417,36.60015596067401,3.794571971603564,93.52298634462392,1.1652508820131369,0.8233931795746393,4,1,高规模高压力型,重点治理
Beijing,71.5544670473354,1.51989224192991,27.844286059682528,41.533532745723,0.656756,0.0,41610.9,2184,0.62720500580303,3.2763034362333054,0.17196087334649188,2.124105320950062,0.917840670332345,-2.0710274651003697,1,3,低规模相对低碳型（结构差异簇）,常规提升
Jilin,186.839588764021,160.79280885877924,13.555805502904937,7.49989034233714,4.99108406,0.0,13070.2,2348,1.637727596761374,7.957393047871422,1.4295082612662466,86.05928214810037,2.671320405389971,0.053294930350209636,1,2,低规模相对低碳型,常规提升
Sichuan,307.863676214341,155.8981913925174,67.29281384455956,46.691192857264,37.98147812,0.0,56749.8,8374,2.698554636691246,3.6764231695049086,0.5424929712780328,50.63870909018116,12.33710926441238,-0.05495951813595242,3,2,低规模相对低碳型,常规提升
Tianjin,152.678504319368,95.25359356866059,28.758088295488854,26.9572549441078,1.70956751111111,0.0,16311.3,1363,1.3382913204325677,11.201651087261041,0.9360290370440614,62.38834601720501,1.1197172245904974,-0.6822169774732462,1,2,低规模相对低碳型,常规提升
Ningxia,247.423050285139,232.5550304814263,5.201518375282392,4.82115326842989,4.84534816,0.0,5069.6,728,2.1687671237525192,33.986682731475135,4.880524110090322,93.99085097909096,1.958325287161423,1.2505597758369467,2,1,高规模高压力型,重点治理
Anhui,441.077218568729,339.2109728314905,43.67433972377376,16.8947400134642,41.297166,0.0,45045.0,6127,3.866227376817364,7.198910046821103,0.9791924044149828,76.9051219494426,9.362797320162443,0.3180159618553435,3,2,低规模相对低碳型,常规提升
Shandong,920.905304452066,740.4591116086565,96.62792877732544,44.5218209460837,39.29644312,0.0,87435.1,10163,8.07212240768703,9.061352990771091,1.0532444115144444,80.40556483157907,4.267153520565416,-0.03493823129172444,4,1,高规模高压力型,重点治理
Shanxi,629.336654408677,573.7381548696516,20.482422164061035,21.1708226949638,13.94525468,0.0,25642.6,3481,5.51640053051241,18.079191450981813,2.4542622604910465,91.16553927861304,2.21586563921069,0.43903437485846103,4,1,高规模高压力型,重点治理
Guangdong,619.353860410031,381.2052682787234,124.49180792201668,63.7825592092913,49.874225,0.0,129118.6,12657,5.428897141468799,4.893370154144197,0.4796782651066778,61.54886449345032,8.052621964280931,-0.24323063412155932,4,2,低规模相对低碳型,重点治理
Guangxi,279.107504323731,210.54332667791473,31.670172307492294,6.60534853832458,30.2886568,0.0,26300.9,5047,2.4464946926825566,5.53016652117557,1.0612089484532126,75.43449151897754,10.851967908705461,0.4461775916637661,2,2,低规模相对低碳型,常规提升
Xinjiang,524.476393687672,450.86916254574163,32.8551837522633,29.4840323896662,11.268015,0.0,17741.3,2587,4.597256231799136,20.273536671344107,2.9562455608533313,85.96557785482261,2.148431299409474,0.49769423780703703,3,1,高规模高压力型,重点治理
Jiangsu,821.345905674838,644.3202699944776,71.21198549873021,64.5301714416302,41.28347874,0.0,122875.6,8515,7.199442393922007,9.645870882851884,0.6684369440921045,78.44688401594796,5.026320634797647,-0.1295239223469746,4,1,高规模高压力型,重点治理
Jiangxi,223.645074946473,184.1820038030071,28.41514502520206,8.43332526826328,2.61460085,0.0,32074.7,4528,1.9603431667910831,4.9391580156023185,0.6972631854591719,82.35459861885582,1.1690849220023183,-0.3819743905411252,2,2,低规模相对低碳型,常规提升
Hebei,862.273721856768,761.9483453724799,34.57241782122968,39.5823944630579,26.1705642,0.0,42370.4,7420,7.5581919206134875,11.620939647665336,2.0350851581688345,88.36501983752288,3.0350645666953517,0.3228731567395679,4,1,高规模高压力型,重点治理
Henan,528.975824777069,400.4191735074,69.65844175866097,25.6521746310073,33.24603488,0.0,61345.1,9872,4.636695638156096,5.358345064597539,0.8622951544248343,75.69706492279722,6.284981907067525,-0.009243600457389626,4,2,低规模相对低碳型,常规提升
Zhejiang,460.894579359081,292.0073212259882,94.13169993767278,37.1688601754202,37.58669802,0.0,77715.4,6577,4.039934881078292,7.007671877133662,0.5930543744985949,63.35664039096598,8.155161658066794,-0.16407613602482798,3,2,低规模相对低碳型,常规提升
Hainan,44.6919345401215,19.660374072814584,12.423107995200839,7.88225031210605,4.72620216,0.0,6818.2,4027,0.3917436076219002,1.1098071651383536,0.6554799586418923,43.990877269286216,10.575067310539273,-0.29561398566674896,1,2,低规模相对低碳型,常规提升
Hubei,372.810249713111,252.7887975966237,70.16062810744728,14.1851858534841,35.6756381555556,0.0,53734.9,5844,3.267838675677039,6.379367722674726,0.6937953726779262,67.80628960473928,9.569382328680371,0.0741588811943807,3,2,低规模相对低碳型,常规提升
Hunan,307.058038080964,191.58919720360035,73.75719855603042,9.60227965466616,32.1093626666667,0.0,48670.4,6604,2.691492879529592,4.649576591171472,0.63089277688485,62.39510888592428,10.457098881808204,0.02989423842858326,3,2,低规模相对低碳型,常规提升
Gansu,195.741193567455,157.32876964098193,19.148025018395952,7.6165697080779,11.6478292,0.0,11201.6,2492,1.7157539076652162,7.854783048453251,1.7474395940531264,80.37591207737493,5.950627452358925,0.33407675453597147,1,2,低规模相对低碳型,常规提升
Fujian,299.219512343733,208.684825030331,47.85239264973331,11.5015604414464,31.1807342222222,0.0,53109.9,4188,2.6227849038660342,7.144687496268697,0.5633968663916389,69.7430536517288,10.420688804011835,0.14221246318383454,2,2,低规模相对低碳型,常规提升
Guizhou,251.866531099655,179.2772944578103,42.290996354657615,11.6182398071872,18.68000048,0.0,20164.6,3856,2.2077161024125167,6.531808379140431,1.2490529497220626,71.17948290909537,7.416626734184449,0.12910853828650828,2,2,低规模相对低碳型,常规提升
Liaoning,525.713479151335,419.9575009380671,79.03569613185151,15.5658916814165,11.1543904,0.0,28975.1,4197,4.608099806315628,12.525934695052062,1.8143629500893357,79.88334284599456,2.1217622987347884,0.014187097538191881,4,1,高规模高压力型,重点治理
Chongqing,162.055223095746,101.01131042388738,25.013074692584016,20.5809436792743,15.4498943,0.0,29129.0,3213,1.4204822051841934,5.043735546086087,0.5563363764487143,62.3314130172821,9.533721903472278,-0.07542104999358212,1,2,低规模相对低碳型,常规提升
Shaanxi,365.526129061286,301.0440997995812,23.531728530573364,22.0344202311314,18.9158805,0.0,32772.7,3956,3.2039902938188445,9.239790926726137,1.1153372442956668,82.35911905195336,5.174973550749492,0.10030372392936122,3,2,低规模相对低碳型,常规提升
Qinghai,55.3334344741701,33.967026523618564,9.202643473986784,9.32945549656481,2.83430898,0.0,3610.1,595,0.4850208312992505,9.299736886415143,1.5327396602357304,61.38608030823485,5.122235781917836,-0.16152026228403538,1,2,低规模相对低碳型,常规提升
Heilongjiang,273.293395891859,220.08029937847087,36.555120162995465,11.2536881503931,5.4042882,0.0,15901.0,3099,2.395531586349316,8.818760758046434,1.7187182937668009,80.52894899280906,1.977467542661899,-0.01707032512938922,2,2,低规模相对低碳型,常规提升
