province,class_name,priority,total_mt,intensity_t_per_10k_yuan,coal_share_pct,economic_linkage_index,process_share_pct,总量控制,能效改造,煤炭替代,市场机制,需求侧治理,政策工具数,政策规则
Shanghai,低规模相对低碳型,常规提升,178.588614209177,0.39994941909393583,54.84473358972185,-1.041876978107309,0.5871438023321186,False,False,False,False,False,0,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Yunnan,低规模相对低碳型,常规提升,220.046746229424,0.7599821311914126,68.70590140418516,0.3877085708914376,12.743721468511444,False,False,False,True,False,1,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Inner Mongolia,高规模高压力型,重点治理,878.769744615783,3.794571971603564,93.52298634462392,0.8233931795746393,1.1652508820131369,True,True,True,True,False,4,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Beijing,低规模相对低碳型（结构差异簇）,常规提升,71.5544670473354,0.17196087334649188,2.124105320950062,-2.0710274651003697,0.917840670332345,False,False,False,False,False,0,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Jilin,低规模相对低碳型,常规提升,186.839588764021,1.4295082612662466,86.05928214810037,0.053294930350209636,2.671320405389971,False,True,True,True,False,3,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Sichuan,低规模相对低碳型,常规提升,307.863676214341,0.5424929712780328,50.63870909018116,-0.05495951813595242,12.33710926441238,False,False,False,False,True,1,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Tianjin,低规模相对低碳型,常规提升,152.678504319368,0.9360290370440614,62.38834601720501,-0.6822169774732462,1.1197172245904974,False,False,False,False,False,0,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Ningxia,高规模高压力型,重点治理,247.423050285139,4.880524110090322,93.99085097909096,1.2505597758369467,1.958325287161423,True,True,True,True,False,4,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Anhui,低规模相对低碳型,常规提升,441.077218568729,0.9791924044149828,76.9051219494426,0.3180159618553435,9.362797320162443,False,True,True,True,False,3,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Shandong,高规模高压力型,重点治理,920.905304452066,1.0532444115144444,80.40556483157907,-0.03493823129172444,4.267153520565416,True,True,True,False,False,3,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Shanxi,高规模高压力型,重点治理,629.336654408677,2.4542622604910465,91.16553927861304,0.43903437485846103,2.21586563921069,True,True,True,True,False,4,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Guangdong,低规模相对低碳型,重点治理,619.353860410031,0.4796782651066778,61.54886449345032,-0.24323063412155932,8.052621964280931,True,False,False,False,True,2,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Guangxi,低规模相对低碳型,常规提升,279.107504323731,1.0612089484532126,75.43449151897754,0.4461775916637661,10.851967908705461,False,True,False,True,False,2,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Xinjiang,高规模高压力型,重点治理,524.476393687672,2.9562455608533313,85.96557785482261,0.49769423780703703,2.148431299409474,True,True,True,True,False,4,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Jiangsu,高规模高压力型,重点治理,821.345905674838,0.6684369440921045,78.44688401594796,-0.1295239223469746,5.026320634797647,True,False,True,False,False,2,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Jiangxi,低规模相对低碳型,常规提升,223.645074946473,0.6972631854591719,82.35459861885582,-0.3819743905411252,1.1690849220023183,False,False,True,False,False,1,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Hebei,高规模高压力型,重点治理,862.273721856768,2.0350851581688345,88.36501983752288,0.3228731567395679,3.0350645666953517,True,True,True,True,False,4,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Henan,低规模相对低碳型,常规提升,528.975824777069,0.8622951544248343,75.69706492279722,-0.009243600457389626,6.284981907067525,False,False,True,False,False,1,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Zhejiang,低规模相对低碳型,常规提升,460.894579359081,0.5930543744985949,63.35664039096598,-0.16407613602482798,8.155161658066794,False,False,False,False,True,1,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Hainan,低规模相对低碳型,常规提升,44.6919345401215,0.6554799586418923,43.990877269286216,-0.29561398566674896,10.575067310539273,False,False,False,False,False,0,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Hubei,低规模相对低碳型,常规提升,372.810249713111,0.6937953726779262,67.80628960473928,0.0741588811943807,9.569382328680371,False,False,False,True,True,2,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Hunan,低规模相对低碳型,常规提升,307.058038080964,0.63089277688485,62.39510888592428,0.02989423842858326,10.457098881808204,False,False,False,True,True,2,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Gansu,低规模相对低碳型,常规提升,195.741193567455,1.7474395940531264,80.37591207737493,0.33407675453597147,5.950627452358925,False,True,True,True,False,3,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Fujian,低规模相对低碳型,常规提升,299.219512343733,0.5633968663916389,69.7430536517288,0.14221246318383454,10.420688804011835,False,False,False,True,False,1,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Guizhou,低规模相对低碳型,常规提升,251.866531099655,1.2490529497220626,71.17948290909537,0.12910853828650828,7.416626734184449,False,True,False,True,False,2,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Liaoning,高规模高压力型,重点治理,525.713479151335,1.8143629500893357,79.88334284599456,0.014187097538191881,2.1217622987347884,True,True,True,False,False,3,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Chongqing,低规模相对低碳型,常规提升,162.055223095746,0.5563363764487143,62.3314130172821,-0.07542104999358212,9.533721903472278,False,False,False,False,False,0,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Shaanxi,低规模相对低碳型,常规提升,365.526129061286,1.1153372442956668,82.35911905195336,0.10030372392936122,5.174973550749492,False,True,True,True,False,3,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Qinghai,低规模相对低碳型,常规提升,55.3334344741701,1.5327396602357304,61.38608030823485,-0.16152026228403538,5.122235781917836,False,True,False,False,False,1,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
Heilongjiang,低规模相对低碳型,常规提升,273.293395891859,1.7187182937668009,80.52894899280906,-0.01707032512938922,1.977467542661899,False,True,True,False,False,2,总量:重点治理；能效:强度≥中位数；煤炭:煤炭占比≥中位数；市场:经济联系≥中位数；需求侧:总量≥中位数且煤炭占比<中位数
