排名,教师编号,性别,学位,职称,主要研究方向,累计指导时间,国家级一等奖,国家级二等奖,省级一等奖,省级二等奖,加权获奖成果,指导效率,综合得分,指导水平,选队条件
1,7,男,博士,教授,算法设计与分析,16.000000,3,3,5,6,3.276300,0.204769,85.718336,I,专业不限，专业排名不限，队员均具有参赛经历
2,2,男,博士,教授,优化、图与网络,20.000000,2,4,10,12,3.572800,0.178640,77.102142,I,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人
3,29,女,博士,教授,运筹与控制,9.000000,1,3,4,4,1.905600,0.211733,58.834359,I,计算机、数学专业优先，具有参赛经历队员至少两人
4,21,男,博士,教授,模糊数学,12.000000,1,3,5,7,2.112300,0.176025,54.911621,I,队员专业不同，均具有参赛经历，均为二年级或以上
5,23,女,博士,教授,优化与决策,18.000000,2,2,2,4,2.091800,0.116211,52.727173,I,电气、自动化、土木专业优先，二年级或以上优先
6,17,男,硕士,副教授,优化、图与网络,18.000000,1,3,3,2,1.744700,0.096928,41.042579,I,均专业排名前10%，均为二年级或以上
7,4,男,博士,讲师,微分方程,7.000000,1,1,2,2,1.115200,0.159314,40.359416,I,三人均具有参赛经历、二年级以上
8,13,女,博士,讲师,密码学,2.000000,0,1,1,3,0.486800,0.243400,39.018818,II,专业排名不限，至少一名队员有参赛经历
9,22,男,博士,副教授,微分方程,14.000000,1,1,4,5,1.391200,0.099371,33.357690,II,均专业排名前5%，队员均有参赛经历，专业不同
10,9,女,硕士,教授,运筹与控制,11.000000,1,1,2,2,1.115200,0.101382,31.894708,II,自动化、电气、土木专业优先，队员均有参赛经历
11,16,女,硕士,副教授,半群与代数,12.000000,1,1,2,2,1.115200,0.092933,30.660271,II,均专业排名前15%，至少有一人具有参赛经历
12,32,男,博士,教授,算法设计与分析,11.000000,1,1,1,2,1.045900,0.095082,30.512193,II,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人
13,27,男,硕士,副教授,时间序列,17.000000,1,1,3,3,1.230300,0.072371,28.395354,II,队员专业排名均为20%以内，均为二年级或以上
14,28,男,博士,教授,数据分析与可视化,8.000000,0,2,2,3,0.836200,0.104525,23.857655,II,专业不限，队员均具有参赛经历
15,19,男,博士,讲师,运筹与控制,4.000000,0,1,1,2,0.441000,0.110250,19.286245,II,具有参赛经历队员至少两人，专业不限
16,35,女,博士,讲师,优化、图与网络,4.000000,0,1,1,2,0.441000,0.110250,19.286245,II,电气、土木专业优先，队员专业不同
17,11,男,博士,教授,泛函分析,12.000000,0,2,2,2,0.790400,0.065867,17.931580,II,至少一人专业排名前20%以内，至少一人为二年级或以上
18,14,男,博士,讲师,算法设计与分析,4.000000,0,1,1,1,0.395200,0.098800,17.335671,III,队员专业不全相同，至少一人为二年级或以上
19,31,女,博士,副教授,模糊数学,5.000000,0,1,1,2,0.441000,0.088200,16.064445,III,应数、计算机专业优先，均为二年级或以上
20,25,女,博士,副教授,图像处理与小波分析,7.000000,0,1,2,3,0.556100,0.079443,15.524485,III,专业不限，具有参赛经历队员两人以上
21,24,男,博士,讲师,概率统计,1.000000,0,0,1,1,0.115100,0.115100,15.048986,III,队员专业不全相同，均具有参赛经历，至少一人二年级或以上
22,33,男,博士,讲师,半群与代数,6.000000,0,1,2,1,0.464500,0.077417,14.673280,III,专业不限，专业排名不限，至少一名队员有参赛经历
23,30,女,博士,讲师,微分方程,5.000000,0,1,1,1,0.395200,0.079040,14.448471,III,无限制
24,18,男,博士,讲师,泛函分析,9.000000,0,1,3,2,0.579600,0.064400,13.510947,III,土木、环工专业优先，均专业排名前40%，队员专业不同，具有参赛经历的队员至少两人
25,34,男,博士,副教授,图像处理与小波分析,9.000000,0,1,3,2,0.579600,0.064400,13.510947,III,均有参赛经历，至少一人为二年级或以上
26,20,男,博士,副教授,密码学,6.000000,0,1,1,1,0.395200,0.065867,12.523671,III,计算机专业、土木专业优先，均为二年级或以上
27,10,女,博士,讲师,半群与代数,8.000000,0,1,1,3,0.486800,0.060850,12.345820,III,队员专业不全相同，均具有参赛经历
28,26,女,博士,讲师,密码学,1.000000,0,0,0,2,0.091600,0.091600,11.430897,III,均具有参赛经历，队员专业不全相同
29,8,女,硕士,副教授,时间序列,12.000000,0,1,2,3,0.556100,0.046342,10.687958,IV,专业不限，具有参赛经历的队员两人以上
30,12,男,博士,副教授,图像处理与小波分析,9.000000,0,1,1,2,0.441000,0.049000,10.336801,IV,具有参赛经历队员至少两人，队员专业不同，计算机、应数专业优先
31,15,男,博士,讲师,数据分析与可视化,5.000000,0,0,2,2,0.230200,0.046040,5.697972,IV,队员专业不同，均具有参赛经历，专业排名不限
32,1,男,博士,讲师,模糊数学,7.000000,0,0,2,3,0.276000,0.039429,5.009529,IV,队员专业不同，土木、环工专业优先，具有参赛经历队员至少两人
33,6,女,博士,副教授,数值计算,7.000000,0,0,2,3,0.276000,0.039429,5.009529,IV,队员专业不同，计算机、数学专业优先，具有参赛历队员至少一人
34,5,男,博士,讲师,数据分析与可视化,5.000000,0,0,1,1,0.115100,0.023020,1.594866,IV,专业排名均不低于前30%、二年级以上
35,3,女,博士,讲师,概率统计,3.000000,0,0,0,1,0.045800,0.015267,0.000000,IV,至少一人有参赛经历，队员专业排名均在前50%以内
