教师编号,性别,学位,职称,主要研究方向,累计指导时间,累计获奖情况,选队条件
1,男,博士,讲师,模糊数学,7,省级一等奖2项、二等奖3项,队员专业不同，土木、环工专业优先，具有参赛经历队员至少两人
2,男,博士,教授,优化、图与网络,20,国家级一等奖2项、二等奖4项，省级一等奖10项、二等奖12项,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人
3,女,博士,讲师,概率统计,3,省级二等奖1项,至少一人有参赛经历，队员专业排名均在前50%以内
4,男,博士,讲师,微分方程,7,国家级一等奖1项、二等奖1项，省级一等奖2项、二等奖2项,三人均具有参赛经历、二年级以上
5,男,博士,讲师,数据分析与可视化,5,省级一等奖1项、二等奖1项,专业排名均不低于前30%、二年级以上
6,女,博士,副教授,数值计算,7,省级一等奖2项、二等奖3项,队员专业不同，计算机、数学专业优先，具有参赛历队员至少一人
7,男,博士,教授,算法设计与分析,16,国家级一等奖3项、二等奖3项，省级一等奖5项、二等奖6项,专业不限，专业排名不限，队员均具有参赛经历
8,女,硕士,副教授,时间序列,12,国家级二等奖1项，省级一等奖2项、二等奖3项,专业不限，具有参赛经历的队员两人以上
9,女,硕士,教授,运筹与控制,11,国家级一等奖1项、二等奖1项，省级一等奖2项、二等奖2项,自动化、电气、土木专业优先，队员均有参赛经历
10,女,博士,讲师,半群与代数,8,国家级二等奖1项，省级一等奖1项、二等奖3项,队员专业不全相同，均具有参赛经历
11,男,博士,教授,泛函分析,12,国家级二等奖2项，省级一等奖2项、二等奖2项,至少一人专业排名前20%以内，至少一人为二年级或以上
12,男,博士,副教授,图像处理与小波分析,9,国家级二等奖1项，省级一等奖1项、二等奖2项,具有参赛经历队员至少两人，队员专业不同，计算机、应数专业优先
13,女,博士,讲师,密码学,2,国家级二等奖1项，省级一等奖1项、二等奖3项,专业排名不限，至少一名队员有参赛经历
14,男,博士,讲师,算法设计与分析,4,国家级二等奖1项，省级一等奖1项、二等奖1项,队员专业不全相同，至少一人为二年级或以上
15,男,博士,讲师,数据分析与可视化,5,省级一等奖2项、二等奖2项,队员专业不同，均具有参赛经历，专业排名不限
16,女,硕士,副教授,半群与代数,12,国家级一等奖1项、二等奖1项，省级一等奖2项、二等奖2项,均专业排名前15%，至少有一人具有参赛经历
17,男,硕士,副教授,优化、图与网络,18,国家级一等奖1项、二等奖3项，省级一等奖3项、二等奖2项,均专业排名前10%，均为二年级或以上
18,男,博士,讲师,泛函分析,9,国家级二等奖1项，省级一等奖3项、二等奖2项,土木、环工专业优先，均专业排名前40%，队员专业不同，具有参赛经历的队员至少两人
19,男,博士,讲师,运筹与控制,4,国家级二等奖1项，省级一等奖1项、二等奖2项,具有参赛经历队员至少两人，专业不限
20,男,博士,副教授,密码学,6,国家级二等奖1项，省级一等奖1项、二等奖1项,计算机专业、土木专业优先，均为二年级或以上
21,男,博士,教授,模糊数学,12,国家级一等奖1项、二等奖3项，省级一等奖5项、二等奖7项,队员专业不同，均具有参赛经历，均为二年级或以上
22,男,博士,副教授,微分方程,14,国家级一等奖1项、二等奖1项，省级一等奖4项、二等奖5项,均专业排名前5%，队员均有参赛经历，专业不同
23,女,博士,教授,优化与决策,18,国家级一等奖2项、二等奖2项，省级一等奖2项、二等奖4项,电气、自动化、土木专业优先，二年级或以上优先
24,男,博士,讲师,概率统计,1,省级一等奖1项、二等奖1项,队员专业不全相同，均具有参赛经历，至少一人二年级或以上
25,女,博士,副教授,图像处理与小波分析,7,国家级二等奖1项，省级一等奖2项、二等奖3项,专业不限，具有参赛经历队员两人以上
26,女,博士,讲师,密码学,1,省级二等奖2项,均具有参赛经历，队员专业不全相同
27,男,硕士,副教授,时间序列,17,国家级一等奖1项、二等奖1项，省级一等奖3项、二等奖3项,队员专业排名均为20%以内，均为二年级或以上
28,男,博士,教授,数据分析与可视化,8,国家级二等奖2项，省级一等奖2项、二等奖3项,专业不限，队员均具有参赛经历
29,女,博士,教授,运筹与控制,9,国家级一等奖1项、二等奖3项，省级一等奖4项、二等奖4项,计算机、数学专业优先，具有参赛经历队员至少两人
30,女,博士,讲师,微分方程,5,国家级二等奖1项，省级一等奖1项、二等奖1项,无限制
31,女,博士,副教授,模糊数学,5,国家级二等奖1项，省级一等奖1项、二等奖2项,应数、计算机专业优先，均为二年级或以上
32,男,博士,教授,算法设计与分析,11,国家级一等奖1项、二等奖1项，省级一等奖1项、二等奖2项,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人
33,男,博士,讲师,半群与代数,6,国家级二等奖1项，省级一等奖2项、二等奖1项,专业不限，专业排名不限，至少一名队员有参赛经历
34,男,博士,副教授,图像处理与小波分析,9,国家级二等奖1项、省级一等奖3项、二等奖2项,均有参赛经历，至少一人为二年级或以上
35,女,博士,讲师,优化、图与网络,4,国家级二等奖1项，省级一等奖1项、二等奖2项,电气、土木专业优先，队员专业不同
