pick_index,round,teacher_id
1,1,7
2,1,2
3,1,29
4,1,21
5,1,23
6,1,17
7,1,4
8,1,13
9,1,22
10,1,9
11,1,16
12,1,32
13,1,27
14,1,28
15,1,19
16,1,35
17,1,11
18,1,14
19,1,31
20,1,25
21,1,24
22,1,33
23,1,30
24,1,18
25,1,34
26,1,20
27,1,10
28,1,26
29,1,8
30,1,12
31,1,15
32,1,1
33,1,6
34,1,5
35,1,3
36,2,7
37,2,2
38,2,29
39,2,21
40,2,23
41,2,17
42,2,4
43,2,13
44,2,22
45,2,9
46,2,16
47,2,32
48,2,27
49,2,28
50,2,19
51,2,35
52,2,11
53,2,14
54,2,31
55,2,25
56,2,24
57,2,33
58,2,30
59,2,18
60,2,34
61,2,20
62,2,10
63,2,26
64,2,8
65,2,12
66,2,15
67,2,1
68,2,6
69,2,5
70,2,3
71,3,7
72,3,2
73,3,29
74,3,21
75,3,23
76,3,17
77,3,4
78,3,13
79,3,22
80,3,9
81,3,16
82,3,32
83,3,27
84,3,28
85,3,19
86,3,35
87,3,11
88,3,14
89,3,31
90,3,25
91,3,24
92,3,33
93,3,30
94,3,18
95,3,34
96,3,20
97,3,10
98,3,26
99,3,8
100,3,12
101,3,15
102,3,1
103,3,6
104,3,5
105,3,3
106,4,7
107,4,2
108,4,29
109,4,21
110,4,23
111,4,17
112,4,4
113,4,13
114,4,22
115,4,9
116,4,16
117,4,32
118,4,27
119,4,28
120,4,19
121,4,35
122,4,11
123,4,14
124,4,31
125,4,25
126,4,24
127,5,7
128,5,2
129,5,29
130,5,21
131,5,23
132,5,17
133,5,4
134,5,13
135,5,22
136,5,9
137,5,16
138,5,32
139,5,27
140,5,28
141,5,19
142,5,35
143,5,11
144,5,14
145,5,31
146,5,25
147,5,24
148,6,7
149,6,2
150,6,29
151,6,21
152,6,23
153,6,17
154,6,4
155,6,13
156,6,22
157,6,9
158,6,16
159,7,7
160,7,2
161,7,29
162,7,21
163,7,23
164,7,17
165,7,4
166,7,13
167,7,22
168,7,9
169,7,16
170,8,7
171,8,2
172,9,7
173,9,2
174,10,7
175,10,2
