选队次序,教师编号,综合得分,配额组别,最终配额
1,7,85.718336,A,10
2,2,77.102142,A,10
3,29,58.834359,A,7
4,21,54.911621,A,7
5,23,52.727173,A,7
6,17,41.042579,A,7
7,4,40.359416,A,7
8,13,39.018818,A,7
9,22,33.357690,A,7
10,9,31.894708,A,7
11,16,30.660271,A,7
12,32,30.512193,B,5
13,27,28.395354,B,5
14,28,23.857655,B,5
15,19,19.286245,B,5
16,35,19.286245,B,5
17,11,17.931580,B,5
18,14,17.335671,B,5
19,31,16.064445,B,5
20,25,15.524485,B,5
21,24,15.048986,B,5
22,33,14.673280,C,3
23,30,14.448471,C,3
24,18,13.510947,C,3
25,34,13.510947,C,3
26,20,12.523671,C,3
27,10,12.345820,C,3
28,26,11.430897,C,3
29,8,10.687958,C,3
30,12,10.336801,C,3
31,15,5.697972,C,3
32,1,5.009529,C,3
33,6,5.009529,C,3
34,5,1.594866,C,3
35,3,0.000000,C,3
