教师编号,队号,匹配得分,条件满足率,条件完全满足,专业偏好满足率,队伍质量,条件明细
7,1,44.989247,0.333333,False,1.000000,58.279570,三人均有参赛经历:0.33
7,2,72.043846,0.666667,False,1.000000,76.885895,三人均有参赛经历:0.67
7,3,68.381226,0.666667,False,1.000000,58.572797,三人均有参赛经历:0.67
7,4,44.830038,0.333333,False,1.000000,57.483524,三人均有参赛经历:0.33
7,5,69.631935,0.666667,False,1.000000,64.826344,三人均有参赛经历:0.67
7,6,45.199012,0.333333,False,1.000000,59.328395,三人均有参赛经历:0.33
7,7,44.723799,0.333333,False,1.000000,56.952327,三人均有参赛经历:0.33
7,8,44.274074,0.333333,False,1.000000,54.703704,三人均有参赛经历:0.33
7,9,46.539853,0.333333,False,1.000000,66.032600,三人均有参赛经历:0.33
7,10,21.416667,0.000000,False,1.000000,57.083333,三人均有参赛经历:0.00
7,11,70.755226,0.666667,False,1.000000,70.442798,三人均有参赛经历:0.67
7,12,70.714710,0.666667,False,1.000000,70.240216,三人均有参赛经历:0.67
7,13,21.015335,0.000000,False,1.000000,55.076676,三人均有参赛经历:0.00
7,14,69.195857,0.666667,False,1.000000,62.645951,三人均有参赛经历:0.67
7,15,71.326998,0.666667,False,1.000000,73.301659,三人均有参赛经历:0.67
7,16,45.681333,0.333333,False,1.000000,61.740000,三人均有参赛经历:0.33
7,17,45.035266,0.333333,False,1.000000,58.509662,三人均有参赛经历:0.33
7,18,70.097374,0.666667,False,1.000000,67.153535,三人均有参赛经历:0.67
7,19,44.786752,0.333333,False,1.000000,57.267094,三人均有参赛经历:0.33
7,20,46.731509,0.333333,False,1.000000,66.990877,三人均有参赛经历:0.33
7,21,17.486793,0.000000,False,1.000000,37.433964,三人均有参赛经历:0.00
7,22,69.635928,0.666667,False,1.000000,64.846307,三人均有参赛经历:0.67
7,23,45.699577,0.333333,False,1.000000,61.831220,三人均有参赛经历:0.33
7,24,21.018382,0.000000,False,1.000000,55.091912,三人均有参赛经历:0.00
7,25,44.522222,0.333333,False,1.000000,55.944444,三人均有参赛经历:0.33
7,26,21.467439,0.000000,False,1.000000,57.337193,三人均有参赛经历:0.00
7,27,19.510719,0.000000,False,1.000000,47.553595,三人均有参赛经历:0.00
7,28,94.652508,1.000000,True,1.000000,73.262542,三人均有参赛经历:1.00
7,29,19.854177,0.000000,False,1.000000,49.270885,三人均有参赛经历:0.00
7,30,68.522650,0.666667,False,1.000000,59.279915,三人均有参赛经历:0.67
7,31,44.608841,0.333333,False,1.000000,56.377536,三人均有参赛经历:0.33
7,32,21.672172,0.000000,False,1.000000,58.360861,三人均有参赛经历:0.00
7,33,45.343303,0.333333,False,1.000000,60.049851,三人均有参赛经历:0.33
7,34,43.417810,0.333333,False,1.000000,50.422386,三人均有参赛经历:0.33
7,35,44.263686,0.333333,False,1.000000,54.651762,三人均有参赛经历:0.33
7,36,96.225014,1.000000,True,1.000000,81.125070,三人均有参赛经历:1.00
7,37,71.446436,0.666667,False,1.000000,73.898846,三人均有参赛经历:0.67
7,38,46.931195,0.333333,False,1.000000,67.989310,三人均有参赛经历:0.33
7,39,67.567811,0.666667,False,1.000000,54.505722,三人均有参赛经历:0.67
7,40,67.743733,0.666667,False,1.000000,55.385332,三人均有参赛经历:0.67
7,41,68.067421,0.666667,False,1.000000,57.003771,三人均有参赛经历:0.67
7,42,22.794510,0.000000,False,1.000000,63.972548,三人均有参赛经历:0.00
7,43,21.781377,0.000000,False,1.000000,58.906887,三人均有参赛经历:0.00
7,44,43.377860,0.333333,False,1.000000,50.222634,三人均有参赛经历:0.33
7,45,45.104091,0.333333,False,1.000000,58.853789,三人均有参赛经历:0.33
7,46,69.312495,0.666667,False,1.000000,63.229143,三人均有参赛经历:0.67
7,47,43.697437,0.333333,False,1.000000,51.820518,三人均有参赛经历:0.33
