教师编号,研究方向,选队条件,第三问得分,选队次序,指导队数,实际队数,平均匹配得分,完全满足队数,平均条件满足率,平均专业偏好满足率,平均队伍质量,完全满足比例
7,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,85.720000,1,10,10,47.012331,1,0.366667,1.000000,56.728322,0.100000
2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,77.100000,2,10,10,59.481659,3,0.650000,0.333333,53.241628,0.300000
29,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,58.840000,3,7,7,70.963853,3,0.714286,1.000000,54.819266,0.428571
21,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,54.910000,4,7,7,76.043268,1,0.777778,1.000000,57.994118,0.142857
23,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,52.730000,5,7,7,89.023824,7,1.000000,0.738095,58.214359,1.000000
17,优化、图与网络,均专业排名前10%，均为二年级或以上,41.040000,6,7,7,72.171972,1,0.714286,1.000000,60.859861,0.142857
4,微分方程,三人均具有参赛经历、二年级以上,40.360000,7,7,7,70.481237,1,0.690476,1.000000,60.739518,0.142857
13,密码学,专业排名不限，至少一名队员有参赛经历,39.020000,8,7,7,82.395353,6,0.857143,1.000000,61.976763,0.857143
22,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,33.360000,9,7,7,62.917348,0,0.587302,1.000000,59.031185,0.000000
9,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,31.900000,10,7,7,49.697238,1,0.476190,0.476190,58.010001,0.142857
16,半群与代数,均专业排名前15%，至少有一人具有参赛经历,30.660000,11,7,7,80.091002,4,0.833333,1.000000,58.788344,0.571429
32,算法设计与分析,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人,30.520000,12,5,5,71.163868,1,0.800000,0.266667,62.486007,0.200000
27,时间序列,队员专业排名均为20%以内，均为二年级或以上,28.400000,13,5,5,85.882049,3,0.900000,1.000000,64.410247,0.600000
28,数据分析与可视化,专业不限，队员均具有参赛经历,23.860000,14,5,5,64.375683,1,0.600000,1.000000,61.878413,0.200000
19,运筹与控制,具有参赛经历队员至少两人，专业不限,19.290000,15,5,5,78.375178,3,0.800000,1.000000,61.875888,0.600000
35,优化、图与网络,电气、土木专业优先，队员专业不同,19.290000,16,5,5,85.932278,5,1.000000,0.333333,62.994721,1.000000
11,泛函分析,至少一人专业排名前20%以内，至少一人为二年级或以上,17.930000,17,5,5,92.870862,5,1.000000,1.000000,64.354311,1.000000
14,算法设计与分析,队员专业不全相同，至少一人为二年级或以上,17.340000,18,5,5,92.729883,5,1.000000,1.000000,63.649414,1.000000
31,模糊数学,应数、计算机专业优先，均为二年级或以上,16.060000,19,5,5,84.648804,4,0.933333,0.800000,56.577352,0.800000
25,图像处理与小波分析,专业不限，具有参赛经历队员两人以上,15.520000,20,5,5,78.155227,3,0.800000,1.000000,60.776133,0.600000
24,概率统计,队员专业不全相同，均具有参赛经历，至少一人二年级或以上,15.040000,21,5,5,82.245623,1,0.866667,1.000000,57.894783,0.200000
33,半群与代数,专业不限，专业排名不限，至少一名队员有参赛经历,14.670000,22,3,3,93.426125,3,1.000000,1.000000,67.130625,1.000000
30,微分方程,无限制,14.450000,23,3,3,93.363589,3,1.000000,1.000000,66.817943,1.000000
18,泛函分析,土木、环工专业优先，均专业排名前40%，队员专业不同，具有参赛经历的队员至少两人,13.510000,24,3,3,78.430165,1,0.907407,0.222222,63.447123,0.333333
34,图像处理与小波分析,均有参赛经历，至少一人为二年级或以上,13.510000,25,3,3,77.481989,0,0.777778,1.000000,65.187725,0.000000
20,密码学,计算机专业、土木专业优先，均为二年级或以上,12.520000,26,3,3,88.385177,3,1.000000,0.555556,64.148107,1.000000
10,半群与代数,队员专业不全相同，均具有参赛经历,12.350000,27,3,3,77.442393,0,0.777778,1.000000,64.989740,0.000000
26,密码学,均具有参赛经历，队员专业不全相同,11.420000,28,3,3,77.358466,0,0.777778,1.000000,64.570108,0.000000
8,时间序列,专业不限，具有参赛经历的队员两人以上,10.690000,29,3,3,81.135605,2,0.833333,1.000000,64.011358,0.666667
12,图像处理与小波分析,具有参赛经历队员至少两人，队员专业不同，计算机、应数专业优先,10.340000,30,3,3,80.865720,2,0.916667,0.444444,61.273044,0.666667
15,数据分析与可视化,队员专业不同，均具有参赛经历，专业排名不限,5.700000,31,3,3,77.059882,0,0.777778,1.000000,63.077185,0.000000
1,模糊数学,队员专业不同，土木、环工专业优先，具有参赛经历队员至少两人,5.010000,32,3,3,77.643171,2,0.916667,0.111111,61.826967,0.666667
6,数值计算,队员专业不同，计算机、数学专业优先，具有参赛历队员至少一人,5.010000,33,3,3,88.010280,3,1.000000,0.555556,62.273623,1.000000
5,数据分析与可视化,专业排名均不低于前30%、二年级以上,1.590000,34,3,3,89.154649,2,0.944444,1.000000,65.217691,0.666667
3,概率统计,至少一人有参赛经历，队员专业排名均在前50%以内,0.000000,35,3,3,92.996190,3,1.000000,1.000000,64.980948,1.000000
