企业代号,信誉评级,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,F7,F8,F9,F10
E1,A,3441,3249,192,71,302282691.22,34707110.18,125823233.69,321178563.5,8110,7886,224,228,1839969689.96,306570894.75,100178504.04,2146540584.71,-34089664.169999994,0.03601419790494329,0.025885204744177992,0.5158384190642256,0.23625154130702836,0.40118827584603345,0.4610201508548932
E2,A,22536,21777,721,156,155762303.57,6725653.05,9248509.23,162487956.62,12707,11665,1042,358,590841712.79,35453921.15,68412552.78,626295633.94,463807677.32000005,0.03929741657936384,0.011457102734993202,0.2685968404030352,0.08452034311796648,0.19910794945866972,0.4503646975906083
E3,C,4561,4367,194,26,52026978.69,2152373.83,3341485.81,54179352.52,12707,11665,385,1899,570177995.28,90892283.42,21669509.26,661070278.7,606890926.1800001,0.020220716630579033,0.1105619881389438,0.16882262661696995,0.5689361525360362,0.4196364050701278,-0.26199685311492626
E4,C,558,521,37,4,219877104.44,34707110.18,125823233.69,254584214.62,2231,2041,190,9,1839969689.96,306570894.75,100178504.04,2146540584.71,606890926.1800001,0.08139117963427751,0.004661168877733955,0.2616487455197133,0.7108919766920664,0.5356432901461536,-0.6979984982750158
E5,B,2169,2084,85,16,197784985.12,29546993.85,4718234.76,227331978.97,1060,1005,55,10,202632288.87,30658411.12,9497472.6,233290699.99,5958721.020000011,0.043357076494270674,0.008052028491793125,0.3932687874596588,0.5915094339622642,0.5022667367327586,5.0
E6,A,11337,10814,523,78,302282691.22,18895872.28,19958292.05,321178563.5,1052,913,139,23,366439288.3,29458149.94,46706181.58,395897438.24,74718874.74000001,0.05343449834530632,0.008152393252078456,0.18302902002293375,0.2509505703422053,0.21963129436129272,0.6185622704496299
E7,A,13097,12643,454,156,59720328.69,3771613.37,3161654.72,63491942.06,8149,8032,117,1899,512950626.49,83280070.27,14977933.35,596230696.76,532738754.7,0.026875647180645768,0.1105619881389438,0.15614262808276705,0.19830654067983802,0.17847409389179927,-0.41823874727916754
E8,A,22536,21777,721,77,162413052.88,8005641.06,10648813.23,170418693.94,9425,8359,1066,245,358888832.78999996,21905054.88,49572293.15,380793887.67,210375193.73000002,0.05710084165076187,0.010074778636463189,0.21667554135605255,0.04806366047745358,0.156936939055836,0.11737927982193364
E9,A,4293,4199,94,26,24535615.55,1797898.54,368856.04,26333514.09,5906,5760,146,122,319592135.36,49819902.51,11406027.99,369412037.87,343078523.78000003,0.023531718795960388,0.01451122659084224,0.12345679012345678,0.25262444971215714,0.19882239765674975,0.038749473015877646
E10,B,4097,3860,237,34,5144538.69,273422.95,1060648.91,5417961.64,568,516,52,2,340831584.47,10629947.03,29237019.39,351461531.5,346043569.86,0.06195069667738478,0.0077170418006430866,0.1930680986087381,0.41725352112676056,0.3250967483635244,-0.08149676065906125
E11,C,2836,2715,121,24,133219036.31,10992913.129999999,11237620.67,144211948.08,1117,1051,66,1,148439127.14,14107917.99,4434754.58,162547045.13,18335097.049999982,0.04730584366304073,0.006324310650139135,0.24365303244005643,0.9597135183527306,0.7001488547181278,5.0
E12,B,1796,1757,39,13,88851680.77,6595331.93,15775701.93,95447012.7,285,263,22,1,223684403.09,19318617.419999998,20579972.0,243003020.51,147556007.81,0.029312830370014416,0.006727534839019702,0.18485523385300667,0.9649122807017544,0.6947039538292232,5.0
E13,A,13469,13255,214,39,92028477.7,11600026.65,6495664.99,103628502.97,8005,6808,1066,73,212454771.01,31523252.31,31474671.32,243978023.32,140349520.35,0.0657073670485238,0.005215609574369004,0.39839631746974535,0.12792004996876952,0.2958742680239924,0.07136989745813312
E14,C,7077,6527,550,130,111348020.14,13755650.1,13267406.13,125103670.24,3336,3097,239,42,209084031.79,32676565.58,23216789.28,241760597.37,116656927.13000001,0.07577067127628925,0.01651781427062326,0.17238943054966793,0.05635491606714628,0.1282458426814957,0.006239442055589697
E15,A,92,92,0,0,4238459.0,565485.4400000001,0.0,4803944.44,2412,2260,152,0,211824339.20000002,7776512.96,14578560.85,219600852.16,214796907.72,0.06070287539936102,0.0,0.41304347826086957,1.0,0.765050624120338,0.2885827445078333
E16,A,290,289,1,1,277180.85,15567.57,500.0,292748.42,439,390,49,0,209410435.5,4146250.44,24467949.5,213556685.94,213263937.52,0.06858710562414266,0.0013717421124828531,0.47586206896551725,0.30068337129840544,0.39802964616691394,0.05487964325996586
E17,A,7568,7143,425,91,130460468.02,12321551.17,13466922.27,142782019.19,676,561,115,13,154980771.44,13107285.99,33540813.45,168088057.43,25306038.24000001,0.06550218340611354,0.012615235322658904,0.21220930232558138,0.15680473372781065,0.18657506868946827,0.550191859427302
E18,A,5765,5455,310,31,127926244.55,9826592.66,10674052.77,137752837.21,381,345,36,2,187726474.54,9929916.23,19818147.7,197656390.77,59903553.56,0.056296778392450376,0.005369345916042954,0.4515177797051171,0.45931758530183725,0.4554343803213308,0.16846058128507274
E19,A,1524,1484,40,3,183208718.95,28931838.35,9205182.98,212140557.3,3099,2821,278,65,180443886.07,28671283.07,21724484.4,209115169.14,-3025388.160000026,0.06878650227125244,0.014709063378758382,0.39960629921259844,0.11745724427234591,0.2945177402147809,0.16687422545405867
E20,B,1130,1041,89,3,177559726.44,26780090.73,19848544.14,204339817.17,777,737,40,0,191826403.6,30295655.2,15117000.76,222122058.8,17782241.630000025,0.06764551651809124,0.0015731515469323545,0.2814159292035398,0.5521235521235521,0.4381982097287827,0.0037625812929373676
E21,B,2312,2146,166,22,114782677.35,8412082.73,16059446.19,123194760.08,1466,1428,38,46,118412938.22999999,11309907.639999999,3376601.97,129722845.87,6528085.790000007,0.05399682371625199,0.017998941238750663,0.2093425605536332,0.6159618008185539,0.4600180690618508,1.4368793675477696
E22,A,1610,1520,90,18,65915911.02,8974264.92,7580296.76,74890175.94,1562,1366,196,12,111933993.52,10952469.9,17929231.14,122886463.42,47996287.480000004,0.09016393442622951,0.009457755359394703,0.37888198757763975,0.39564660691421255,0.3873550038875916,0.929859467487077
E23,B,4951,4802,149,74,173780708.68,27214037.45,1895683.76,200994746.13,3570,3441,129,34,183238932.06,28805660.47,3608735.83,212044592.53,11049846.400000006,0.03262527872315456,0.012674568712592418,0.15835184811149264,0.20952380952380953,0.18570882391218632,-0.1263121955614161
E24,A,2047,2004,43,16,75290120.82,10940548.59,1975174.67,86230669.41,1782,1638,144,28,140520367.66,13728085.17,13437162.48,154248452.83,68017783.42000002,0.04883781666231392,0.01149125097936798,0.20273571079628724,0.5566778900112234,0.41892245204776474,1.068982292390311
E25,C,1410,1391,19,6,8975529.43,1028659.44,300618.2,10004188.87,978,814,164,22,37997036.42,5836759.61,4737111.03,43833796.03,33829607.160000004,0.07663316582914573,0.011725293132328308,0.22482269503546098,0.3425357873210634,0.2897205634733826,0.9750071082464956
E26,A,791,758,33,1,37078221.16,5567189.36,1730168.26,42645410.52,504,450,54,2,36648003.49,5781067.33,4429759.45,42429070.82,-216339.70000000298,0.06718146718146718,0.0023166023166023165,0.3463969658659924,0.3472222222222222,0.3468098395130275,0.10123864268308796
E27,A,2565,2475,90,22,44272038.46,4617635.73,3064709.89,48889674.19,1468,1389,79,24,44058220.5,4601546.92,2084016.43,48659766.5,-229907.68999999762,0.04190428961071163,0.011405901314158196,0.27914230019493175,0.16553133514986376,0.22947880803531065,0.32770707496773466
E28,B,169,156,13,0,1272115.79,142637.68,119585.0,1414753.47,569,525,44,0,49029625.43,4743903.319999999,5010635.05,53773528.75,52358775.28,0.07723577235772358,0.0,0.35502958579881655,0.9771528998242531,0.7351441343122538,2.2468589612962337
E29,C,50,48,2,0,160579.42,26039.02,300.0,186618.44,475,469,6,0,45171435.47,1804943.31,508000.0,46976378.78,46789760.34,0.015238095238095238,0.0,0.7,0.9978947368421053,0.8619147016431424,0.8622391066472984
E30,B,754,740,14,2,21154741.03,3066155.33,1111178.0,24220896.36,800,747,53,0,71493447.69,6615074.12,5676504.49,78108521.81,53887625.45,0.043114543114543116,0.001287001287001287,0.383289124668435,0.76,0.6018764628597364,0.7940943824094138
E31,A,412,404,8,1,4411556.94,647650.64,47364.0,5059207.58,2608,2501,107,6,47282037.6,6989811.35,2194389.2,54271848.95,49212641.370000005,0.0380794701986755,0.002317880794701987,0.42961165048543687,0.1575920245398773,0.3235748881104639,0.18842540770733862
E32,B,2826,2811,15,6,2351999.1,190576.62,65287.0,2542575.72,552,468,84,2,44150482.29,1324770.99,3251852.2,45475253.28,42932677.56,0.02930728241563055,0.002368265245707519,0.5813871196036801,0.7844202898550725,0.6904079134748455,0.762588944159296
E33,B,1293,1133,160,14,68636564.72,1008191.4400000001,15006989.59,69644756.16,1073,912,161,14,69611432.64,4828963.52,13006341.59,74440396.16,4795640.0,0.1356720202874049,0.011834319526627219,0.16705336426914152,0.2534948741845294,0.21467006981816172,-0.20883759241004454
E34,B,2309,2071,238,44,49370789.22,3479062.43,10902888.92,52849851.65,707,596,111,3,90353514.16,5215214.35,5383256.79,95568728.51,42718876.86000001,0.11571618037135278,0.015583554376657824,0.16587267215244694,0.7128712871287128,0.5175418897922858,0.3783937679780782
E35,B,669,633,36,11,29957308.16,3494614.07,4243493.58,33451922.23,770,737,33,2,35050115.76,3583144.9899999998,1599693.06,38633260.75,5181338.52,0.04794996525364837,0.009034051424600417,0.20478325859491778,0.6428571428571429,0.47707519801557596,0.5979941713291463
E36,D,1636,1562,74,6,19556418.01,2843988.09,1311567.48,22400406.1,1547,1429,118,33,35208995.92,4962675.4,3249095.33,40171671.32,17771265.22,0.060320452403393024,0.012252591894439209,0.14853300733496333,0.14350355526826114,0.14603993399512194,0.4834770420826636
E37,B,618,592,26,2,43487945.83,6590372.86,2074331.99,50078318.69,1273,1184,89,14,43448933.42,6640312.35,5926998.48,50089245.77,10927.080000005662,0.060814383923849816,0.008461131676361713,0.3220064724919094,0.20502749410840534,0.2699300295141826,0.38108279619113394
E38,B,991,958,33,4,12119875.870000001,1042658.05,2801318.39,13162533.92,628,552,76,4,48352635.910000004,1760763.03,6368082.05,50113398.94,36950865.019999996,0.06732550957381099,0.004941321803582459,0.24217961654894046,0.7643312101910829,0.5669449556808656,0.4887304871912145
E39,C,282,279,3,0,350218.91,23021.55,883.0,373240.46,264,236,28,6,29171167.31,3746309.37,3530167.0,32917476.68,32544236.22,0.056776556776556776,0.01098901098901099,0.5212765957446809,1.0,0.7974112142650001,2.1356412205399598
E40,C,3148,3068,80,34,4270659.39,215675.97,360685.27,4486335.36,883,800,83,42,33731395.2,776356.11,1536830.56,34507751.31,30021415.950000003,0.04043661622426197,0.01885388241131233,0.19949174078780177,0.08154020385050963,0.1523905500458118,1.817096081491156
E41,C,2033,1968,65,13,5084164.04,304563.29,499288.16000000003,5388727.33,663,605,58,18,32547375.89,784841.9400000001,3262112.12,33332217.83,27943490.5,0.04562314540059347,0.011498516320474777,0.21790457452041317,0.7164404223227753,0.5295135892188976,1.2605194653504963
E42,A,47,47,0,0,10425.63,1343.3700000000001,0.0,11769.0,327,294,33,6,26235453.61,0.0,3096658.79,26235453.61,26223684.61,0.08823529411764706,0.016042780748663103,0.9148936170212766,0.382262996941896,0.7011259976984431,3.325224420557311
E43,B,78,68,10,10,3367877.65,528652.1,1000000.0,3896529.75,245,214,31,5,18337561.2,1377885.94,2908584.44,19715447.14,15818917.39,0.12693498452012383,0.04643962848297214,0.6282051282051282,0.9020408163265307,0.7772770797541426,5.0
E44,C,1248,1222,26,2,29879150.64,4502480.66,508105.32,34381631.3,2435,2242,193,56,32843928.71,4896595.69,2240033.18,37740524.4,3358893.1000000015,0.05946239478685854,0.015748031496062992,0.1971153846153846,0.8386036960985627,0.6091431005774594,0.6404462285191321
E45,B,600,592,8,0,23845376.53,3072912.67,246704.11,26918289.2,325,305,20,7,24516874.66,3408989.16,1944382.8,27925863.82,1007574.620000001,0.03027027027027027,0.0075675675675675675,0.46,0.38769230769230767,0.4253853108910714,2.6588132973969323
E46,C,2544,2492,52,17,49609846.3,3093697.11,2436309.35,52703543.41,974,889,85,36,58575368.489999995,3536474.33,5611907.0,62111842.82,9408299.410000004,0.0389425810119386,0.015065378055713473,0.2775157232704403,0.21971252566735114,0.2502884042434268,-0.14077180436542977
E47,C,2905,2811,94,11,41361240.74,6568614.13,2913955.8,47929854.87,3518,3356,162,20,49623136.13,7965141.5,3662644.7,57588277.63,9658422.760000005,0.03985676475167367,0.004826405106647984,0.16247848537005163,0.054576463899943146,0.1211978725472685,-0.20275491307260368
E48,A,1235,1210,25,5,12605373.22,1771922.1300000001,491550.1,14377295.35,1016,960,56,6,50061017.69,7286481.81,3381854.36,57347499.5,42970204.15,0.03598400710795202,0.004886717014660151,0.23967611336032388,0.25196850393700787,0.24589913205597613,1.2786334594807276
E49,C,3615,3518,97,19,23269176.61,1231555.43,4120363.91,24500732.04,513,461,52,13,36887103.239999995,2319065.98,4683661.79,39206169.22,14705437.18,0.03609496124031008,0.007751937984496124,0.17482710926694328,0.30994152046783624,0.2516229960124371,0.0982881139386977
E50,C,197,186,11,1,1699224.01,180772.28,1121239.0,1879996.29,285,255,30,18,19113678.35,1016800.36,2268083.55,20130478.71,18250482.42,0.08506224066390042,0.03941908713692946,0.3756345177664975,0.8771929824561403,0.6747476637262139,1.6642963641022974
E51,B,453,451,2,4,20388050.509999998,2171041.39,193200.0,22559091.9,895,834,61,3,27726264.06,2727071.54,1791945.25,30453335.6,7894243.700000003,0.04673590504451038,0.0051928783382789315,0.5562913907284768,0.2335195530726257,0.4266095949846075,0.8296453280743095
