特征,重要性,排名
F10,0.20299817984440136,1
F8,0.1531147596245744,2
F9,0.09845778903717314,3
x3,0.0533374495238857,4
x4,0.051416854683371184,5
x11,0.04764301886147325,6
x15,0.04083397452049858,7
x6,0.030525418409475598,8
x9,0.030113680111695094,9
x17,0.02992744073935776,10
x1,0.028813529775785,11
x10,0.02876226272855543,12
x2,0.027813563401060615,13
x8,0.025156051592535415,14
x5,0.02406686073101695,15
F7,0.02402692451331855,16
x7,0.020408348128357925,17
x14,0.020061465409084333,18
x13,0.018710656271971018,19
x16,0.018122976265510373,20
x18,0.011284030807868276,21
x12,0.0072294711777270825,22
x19,0.0071752938413030655,23
