,F1,F2,F3,F4
x1,0.9547560177901443,0.13838468700693418,0.11116722773181163,0.10892045419437445
x2,0.9544046604977551,0.13546924428831927,0.11268523051995041,0.10428727231354104
x3,0.8861313617082597,0.20667530869343773,0.0656920046633459,0.22950010369908766
x4,0.7778145126069206,0.2299307443094858,0.19898286202587614,0.29288763152686964
x5,0.4794179939957287,0.7434143223579807,-0.1732182333138797,0.3496026558017649
x6,0.2499291202400917,0.8048301885717276,-0.19345227855304895,0.31975168077100763
x7,-0.002679102909811576,0.9691032179945737,0.03475660241018945,-0.03372422309621492
x8,0.4637290069428945,0.74861253593419,-0.17946653610002164,0.35244075971268596
x9,0.7246963741133762,0.28253130665952086,0.49691245625578195,-0.11775976088367411
x10,0.7096771722665277,0.2916240483575462,0.5099757820562619,-0.10591592810040773
x11,0.8543576074004811,0.15265460630559893,0.10889425943816992,-0.24024032438444085
x12,0.3040711357647376,0.0669129268687263,0.8493767514175937,0.10656323329377489
x13,0.1955342190939372,0.9327225935504508,0.26632820747751157,-0.04922225938585469
x14,0.05117175450237481,0.94309968763965,0.28553457890032585,-0.05005122588620445
x15,0.44973763073047734,0.8421415941727911,0.08480104929016002,-0.0452105103075252
x16,0.17604843554809277,0.9368616145691417,0.26976618154162435,-0.04947975772306906
x17,0.4188292170485259,0.3621656765477401,0.6371385903814827,-0.12554709529186953
x18,-0.06943722991578474,-0.047792834650093874,-0.19943353719462456,-0.6491416107443205
x19,-0.005093970142274364,-0.039983943522575234,0.766189128269081,0.3501057860004781
