企业代号,银行评级,新评级,TOPSIS得分
E1,A,A,0.7197860389345893
E2,A,A,0.7174714254167637
E3,C,A,0.598080080300217
E4,C,A,0.6488090393180315
E5,B,A,0.5086190320661296
E6,A,A,0.723176423771265
E7,A,A,0.6279874362231805
E8,A,A,0.6872027599049318
E9,A,A,0.4165093706245683
E10,B,A,0.3602578353040164
E11,C,A,0.4301799292806425
E12,B,A,0.4119715366067726
E13,A,A,0.612785129220275
E14,C,A,0.5748722116520791
E15,A,C,0.2587427185838448
E16,A,C,0.2711574704229487
E17,A,A,0.5210162582531435
E18,A,A,0.416128028860909
E19,A,A,0.4846874228282343
E20,B,A,0.4428077159451762
E21,B,A,0.3722638068291273
E22,A,A,0.3475858804224049
E23,B,A,0.5163003320258327
E24,A,A,0.3566755613959856
E25,C,B,0.2904318524910483
E26,A,B,0.2845616788602651
E27,A,B,0.3161578134904665
E28,B,C,0.2671961867207669
E29,C,D,0.2177142121995088
E30,B,C,0.2632829019726733
E31,A,C,0.2716311322403777
E32,B,D,0.2402484572030864
E33,B,A,0.3363598992928021
E34,B,A,0.3268009812651706
E35,B,B,0.2804890272454616
E36,D,B,0.3110734038215237
E37,B,B,0.3007721593722054
E38,B,C,0.2676429185606121
E39,C,D,0.2463597237625432
E40,C,A,0.3191240482220893
E41,C,C,0.2759527846019411
E42,A,C,0.2648858645958977
E43,B,B,0.2916428919038781
E44,C,B,0.2825705170448064
E45,B,B,0.2884968204298273
E46,C,B,0.305519895086404
E47,C,A,0.3473811714822946
E48,A,B,0.297134573077237
E49,C,B,0.3054685257566454
E50,C,D,0.2418985970953676
E51,B,C,0.2643766676716139
E52,D,B,0.3112361357948655
E53,C,C,0.2568711200927284
E54,A,A,0.3261716720987642
E55,C,C,0.2625104003018312
E56,C,C,0.2755682300710626
E57,B,C,0.2674477491423557
E58,B,C,0.2755053233423612
E59,A,B,0.2823059894567771
E60,B,B,0.2844115363860461
E61,B,D,0.2343070519940503
E62,B,C,0.2518586080620822
E63,B,C,0.2595579338815852
E64,A,C,0.2678770692307241
E65,B,D,0.2274386940543436
E66,B,B,0.3144032869442232
E67,B,B,0.2762088344281919
E68,C,B,0.2892012042987268
E69,C,C,0.270885308827567
E70,B,D,0.2299949515965665
E71,B,B,0.2886622800513907
E72,C,A,0.32347002947685
E73,C,D,0.2440999506071209
E74,B,C,0.252306971419751
E75,C,B,0.3109264628090741
E76,B,C,0.2680769366032186
E77,C,D,0.2034104648025577
E78,C,D,0.232949239703773
E79,B,C,0.2521532604154166
E80,C,B,0.3154810763035499
E81,A,C,0.2689942189582095
E82,D,D,0.2291487630548514
E83,B,B,0.3125039324501978
E84,A,D,0.2354420934013234
E85,B,D,0.248714596433164
E86,C,D,0.2183906943702772
E87,C,C,0.2521800749407251
E88,A,D,0.2358438972466752
E89,A,D,0.2260639957770796
E90,C,D,0.2490412016159085
E91,A,D,0.2490446277229264
E92,C,A,0.3208922845535086
E93,B,C,0.2560235649941465
E94,C,D,0.2157030020850164
E95,B,D,0.2351901514304044
E96,C,B,0.2943201396854788
E97,B,B,0.2980609210759881
E98,B,D,0.2322056806868242
E99,D,B,0.291957248732935
E100,D,D,0.1875700987900913
E101,D,B,0.2978385550425689
E102,D,C,0.268624017243352
E103,D,A,0.3256296099277501
E104,C,B,0.2816916359202701
E105,C,D,0.2184763916041127
E106,B,C,0.263963791641514
E107,D,B,0.3066479865848909
E108,D,A,0.3188499255646074
E109,D,B,0.3145357813582081
E110,C,D,0.2372608487584373
E111,D,C,0.2583153830211886
E112,D,D,0.2110610921606054
E113,D,B,0.3120891121916931
E114,D,D,0.2439263848323587
E115,D,B,0.2925348811885297
E116,D,C,0.2504557735871552
E117,D,D,0.2175108490319502
E118,D,D,0.2405587140824185
E119,D,D,0.2377163619097618
E120,D,C,0.2576891626103109
E121,D,D,0.2353494512871138
E122,D,D,0.2396665810336884
E123,D,C,0.2498019283075339
