边序号,起点,终点,长度_km,费用_元
1,0,20,2.236068,2886763.76
2,0,23,5.656854,7302998.84
3,20,45,8.000000,10328000.00
4,45,9,7.280110,9398621.87
5,45,7,7.615773,9831963.08
6,9,61,9.000000,11619000.00
7,9,13,9.219544,11902431.89
8,13,168,8.062258,10408374.75
9,168,164,8.000000,10328000.00
10,23,123,9.219544,11902431.89
11,164,135,9.486833,12247501.38
12,7,82,9.486833,12247501.38
13,82,73,7.615773,9831963.08
14,73,93,9.000000,11619000.00
15,123,39,11.180340,14433818.79
16,39,127,10.000000,12910000.00
17,127,125,8.602325,11105601.92
