簇编号,一级站编号,簇内节点数,II型管道长度_km,是否满足30km约束,簇内节点列表
1,125,1,0.000000,是,125
2,168,16,27.008767,是,10;11;146;147;151;152;153;158;165;168;169;170;171;172;173;174
3,93,14,29.436126,是,1;90;91;92;93;96;97;103;105;106;107;108;110;145
4,45,13,28.433450,是,17;18;19;45;46;47;48;67;68;69;70;71;72
5,20,2,3.000000,是,20;24
6,23,14,27.877054,是,21;22;23;27;28;29;30;112;113;121;139;140;141;142
7,39,12,27.460118,是,6;34;37;39;40;114;115;118;119;120;124;136
8,9,9,16.670046,是,9;49;57;59;150;176;177;178;179
9,135,11,28.515563,是,8;116;117;132;133;134;135;148;157;159;160
10,7,14,27.812559,是,7;43;44;52;56;64;65;66;75;77;84;85;86;87
11,123,12,27.729474,是,3;5;98;102;104;122;123;131;137;138;143;144
12,61,6,14.634414,是,51;60;61;62;63;180
13,13,14,25.901689,是,12;13;14;15;16;25;26;31;32;33;50;58;156;175
14,82,11,26.365058,是,41;53;54;55;79;80;81;82;83;88;89
15,164,9,27.089724,是,149;154;155;161;162;163;164;166;167
16,127,12,29.044213,是,2;35;36;38;99;100;101;126;127;128;129;130
17,73,10,29.933054,是,4;42;73;74;76;78;94;95;109;111
