供应商ID,材料类别,CRITIC贴近度,CRITIC排名,熵权贴近度,熵权排名,排名差
S229,A,0.9520563344154591,1,0.9959613115426593,1,0
S361,C,0.9166447138948564,2,0.9342335534515782,2,0
S108,B,0.8476612809108044,3,0.6660035539506954,5,-2
S140,B,0.8404243415792979,4,0.7168966260390074,4,0
S282,A,0.7967509795672032,5,0.5112964209318432,7,-2
S340,B,0.7811594832560835,6,0.48466535627699675,8,-2
S151,C,0.7775311803983326,7,0.4734001396559363,9,-2
S275,A,0.770089571012521,8,0.4486786607416356,10,-2
S329,A,0.7671743844424128,9,0.44343380788190506,11,-2
S395,A,0.7663909534110656,10,0.5327578961375998,6,4
S139,B,0.7586495859908196,11,0.40809834709598636,12,-1
S356,C,0.7493762004594736,12,0.389401767032185,14,-2
S131,B,0.7459274884605672,13,0.3899838560446477,13,0
S268,C,0.7441311770575635,14,0.3693881641831551,17,-3
S330,B,0.743752920354195,15,0.3888318663552937,15,0
S308,B,0.740347294957353,16,0.38749868364452267,16,0
S306,C,0.7399858233345261,17,0.3636505860111772,18,-1
S194,C,0.7210492881059195,18,0.29145829276079394,19,-1
S307,A,0.7090958314613479,19,0.24381133943923905,23,-4
S352,A,0.7043895862449667,20,0.2594291575024083,22,-2
S348,A,0.7013920993013405,21,0.27086317809762267,21,0
S143,A,0.6936862270429743,22,0.24142413268607918,24,-2
S037,C,0.6911419426993614,23,0.2196246840650121,25,-2
S374,C,0.6877378576099268,24,0.14761918823333794,27,-3
S247,C,0.6859866567974089,25,0.17167053529080598,26,-1
S284,C,0.685101894209379,26,0.1474373785777361,28,-2
S126,C,0.6836109454344842,27,0.2735266506490388,20,7
S365,C,0.673516384257619,28,0.13236578834448018,29,-1
S031,B,0.670081651212294,29,0.13234181957810537,30,-1
S338,B,0.6661688741990841,30,0.10756200794896689,31,-1
S364,B,0.6605038324818499,31,0.10087665938808874,33,-2
S178,A,0.6586254806530917,32,0.06803633751124986,51,-19
S053,A,0.6584183173938315,33,0.0679563818378475,52,-19
S218,C,0.657836412443508,34,0.07859134994277812,43,-9
S067,C,0.6569407229623548,35,0.0675148759870413,53,-18
S174,B,0.6566779612861864,36,0.06745017640210806,54,-18
S040,B,0.6552315824579751,37,0.10754230722357808,32,5
S362,C,0.654992760460171,38,0.06696175395401573,55,-17
S239,C,0.6537163710941352,39,0.06663056451487093,57,-18
S342,C,0.6531423060615125,40,0.06655342716877162,58,-18
S379,C,0.6527076540593347,41,0.06645442478460727,59,-18
S055,B,0.6523434609136838,42,0.09088732599411656,37,5
S294,C,0.6520434622365939,43,0.08308495040414877,39,4
S175,B,0.6517739861904541,44,0.06610829579769277,62,-18
S221,A,0.6509942392879801,45,0.06591418002405204,63,-18
S080,C,0.6507998077779813,46,0.08293248342004837,40,6
S237,A,0.6505887357302297,47,0.06580232471295903,64,-17
S367,B,0.6504064455650139,48,0.09635857969357141,35,13
S213,C,0.6480393557428844,49,0.06514793705517856,66,-17
S114,A,0.6479400871488242,50,0.0704164842989754,49,1
S005,A,0.6472492689918744,51,0.07684685675279876,45,6
S244,C,0.6470758986814785,52,0.07959552581266942,41,11
S346,B,0.6470121944988001,53,0.09005322289254562,38,15
S169,B,0.646464610090797,54,0.06478672403822273,68,-14
S076,C,0.6460289236264141,55,0.0646642629447448,69,-14
S351,C,0.6455076164165745,56,0.06453276401160951,70,-14
S266,A,0.6426459740446316,57,0.06621217997660636,61,-4
S030,A,0.6412406719760523,58,0.06369575686834898,72,-14
S206,C,0.6412286137671095,59,0.06355851989691896,73,-14
S098,B,0.6411350291922595,60,0.06353776723690427,74,-14
S113,C,0.6409120375935056,61,0.06350412436771316,75,-14
S253,C,0.6405896883347528,62,0.06344046760317701,76,-14
S106,A,0.6381509835055417,63,0.06288464815091752,77,-14
S007,A,0.6375166814011565,64,0.06530771874894824,65,-1
