周次,真实总量,D预测总量,E预测总量,真实达标,D预测达标,E预测达标
217,24159,26961,29597,✗,✗,✓
218,24380,26007,27992,✗,✗,✗
219,30955,31142,35475,✓,✓,✓
220,21578,24393,26429,✗,✗,✗
221,41747,29998,31860,✓,✓,✓
222,35713,34410,39797,✓,✓,✓
223,18198,22883,22688,✗,✗,✗
224,17788,27845,29556,✗,✗,✓
225,21193,31956,35028,✗,✓,✓
226,20458,18735,16766,✗,✗,✗
227,31788,25202,24816,✓,✗,✗
228,19891,32940,36088,✗,✓,✓
229,22209,20949,19552,✗,✗,✗
230,34257,22782,21512,✓,✗,✗
231,21072,29844,32233,✗,✓,✓
232,28959,26709,27655,✓,✗,✗
233,19618,23696,23243,✗,✗,✗
234,40614,17615,13540,✓,✗,✗
235,21906,25270,25856,✗,✗,✗
236,28111,23121,22042,✗,✗,✗
237,55370,29191,31657,✓,✓,✓
238,39571,29215,31389,✓,✓,✓
239,27481,29140,31110,✗,✓,✓
240,25258,27330,28852,✗,✗,✓
