供应商ID,材料类别,第1周,第2周,第3周,第4周,第5周,第6周,第7周,第8周,第9周,第10周,第11周,第12周,第13周,第14周,第15周,第16周,第17周,第18周,第19周,第20周,第21周,第22周,第23周,第24周,周均供货量
S229,A,1437,1472,1520,1536,1548,1554,1557,1559,1560,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,1548.2
S361,C,1333,1378,1419,1436,1447,1452,1455,1457,1458,1458,1458,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1446.6
S108,B,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038.0
S140,B,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118.0
S282,A,576,637,728,766,783,790,793,794,794,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,774.4
S340,B,681,693,722,730,740,744,748,749,751,752,752,752,753,753,753,753,753,753,753,753,753,753,753,753,743.8
S151,C,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735.0
S275,A,618,640,663,674,683,687,691,693,694,695,695,696,696,696,696,696,696,696,696,696,696,696,696,696,686.7
S329,A,589,623,645,660,669,676,680,683,685,686,687,687,688,688,688,688,688,688,688,688,688,688,688,688,676.1
S395,A,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829.0
S139,B,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632.0
S356,C,675,649,567,563,629,649,598,565,599,635,616,580,586,618,621,595,585,604,618,605,590,597,611,610,606.9
S131,B,552,561,583,589,595,598,601,602,603,603,603,603,604,604,604,604,604,604,604,604,604,604,604,604,597.5
S268,C,514,527,547,555,561,565,567,569,570,570,571,571,571,571,571,571,571,571,571,571,571,571,571,571,564.1
S330,B,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602.0
S308,B,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600.0
S306,C,514,464,635,442,632,508,560,588,508,616,514,588,556,547,588,531,588,545,566,568,548,578,547,572,554.3
S194,C,401,411,426,432,438,441,443,444,445,446,446,446,446,447,447,447,447,447,447,447,447,447,447,447,440.9
S307,A,369,369,369,369,369,369,369,369,369,369,369,0,0,369,369,0,369,369,0,0,369,0,369,369,276.8
S352,A,395,374,403,424,407,384,390,408,407,393,389,398,403,397,391,394,399,398,394,393,396,397,395,394,396.8
S348,A,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414.0
S143,A,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367.0
S037,C,0,331,331,331,331,0,0,331,331,331,0,331,331,0,0,331,331,331,331,331,331,331,331,0,234.5
S374,C,482,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,575.0
S247,C,225,231,239,242,245,247,248,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,246.8
S284,C,189,195,200,203,205,206,206,206,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,205.1
S126,C,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419.0
S365,C,166,169,175,177,179,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179.3
S031,B,163,167,174,176,178,179,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178.9
S338,B,135,135,135,135,135,135,135,0,135,0,0,135,135,135,135,135,135,135,135,135,135,135,135,135,118.1
S364,B,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123.0
S178,A,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,5,5,0,5,0,0,1.2
S053,A,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0.5
S218,C,67,55,71,59,73,61,73,61,74,61,74,61,74,61,74,61,74,61,74,61,74,61,74,61,66.7
S067,C,0,2,0,2,2,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,2,2,0,1.4
S174,B,4,0,0,0,4,0,0,4,4,0,0,4,4,0,4,4,4,4,4,0,0,4,0,4,2.2
S040,B,128,125,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136.0
S362,C,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,2,2,2,0,0,0.6
S239,C,0,3,0,0,3,3,3,3,0,3,0,3,3,0,0,3,0,0,3,3,3,3,3,3,1.9
S342,C,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,0,0,7,7,0,7,0,0,1.8
S379,C,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,0,0,7,7,0,7,0,0,1.8
S055,B,105,109,103,105,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103.4
