供应商ID,材料类别,有效周数,F1_周均供货量,F2_周均缺失量,F3_供货达标率,F4_供货偏差均方,贴近度C,排名
S229,A,240,1560.45,28.8875,0.9458333333333333,426146.1875,0.9520563344154591,1
S361,C,240,1458.0833333333333,28.8125,0.9125,404296.32916666666,0.9166447138948564,2
S108,B,240,1037.5333333333333,128.02083333333334,0.95,932185.75,0.8476612809108044,3
S140,B,220,1117.55,480.2181818181818,0.9045454545454545,7389303.377272727,0.8404243415792979,4
S282,A,240,794.3,1.8458333333333334,0.9708333333333333,168451.51666666666,0.7967509795672032,5
S340,B,240,752.5583333333333,5.595833333333333,0.9458333333333333,80041.60833333334,0.7811594832560835,6
S151,C,240,734.7625,185.325,0.95,1806080.5583333333,0.7775311803983326,7
S275,A,240,695.7583333333333,3.1083333333333334,0.95,68670.275,0.770089571012521,8
S329,A,240,687.5208333333334,3.6458333333333335,0.9458333333333333,65289.1375,0.7671743844424128,9
S395,A,84,828.8690476190476,287.3690476190476,0.8690476190476191,1669425.357142857,0.7663909534110656,10
S139,B,224,631.5,99.66964285714286,0.9598214285714286,1351044.34375,0.7586495859908196,11
S356,C,240,602.0625,13.3375,0.9458333333333333,89430.075,0.7493762004594736,12
S131,B,240,603.1458333333334,10.516666666666667,0.9333333333333333,55386.65833333333,0.7459274884605672,13
S268,C,240,570.2625,2.808333333333333,0.95,45602.49166666667,0.7441311770575635,14
S330,B,240,601.375,120.94166666666666,0.9291666666666667,945153.9333333333,0.743752920354195,15
S308,B,240,599.3708333333333,185.25,0.9208333333333333,1191722.4791666667,0.740347294957353,16
S306,C,240,561.2708333333334,3.5625,0.9416666666666667,49870.4,0.7399858233345261,17
S194,C,240,445.8666666666667,4.075,0.9541666666666667,28658.9625,0.7210492881059195,18
S307,A,172,368.66279069767444,132.42441860465115,0.9651162790697675,825865.3139534884,0.7090958314613479,19
S352,A,240,394.8541666666667,4.183333333333334,0.9291666666666667,30076.895833333332,0.7043895862449667,20
S348,A,199,413.6030150753769,218.74371859296483,0.914572864321608,3473295.32160804,0.7013920993013405,21
S143,A,240,366.1333333333333,48.38333333333333,0.9125,108011.0875,0.6936862270429743,22
S037,C,161,330.2919254658385,117.08695652173913,0.9254658385093167,616458.5217391305,0.6911419426993614,23
S374,C,240,206.09583333333333,0.008333333333333333,0.9916666666666667,649362.8708333333,0.6877378576099268,24
S247,C,240,249.54166666666666,1.2916666666666667,0.9541666666666667,8998.208333333334,0.6859866567974089,25
S284,C,240,206.4375,0.4125,0.9791666666666666,7701.85,0.685101894209379,26
S126,C,100,418.81,559.31,0.87,4584382.89,0.6836109454344842,27
S365,C,240,181.10833333333332,0.8791666666666667,0.95,4263.633333333333,0.673516384257619,28
S031,B,240,181.8,1.5583333333333333,0.9375,5180.429166666667,0.670081651212294,29
S338,B,204,134.2107843137255,32.89705882352941,0.9509803921568627,82014.00490196078,0.6661688741990841,30
S364,B,240,121.8375,5.3875,0.9375,4679.308333333333,0.6605038324818499,31
S178,A,45,4.111111111111111,0.0,1.0,6.311111111111111,0.6586254806530917,32
S053,A,31,2.6774193548387095,0.0,1.0,1.903225806451613,0.6584183173938315,33
S218,C,240,66.80833333333334,0.8166666666666667,0.9583333333333334,808.425,0.657836412443508,34
S067,C,169,1.5562130177514792,0.005917159763313609,0.9940828402366864,0.6153846153846154,0.6569407229623548,35
S174,B,126,2.9047619047619047,0.007936507936507936,0.9920634920634921,2.365079365079365,0.6566779612861864,36
S040,B,240,137.22083333333333,5.170833333333333,0.9125,4065.0208333333335,0.6552315824579751,37
S362,C,70,1.4142857142857144,0.014285714285714285,0.9857142857142858,0.4857142857142857,0.654992760460171,38
S239,C,145,3.1724137931034484,1.3586206896551725,0.9793103448275862,264.5586206896552,0.6537163710941352,39
S342,C,40,6.45,0.025,0.975,26.55,0.6531423060615125,40
S379,C,37,6.918918918918919,0.02702702702702703,0.972972972972973,6.891891891891892,0.6527076540593347,41
S055,B,240,102.2,28.233333333333334,0.9208333333333333,25625.108333333334,0.6523434609136838,42
S294,C,240,83.04166666666667,0.7583333333333333,0.9291666666666667,1052.4791666666667,0.6520434622365939,43
S175,B,141,2.8085106382978724,0.028368794326241134,0.9716312056737588,2.1560283687943262,0.6517739861904541,44
S221,A,126,3.3174603174603177,0.031746031746031744,0.9682539682539683,3.4047619047619047,0.6509942392879801,45
S080,C,240,83.20416666666667,1.5083333333333333,0.925,1454.2708333333333,0.6507998077779813,46
S237,A,121,2.834710743801653,0.09917355371900827,0.9669421487603306,2.6115702479338845,0.6505887357302297,47
S367,B,240,115.13333333333334,8.733333333333333,0.9083333333333333,5800.108333333334,0.6504064455650139,48
S213,C,166,1.680722891566265,0.04216867469879518,0.9578313253012049,0.9939759036144579,0.6480393557428844,49
S114,A,231,44.58874458874459,16.567099567099568,0.935064935064935,12614.116883116883,0.6479400871488242,50
S005,A,114,67.83333333333333,0.16666666666666666,0.9210526315789473,1270.0,0.6472492689918744,51
S244,C,240,75.87916666666666,5.575,0.9166666666666666,2879.866666666667,0.6470758986814785,52
S346,B,240,102.1,9.3125,0.9041666666666667,5575.075,0.6470121944988001,53
S169,B,123,3.1463414634146343,0.04878048780487805,0.9512195121951219,3.089430894308943,0.646464610090797,54
S076,C,201,1.9850746268656716,0.04975124378109453,0.9502487562189055,1.044776119402985,0.6460289236264141,55
