,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00
1,127.0,75.0,71.0,19.0,24.0,187.0,499.0,983.0,789.0,652.0,668.0,1083.0,1322.0,972.0,846.0,782.0,1501.0,2221.0,1945.0,1744.0,1210.0,736.0,495.0,255.0
2,139.0,72.0,18.0,15.0,63.0,245.0,439.0,914.0,722.0,590.0,618.0,1024.0,1214.0,918.0,789.0,722.0,1395.0,2078.0,1807.0,1596.0,1095.0,663.0,434.0,197.0
3,64.0,13.0,19.0,15.0,13.0,126.0,310.0,652.0,537.0,466.0,482.0,790.0,904.0,734.0,616.0,555.0,1088.0,1534.0,1389.0,1260.0,853.0,558.0,375.0,133.0
4,189.0,135.0,73.0,61.0,16.0,307.0,549.0,961.0,852.0,728.0,791.0,1159.0,1397.0,1028.0,903.0,843.0,1561.0,1985.0,1810.0,1627.0,1269.0,787.0,549.0,308.0
5,72.0,9.0,8.0,14.0,14.0,125.0,243.0,432.0,368.0,483.0,601.0,723.0,845.0,675.0,914.0,963.0,841.0,1085.0,1514.0,1327.0,969.0,615.0,435.0,190.0
6,133.0,79.0,67.0,12.0,64.0,245.0,487.0,856.0,793.0,724.0,724.0,1093.0,1267.0,979.0,842.0,790.0,1453.0,1746.0,1762.0,1568.0,1243.0,727.0,481.0,241.0
7,62.0,13.0,8.0,11.0,11.0,108.0,160.0,305.0,241.0,319.0,370.0,492.0,555.0,429.0,377.0,317.0,552.0,727.0,602.0,483.0,377.0,245.0,197.0,77.0
8,22.0,12.0,13.0,13.0,23.0,65.0,241.0,481.0,680.0,794.0,739.0,607.0,532.0,431.0,377.0,486.0,665.0,992.0,798.0,551.0,436.0,316.0,181.0,69.0
9,56.0,17.0,8.0,9.0,16.0,105.0,169.0,243.0,319.0,427.0,549.0,661.0,788.0,727.0,858.0,908.0,781.0,971.0,1218.0,1090.0,783.0,487.0,316.0,136.0
10,77.0,9.0,61.0,21.0,19.0,185.0,305.0,429.0,369.0,423.0,499.0,616.0,736.0,543.0,481.0,431.0,677.0,908.0,784.0,666.0,548.0,363.0,256.0,123.0
