,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00
1,189.0,129.0,57.0,67.0,2.0,123.0,291.0,474.0,594.0,727.0,860.0,953.0,1096.0,1182.0,1304.0,1212.0,1089.0,945.0,855.0,730.0,607.0,486.0,372.0,236.0
2,126.0,65.0,64.0,3.0,9.0,115.0,246.0,411.0,537.0,657.0,793.0,890.0,1035.0,1132.0,1280.0,1152.0,1032.0,893.0,787.0,678.0,533.0,414.0,311.0,185.0
3,122.0,69.0,2.0,4.0,9.0,53.0,170.0,295.0,434.0,529.0,670.0,767.0,920.0,1008.0,1159.0,1004.0,920.0,772.0,652.0,554.0,435.0,291.0,227.0,117.0
4,182.0,116.0,56.0,63.0,1.0,185.0,357.0,535.0,649.0,788.0,910.0,1029.0,1124.0,1253.0,1396.0,1266.0,1131.0,1027.0,919.0,760.0,666.0,559.0,433.0,306.0
5,122.0,62.0,0.0,0.0,0.0,178.0,295.0,478.0,722.0,1087.0,1487.0,1694.0,1808.0,1725.0,1616.0,1490.0,1331.0,1187.0,1093.0,910.0,728.0,551.0,365.0,176.0
6,121.0,55.0,62.0,0.0,0.0,113.0,297.0,424.0,535.0,668.0,772.0,906.0,1010.0,1152.0,1267.0,1155.0,1023.0,896.0,795.0,655.0,547.0,427.0,297.0,173.0
7,59.0,0.0,0.0,0.0,0.0,118.0,176.0,306.0,422.0,547.0,675.0,794.0,894.0,855.0,729.0,589.0,465.0,351.0,286.0,250.0,176.0,107.0,65.0,0.0
8,0.0,0.0,0.0,0.0,0.0,56.0,125.0,235.0,367.0,478.0,611.0,538.0,473.0,409.0,356.0,304.0,230.0,364.0,471.0,350.0,233.0,127.0,48.0,0.0
9,178.0,118.0,58.0,0.0,0.0,242.0,419.0,716.0,1084.0,1501.0,1915.0,2095.0,2285.0,2156.0,2038.0,1806.0,1549.0,1312.0,1091.0,888.0,725.0,528.0,352.0,185.0
10,115.0,56.0,0.0,0.0,0.0,115.0,236.0,363.0,474.0,603.0,716.0,846.0,952.0,902.0,772.0,669.0,546.0,426.0,372.0,303.0,232.0,184.0,128.0,55.0
