区域,Y_Qbar,X1_估算人口,X2_车流量,X3_POI,X4_覆盖率percent,X5_供给能力_kW
1,17884.285714285714,67026.95999999999,28505.0,1258.0,80.76036866359448,16082.0
2,16504.428571428572,50188.5,26811.0,1182.0,77.89473684210526,14833.0
3,12828.0,57793.600000000006,24599.0,954.0,82.29284903518729,12342.0
4,18694.571428571428,291905.63999999996,32021.0,821.0,49.995457436176984,13591.0
5,15076.42857142857,151629.3,19513.0,653.0,40.499375780274654,9470.0
6,16940.0,93965.12,28024.0,780.0,69.7237017310253,11841.0
7,7274.0,119588.85,12598.0,229.0,25.03753485379281,5610.0
8,8452.857142857143,110796.92000000001,16823.0,388.0,34.988337220926354,7353.0
9,14956.0,82000.0,10547.0,192.0,19.946646341463417,4862.0
10,9396.42857142857,17527.8,13216.0,321.0,65.02242152466367,6605.0
