区域,实际综合日均负荷,岭回归R1预测,LightGBM_L1预测,岭回归绝对误差,LightGBM绝对误差,表现更优模型
1,17884.285714,16742.628903,13346.968316,1141.656811,4537.317398,岭回归R1
2,16504.428571,16372.239757,13500.285807,132.188814,3004.142764,岭回归R1
3,12828.000000,15790.585592,13908.777778,2962.585592,1080.777778,LightGBM-L1
4,18694.571429,15301.521126,13256.936415,3393.050303,5437.635014,岭回归R1
5,15076.428571,13221.110534,13658.952365,1855.318037,1417.476206,LightGBM-L1
6,16940.000000,14371.520033,13451.888889,2568.479967,3488.111111,岭回归R1
7,7274.000000,12088.644434,14525.888889,4814.644434,7251.888889,岭回归R1
8,8452.857143,12754.615441,14394.904731,4301.758298,5942.047588,岭回归R1
9,14956.000000,8943.492285,13672.333333,6012.507715,1283.666667,LightGBM-L1
10,9396.428571,11885.305026,14290.063477,2488.876455,4893.634905,岭回归R1
