区域,小时序号,时段,工作日负荷_kWh,周末负荷_kWh,综合典型日负荷_kWh,工作日负荷占全天_raw,周末负荷占全天_raw,综合典型日负荷占全天_raw
1,0,00-01,127,189,144.7142857,0.006612516922,0.01296296296,0.008091700615
1,1,01-02,75,129,90.42857143,0.003905029678,0.008847736626,0.005056314402
1,2,02-03,71,57,67,0.003696761429,0.003909465021,0.003746305615
1,3,03-04,19,67,32.71428571,0.0009892741852,0.004595336077,0.001829219586
1,4,04-05,24,2,17.71428571,0.001249609497,0.0001371742112,0.0009904944484
1,5,05-06,187,123,168.7142857,0.009736540664,0.008436213992,0.009433660836
1,6,06-07,499,291,439.5714286,0.02598146413,0.01995884774,0.02457864047
1,7,07-08,983,474,837.5714286,0.05118192232,0.03251028807,0.04683281412
1,8,08-09,789,594,733.2857143,0.04108091221,0.04074074074,0.04100167745
1,9,09-10,652,727,673.4285714,0.03394772467,0.04986282579,0.03765476476
1,10,10-11,668,860,722.8571429,0.03478079767,0.05898491084,0.04041856378
1,11,11-12,1083,953,1045.857143,0.05638862855,0.06536351166,0.05847911175
1,12,12-13,1322,1096,1257.428571,0.06883265646,0.07517146776,0.07030913012
1,13,13-14,972,1182,1032,0.05060918463,0.08106995885,0.05770428948
1,14,14-15,846,1304,976.8571429,0.04404873477,0.08943758573,0.05462097612
1,15,15-16,782,1212,904.8571429,0.04071644278,0.08312757202,0.05059509545
1,16,16-17,1501,1089,1383.285714,0.07815266063,0.07469135802,0.07734643342
1,17,17-18,2221,945,1856.428571,0.1156409455,0.06481481481,0.1038022206
1,18,18-19,1945,855,1633.571429,0.1012704363,0.05864197531,0.09134116143
1,19,19-20,1744,730,1454.285714,0.09080495678,0.05006858711,0.08131639907
1,20,20-21,1210,607,1037.714286,0.06300114548,0.04163237311,0.05802380382
1,21,21-22,736,486,664.5714286,0.03832135791,0.03333333333,0.03715951753
1,22,22-23,495,372,459.8571429,0.02577319588,0.02551440329,0.02571291637
1,23,23-00,255,236,249.5714286,0.01327710091,0.01618655693,0.01395478872
2,0,00-01,139,126,135.2857143,0.007823492993,0.009439616422,0.008196934156
2,1,01-02,72,65,70,0.004052456802,0.004869643392,0.004241285889
2,2,02-03,18,64,31.14285714,0.0010131142,0.004794725802,0.001886939436
2,3,03-04,15,3,11.57142857,0.0008442618337,0.000224752772,0.0007011105244
2,4,04-05,63,9,47.57142857,0.003545899702,0.0006742583159,0.002882343267
2,5,05-06,245,115,207.8571429,0.01378960995,0.008615522925,0.01259402238
2,6,06-07,439,246,383.8571429,0.02470872967,0.0184297273,0.0232578269
2,7,07-08,914,411,770.2857143,0.05144368774,0.03079112976,0.04667145615
2,8,08-09,722,537,669.1428571,0.04063713626,0.04023074618,0.04054323082
2,9,09-10,590,657,609.1428571,0.03320763213,0.04922085706,0.03690784292
2,10,10-11,618,793,668,0.03478358755,0.05940964939,0.04047398534
2,11,11-12,1024,890,985.7142857,0.05763494118,0.06667665568,0.05972422986
2,12,12-13,1214,1035,1162.857143,0.06832892441,0.07753970632,0.07045727986
2,13,13-14,918,1132,979.1428571,0.05166882422,0.08480671262,0.05932606833
2,14,14-15,789,1280,929.2857143,0.04440817245,0.09589451603,0.05630523409
2,15,15-16,722,1152,844.8571429,0.04063713626,0.08630506443,0.05118972397
2,16,16-17,1395,1032,1291.285714,0.07851635054,0.07731495355,0.07823874112
2,17,17-18,2078,893,1739.428571,0.116958406,0.06690140845,0.1053916265
2,18,18-19,1807,787,1515.571429,0.1017054089,0.05896014384,0.09182816733
2,19,19-20,1596,678,1333.714286,0.08982945911,0.05079412646,0.08080947971
2,20,20-21,1095,533,934.4285714,0.06163111386,0.03993107582,0.05661683877
2,21,21-22,663,414,591.8571429,0.03731637305,0.03101588253,0.03586050497
2,22,22-23,434,311,398.8571429,0.02442730906,0.02329937069,0.02416667388
2,23,23-00,197,185,193.5714286,0.01108797208,0.01385975427,0.01172845383
3,0,00-01,64,122,80.57142857,0.004745662168,0.01090941608,0.006280903381
3,1,01-02,13,69,29,0.0009639626279,0.006170079585,0.002260679763
3,2,02-03,19,2,14.14285714,0.001408868456,0.0001788428865,0.001102498998
3,3,03-04,15,4,11.85714286,0.001112264571,0.000357685773,0.0009243173415
3,4,04-05,13,9,11.85714286,0.0009639626279,0.0008047929894,0.0009243173415
3,5,05-06,126,53,105.1428571,0.009343022394,0.004739336493,0.008196356185
3,6,06-07,310,170,270,0.02298680113,0.01520164535,0.02104770814
3,7,07-08,652,295,550,0.04834643334,0.02637932576,0.04287496102
3,8,08-09,537,434,507.5714286,0.03981907163,0.03880890638,0.03956746403
3,9,09-10,466,529,484,0.03455435266,0.04730394349,0.0377299657
3,10,10-11,482,670,535.7142857,0.0357407682,0.05991236699,0.04176132567
3,11,11-12,790,767,783.4285714,0.05857926739,0.06858624698,0.06107176266
3,12,12-13,904,920,908.5714286,0.06703247813,0.0822677278,0.07082720834
3,13,13-14,734,1008,812.2857143,0.05442681299,0.09013681481,0.06332130607
3,14,14-15,616,1159,771.1428571,0.04567699837,0.1036394527,0.06011403626
3,15,15-16,555,1004,683.2857143,0.04115378911,0.08977912904,0.05326517885
3,16,16-17,1088,920,1040,0.08067625686,0.0822677278,0.08107265357
3,17,17-18,1534,772,1316.285714,0.1137475901,0.0690333542,0.1026103613
3,18,18-19,1389,652,1178.428571,0.1029956992,0.05830278101,0.09186378012
3,19,19-20,1260,554,1058.285714,0.09343022394,0.04953947957,0.08249810682
3,20,20-21,853,435,733.5714286,0.06325077859,0.03889832782,0.05718517529
3,21,21-22,558,291,481.7142857,0.04137624203,0.02602163999,0.03755178404
3,22,22-23,375,227,332.7142857,0.02780661427,0.02029866762,0.02593656733
3,23,23-00,133,117,128.4285714,0.009862079193,0.01046230886,0.01001158181
4,0,00-01,189,182,187,0.009503218021,0.01158424034,0.01000290382
4,1,01-02,135,116,129.5714286,0.006788012872,0.007383361976,0.006930965445
4,2,02-03,73,56,68.14285714,0.003670555109,0.003564381643,0.00364506121
4,3,03-04,61,63,61.57142857,0.003067176187,0.004009929349,0.003293545873
4,4,04-05,16,1,11.71428571,0.0008045052293,6.36496722e-05,0.000626614296
4,5,05-06,307,185,272.1428571,0.01543644409,0.01177518936,0.01455731992
4,6,06-07,549,357,494.1428571,0.02760458568,0.02272293298,0.026432425
