区域,典型日峰值_kWh,典型日峰值时段,典型日谷值_kWh,典型日谷值时段,典型日均值_kWh,归一化极差,工作日全天负荷_kWh,周末全天负荷_kWh,周末相对工作日差异率_pct,日期类型
1,1856.428571,17,17.71428571,04,745.1785714,2.467481428,19206,14580,-24.08622306,工作日主导型
2,1739.428571,17,11.57142857,03,687.6845238,2.512572383,17767,13348,-24.87195362,工作日主导型
3,1316.285714,17,11.85714286,03;04,534.5,2.440465054,13486,11183,-17.07696871,均衡型
4,1711.285714,17,11.71428571,04,778.9404762,2.181901545,19888,15711,-21.00261464,工作日主导型
5,1393.714286,18,5.714285714,02,628.1845238,2.209541858,13465,19105,41.88637208,周末主导型
6,1503.142857,17,8.571428571,03,705.8333333,2.117456569,18376,13350,-27.35089247,工作日主导型
7,651.8571429,12,5.714285714,02,303.0833333,2.131898346,7038,7864,11.73628872,均衡型
8,812.5714286,17,8.571428571,01,352.202381,2.282778435,9524,5775,-39.36371273,工作日主导型
9,1215.714286,12,6.428571429,03,623.1666667,1.940549421,11642,23241,99.63064766,周末主导型
10,797.7142857,12,13.57142857,04,391.5178571,2.002827822,9529,9065,-4.869346206,均衡型
