区域,覆盖率目标,覆盖约束最少新增总桩数,100%覆盖新增总桩数上界,现有服务能力_车次日,规划服务需求_车次日,服务缺口_车次日,结构约束系数_S0/F0,预测负荷最大值_kW,最大负荷率,最小安全裕度_kW,安全预检是否通过
1,0.9,25,52,12040,1101.371429,0,0.6666666667,2134.892857,0.4228347905,1850.578571,是
2,0.9,31,57,11100,1133.735714,0,0.6638655462,2000.342857,0.4083165661,1660.421429,是
3,0.9,16,36,9240,991.9571429,0,0.6666666667,1513.728571,0.3292861804,1526.342857,是
4,0.9,146,183,10180,1559.235714,0,0.6697247706,1967.978571,0.3516131091,2002.95,是
5,0.9,155,186,7080,1244.957143,0,0.6578947368,1602.771429,0.4200134771,1417.771429,是
6,0.9,46,69,8860,1156.571429,0,0.6631578947,1728.614286,0.354548958,1765.992857,是
7,0.9,195,225,4200,692.7928571,0,0.6666666667,749.6357143,0.2360638912,1148.685714,是
8,0.9,155,183,5500,1071.307143,0,0.6610169492,934.4571429,0.2682371324,1599.928571,是
9,0.9,229,261,3640,1324.635714,0,0.6666666667,1398.071429,0.5881673882,912.5142857,是
10,0.9,34,48,4940,847.2214286,0,0.6603773585,917.3714286,0.2587059866,1314.964286,是
