区域,覆盖率_pct,覆盖约束裕度_pct,服务能力_车次日,规划需求_车次日,服务约束裕度_车次日,结构约束左端_S0*x,结构约束右端_F0*y,结构约束裕度,整数性是否满足,非负性是否满足,逐时安全是否通过,最大负荷率,最小安全裕度_kW,全部约束是否通过
1,90.15110921,0.1511092059,13440,1101.371429,12338.62857,1290,1290,0,True,True,True,0.4228347905,1850.578571,True
2,94.02445508,4.024455077,13420,1133.735714,12286.26429,1975,1904,71,True,True,True,0.4083165661,1660.421429,True
3,90.27276167,0.2727616689,10160,991.9571429,9168.042857,660,594,66,True,True,True,0.3292861804,1526.342857,True
4,90.37640383,0.3764038269,18460,1559.235714,16900.76429,6497,6322,175,True,True,True,0.3516131091,2002.95,True
5,91.60573093,1.605730932,16020,1244.957143,14775.04286,4800,4788,12,True,True,True,0.4200134771,1417.771429,True
6,90.46429655,0.4642965497,11540,1156.571429,10383.42857,1827,1710,117,True,True,True,0.354548958,1765.992857,True
7,90.13512547,0.1351254737,15120,692.7928571,14427.20714,3510,3510,0,True,True,True,0.2360638912,1148.685714,True
8,90.6840577,0.6840576951,14260,1071.307143,13188.69286,3666,3658,8,True,True,True,0.2682371324,1599.928571,True
9,90.52708724,0.527087242,16520,1324.635714,15195.36429,3588,3588,0,True,True,True,0.5881673882,912.5142857,True
10,90.14472075,0.1447207501,6880,847.2214286,6032.778571,735,689,46,True,True,True,0.2587059866,1314.964286,True
