区域,日期类型,小时序号,时段,时段类别,调度前负荷_kW,最大允许负荷_kW,调度前负荷率_raw,调度前负荷率_pct,调度前安全裕度_kW
1,工作日,0,00-01,低谷,127,2017,0.06296479921,6.296479921,1890
1,工作日,1,01-02,低谷,75,2023,0.03707365299,3.707365299,1948
1,工作日,2,02-03,低谷,71,2039,0.03482099068,3.482099068,1968
1,工作日,3,03-04,低谷,19,2046,0.009286412512,0.9286412512,2027
1,工作日,4,04-05,低谷,24,2058,0.01166180758,1.166180758,2034
1,工作日,5,05-06,低谷,187,2517,0.07429479539,7.429479539,2330
1,工作日,6,06-07,低谷,499,3529,0.14139983,14.139983,3030
1,工作日,7,07-08,平段,983,4038,0.2434373452,24.34373452,3055
1,工作日,8,08-09,平段,789,4042,0.1952003958,19.52003958,3253
1,工作日,9,09-10,平段,652,3857,0.1690432979,16.90432979,3205
1,工作日,10,10-11,平段,668,3863,0.172922599,17.2922599,3195
1,工作日,11,11-12,高峰,1083,4276,0.2532740879,25.32740879,3193
1,工作日,12,12-13,高峰,1322,4589,0.2880801918,28.80801918,3267
1,工作日,13,13-14,高峰,972,4298,0.2261516985,22.61516985,3326
1,工作日,14,14-15,平段,846,4015,0.2107098381,21.07098381,3169
1,工作日,15,15-16,平段,782,3822,0.2046049189,20.46049189,3040
1,工作日,16,16-17,高峰,1501,4537,0.3308353538,33.08353538,3036
1,工作日,17,17-18,高峰,2221,5049,0.4398890869,43.98890869,2828
1,工作日,18,18-19,高峰,1945,4856,0.4005354201,40.05354201,2911
1,工作日,19,19-20,高峰,1744,4563,0.3822046899,38.22046899,2819
1,工作日,20,20-21,高峰,1210,4078,0.2967140755,29.67140755,2868
1,工作日,21,21-22,高峰,736,3587,0.2051853917,20.51853917,2851
1,工作日,22,22-23,高峰,495,3096,0.1598837209,15.98837209,2601
1,工作日,23,23-00,未分类固定,255,2519,0.1012306471,10.12306471,2264
1,周末,0,00-01,低谷,189,2017,0.09370352008,9.370352008,1828
1,周末,1,01-02,低谷,129,2023,0.06376668314,6.376668314,1894
1,周末,2,02-03,低谷,57,2039,0.02795487984,2.795487984,1982
1,周末,3,03-04,低谷,67,2046,0.03274682307,3.274682307,1979
1,周末,4,04-05,低谷,2,2058,0.0009718172983,0.09718172983,2056
1,周末,5,05-06,低谷,123,2517,0.04886769964,4.886769964,2394
1,周末,6,06-07,低谷,291,3529,0.08245962029,8.245962029,3238
1,周末,7,07-08,平段,474,4038,0.117384844,11.7384844,3564
1,周末,8,08-09,平段,594,4042,0.146956952,14.6956952,3448
1,周末,9,09-10,平段,727,3857,0.1884884625,18.84884625,3130
1,周末,10,10-11,平段,860,3863,0.2226249029,22.26249029,3003
1,周末,11,11-12,高峰,953,4276,0.2228718428,22.28718428,3323
1,周末,12,12-13,高峰,1096,4589,0.2388319895,23.88319895,3493
1,周末,13,13-14,高峰,1182,4298,0.2750116333,27.50116333,3116
1,周末,14,14-15,平段,1304,4015,0.3247820672,32.47820672,2711
1,周末,15,15-16,平段,1212,3822,0.31711146,31.711146,2610
1,周末,16,16-17,高峰,1089,4537,0.2400264492,24.00264492,3448
1,周末,17,17-18,高峰,945,5049,0.1871657754,18.71657754,4104
1,周末,18,18-19,高峰,855,4856,0.1760708402,17.60708402,4001
1,周末,19,19-20,高峰,730,4563,0.1599824677,15.99824677,3833
1,周末,20,20-21,高峰,607,4078,0.1488474743,14.88474743,3471
1,周末,21,21-22,高峰,486,3587,0.1354892668,13.54892668,3101
1,周末,22,22-23,高峰,372,3096,0.1201550388,12.01550388,2724
1,周末,23,23-00,未分类固定,236,2519,0.09368797142,9.368797142,2283
2,工作日,0,00-01,低谷,139,1816,0.07654185022,7.654185022,1677
2,工作日,1,01-02,低谷,72,1822,0.03951701427,3.951701427,1750
2,工作日,2,02-03,低谷,18,1838,0.009793253536,0.9793253536,1820
2,工作日,3,03-04,低谷,15,1845,0.008130081301,0.8130081301,1830
2,工作日,4,04-05,低谷,63,1859,0.03388918774,3.388918774,1796
2,工作日,5,05-06,低谷,245,2268,0.1080246914,10.80246914,2023
2,工作日,6,06-07,低谷,439,3277,0.1339639915,13.39639915,2838
2,工作日,7,07-08,平段,914,3889,0.2350218565,23.50218565,2975
2,工作日,8,08-09,平段,722,3893,0.185461084,18.5461084,3171
2,工作日,9,09-10,平段,590,3616,0.1631637168,16.31637168,3026
2,工作日,10,10-11,平段,618,3628,0.1703417861,17.03417861,3010
2,工作日,11,11-12,高峰,1024,4037,0.2536537032,25.36537032,3013
2,工作日,12,12-13,高峰,1214,4249,0.2857142857,28.57142857,3035
2,工作日,13,13-14,高峰,918,4056,0.2263313609,22.63313609,3138
2,工作日,14,14-15,平段,789,3865,0.2041397154,20.41397154,3076
2,工作日,15,15-16,平段,722,3677,0.1963557248,19.63557248,2955
2,工作日,16,16-17,高峰,1395,4288,0.3253264925,32.53264925,2893
2,工作日,17,17-18,高峰,2078,4899,0.4241681976,42.41681976,2821
2,工作日,18,18-19,高峰,1807,4613,0.3917190548,39.17190548,2806
2,工作日,19,19-20,高峰,1596,4226,0.3776620918,37.76620918,2630
2,工作日,20,20-21,高峰,1095,3837,0.2853792025,28.53792025,2742
2,工作日,21,21-22,高峰,663,3248,0.2041256158,20.41256158,2585
2,工作日,22,22-23,高峰,434,2855,0.1520140105,15.20140105,2421
2,工作日,23,23-00,未分类固定,197,2269,0.08682238872,8.682238872,2072
2,周末,0,00-01,低谷,126,1816,0.06938325991,6.938325991,1690
2,周末,1,01-02,低谷,65,1822,0.03567508233,3.567508233,1757
2,周末,2,02-03,低谷,64,1838,0.03482045702,3.482045702,1774
2,周末,3,03-04,低谷,3,1845,0.00162601626,0.162601626,1842
2,周末,4,04-05,低谷,9,1859,0.004841312534,0.4841312534,1850
2,周末,5,05-06,低谷,115,2268,0.05070546737,5.070546737,2153
2,周末,6,06-07,低谷,246,3277,0.07506866036,7.506866036,3031
2,周末,7,07-08,平段,411,3889,0.1056826948,10.56826948,3478
2,周末,8,08-09,平段,537,3893,0.1379398921,13.79398921,3356
2,周末,9,09-10,平段,657,3616,0.1816924779,18.16924779,2959
2,周末,10,10-11,平段,793,3628,0.2185777288,21.85777288,2835
2,周末,11,11-12,高峰,890,4037,0.2204607382,22.04607382,3147
2,周末,12,12-13,高峰,1035,4249,0.2435867263,24.35867263,3214
2,周末,13,13-14,高峰,1132,4056,0.2790927022,27.90927022,2924
2,周末,14,14-15,平段,1280,3865,0.3311772316,33.11772316,2585
2,周末,15,15-16,平段,1152,3677,0.313298885,31.3298885,2525
2,周末,16,16-17,高峰,1032,4288,0.2406716418,24.06716418,3256
2,周末,17,17-18,高峰,893,4899,0.1822820984,18.22820984,4006
2,周末,18,18-19,高峰,787,4613,0.1706048125,17.06048125,3826
2,周末,19,19-20,高峰,678,4226,0.1604353999,16.04353999,3548
2,周末,20,20-21,高峰,533,3837,0.1389106072,13.89106072,3304
2,周末,21,21-22,高峰,414,3248,0.1274630542,12.74630542,2834
2,周末,22,22-23,高峰,311,2855,0.1089316988,10.89316988,2544
2,周末,23,23-00,未分类固定,185,2269,0.08153371529,8.153371529,2084
3,工作日,0,00-01,低谷,64,1619,0.03953057443,3.953057443,1555
3,工作日,1,01-02,低谷,13,1625,0.008,0.8,1612
3,工作日,2,02-03,低谷,19,1637,0.01160659743,1.160659743,1618
3,工作日,3,03-04,低谷,15,1643,0.009129640901,0.9129640901,1628
3,工作日,4,04-05,低谷,13,1658,0.007840772014,0.7840772014,1645
3,工作日,5,05-06,低谷,126,2066,0.0609874153,6.09874153,1940
3,工作日,6,06-07,低谷,310,2879,0.1076762765,10.76762765,2569
3,工作日,7,07-08,平段,652,3587,0.1817674937,18.17674937,2935
3,工作日,8,08-09,平段,537,3598,0.1492495831,14.92495831,3061
3,工作日,9,09-10,平段,466,3215,0.1449455677,14.49455677,2749
3,工作日,10,10-11,平段,482,3229,0.1492722205,14.92722205,2747
3,工作日,11,11-12,高峰,790,3837,0.2058900182,20.58900182,3047
3,工作日,12,12-13,高峰,904,4048,0.2233201581,22.33201581,3144
3,工作日,13,13-14,高峰,734,3856,0.1903526971,19.03526971,3122
3,工作日,14,14-15,平段,616,3569,0.1725973662,17.25973662,2953
3,工作日,15,15-16,平段,555,3278,0.1693105552,16.93105552,2723
3,工作日,16,16-17,高峰,1088,3885,0.2800514801,28.00514801,2797
3,工作日,17,17-18,高峰,1534,4597,0.3336958886,33.36958886,3063
3,工作日,18,18-19,高峰,1389,4216,0.329459203,32.9459203,2827
3,工作日,19,19-20,高峰,1260,3829,0.3290676417,32.90676417,2569
3,工作日,20,20-21,高峰,853,3538,0.2410966648,24.10966648,2685
3,工作日,21,21-22,高峰,558,2847,0.195995785,19.5995785,2289
3,工作日,22,22-23,高峰,375,2553,0.1468860165,14.68860165,2178
3,工作日,23,23-00,未分类固定,133,2066,0.06437560503,6.437560503,1933
3,周末,0,00-01,低谷,122,1619,0.0753551575,7.53551575,1497
3,周末,1,01-02,低谷,69,1625,0.04246153846,4.246153846,1556
3,周末,2,02-03,低谷,2,1637,0.001221747098,0.1221747098,1635
3,周末,3,03-04,低谷,4,1643,0.002434570907,0.2434570907,1639
3,周末,4,04-05,低谷,9,1658,0.005428226779,0.5428226779,1649
3,周末,5,05-06,低谷,53,2066,0.02565343659,2.565343659,2013
3,周末,6,06-07,低谷,170,2879,0.05904828065,5.904828065,2709
3,周末,7,07-08,平段,295,3587,0.08224142738,8.224142738,3292
3,周末,8,08-09,平段,434,3598,0.1206225681,12.06225681,3164
3,周末,9,09-10,平段,529,3215,0.1645412131,16.45412131,2686
3,周末,10,10-11,平段,670,3229,0.2074945804,20.74945804,2559
3,周末,11,11-12,高峰,767,3837,0.1998957519,19.98957519,3070
3,周末,12,12-13,高峰,920,4048,0.2272727273,22.72727273,3128
3,周末,13,13-14,高峰,1008,3856,0.2614107884,26.14107884,2848
3,周末,14,14-15,平段,1159,3569,0.3247408238,32.47408238,2410
3,周末,15,15-16,平段,1004,3278,0.3062843197,30.62843197,2274
3,周末,16,16-17,高峰,920,3885,0.2368082368,23.68082368,2965
3,周末,17,17-18,高峰,772,4597,0.1679356102,16.79356102,3825
3,周末,18,18-19,高峰,652,4216,0.1546489564,15.46489564,3564
3,周末,19,19-20,高峰,554,3829,0.1446852964,14.46852964,3275
3,周末,20,20-21,高峰,435,3538,0.1229508197,12.29508197,3103
3,周末,21,21-22,高峰,291,2847,0.1022128556,10.22128556,2556
3,周末,22,22-23,高峰,227,2553,0.08891500196,8.891500196,2326
3,周末,23,23-00,未分类固定,117,2066,0.05663117135,5.663117135,1949
4,工作日,0,00-01,低谷,189,2218,0.08521190261,8.521190261,2029
4,工作日,1,01-02,低谷,135,2225,0.0606741573,6.06741573,2090
4,工作日,2,02-03,低谷,73,2237,0.03263299061,3.263299061,2164
4,工作日,3,03-04,低谷,61,2249,0.02712316585,2.712316585,2188
4,工作日,4,04-05,低谷,16,2253,0.007101642255,0.7101642255,2237
4,工作日,5,05-06,低谷,307,2869,0.1070059254,10.70059254,2562
4,工作日,6,06-07,低谷,549,3876,0.1416408669,14.16408669,3327
4,工作日,7,07-08,平段,961,4587,0.2095051232,20.95051232,3626
4,工作日,8,08-09,平段,852,4598,0.1852979556,18.52979556,3746
4,工作日,9,09-10,平段,728,4219,0.1725527376,17.25527376,3491
4,工作日,10,10-11,平段,791,4226,0.1871746332,18.71746332,3435
4,工作日,11,11-12,高峰,1159,4835,0.2397104447,23.97104447,3676
4,工作日,12,12-13,高峰,1397,5047,0.2767980979,27.67980979,3650
4,工作日,13,13-14,高峰,1028,4859,0.2115661659,21.15661659,3831
4,工作日,14,14-15,平段,903,4566,0.1977660972,19.77660972,3663
4,工作日,15,15-16,平段,843,4278,0.1970546985,19.70546985,3435
4,工作日,16,16-17,高峰,1561,5089,0.3067400275,30.67400275,3528
4,工作日,17,17-18,高峰,1985,5597,0.3546542791,35.46542791,3612
4,工作日,18,18-19,高峰,1810,5218,0.3468761978,34.68761978,3408
4,工作日,19,19-20,高峰,1627,4825,0.3372020725,33.72020725,3198
4,工作日,20,20-21,高峰,1269,4539,0.2795769993,27.95769993,3270
4,工作日,21,21-22,高峰,787,3847,0.2045749935,20.45749935,3060
4,工作日,22,22-23,高峰,549,3256,0.1686117936,16.86117936,2707
4,工作日,23,23-00,未分类固定,308,2868,0.1073919107,10.73919107,2560
4,周末,0,00-01,低谷,182,2218,0.08205590622,8.205590622,2036
4,周末,1,01-02,低谷,116,2225,0.05213483146,5.213483146,2109
4,周末,2,02-03,低谷,56,2237,0.02503352705,2.503352705,2181
4,周末,3,03-04,低谷,63,2249,0.02801244998,2.801244998,2186
4,周末,4,04-05,低谷,1,2253,0.0004438526409,0.04438526409,2252
4,周末,5,05-06,低谷,185,2869,0.06448239805,6.448239805,2684
4,周末,6,06-07,低谷,357,3876,0.09210526316,9.210526316,3519
4,周末,7,07-08,平段,535,4587,0.1166339656,11.66339656,4052
4,周末,8,08-09,平段,649,4598,0.1411483254,14.11483254,3949
4,周末,9,09-10,平段,788,4219,0.1867741171,18.67741171,3431
4,周末,10,10-11,平段,910,4226,0.2153336488,21.53336488,3316
4,周末,11,11-12,高峰,1029,4835,0.2128231644,21.28231644,3806
4,周末,12,12-13,高峰,1124,5047,0.2227065584,22.27065584,3923
4,周末,13,13-14,高峰,1253,4859,0.2578719901,25.78719901,3606
4,周末,14,14-15,平段,1396,4566,0.305738064,30.5738064,3170
4,周末,15,15-16,平段,1266,4278,0.2959326788,29.59326788,3012
4,周末,16,16-17,高峰,1131,5089,0.2222440558,22.22440558,3958
4,周末,17,17-18,高峰,1027,5597,0.183491156,18.3491156,4570
4,周末,18,18-19,高峰,919,5218,0.1761211192,17.61211192,4299
4,周末,19,19-20,高峰,760,4825,0.1575129534,15.75129534,4065
4,周末,20,20-21,高峰,666,4539,0.1467283543,14.67283543,3873
4,周末,21,21-22,高峰,559,3847,0.1453080322,14.53080322,3288
4,周末,22,22-23,高峰,433,3256,0.132985258,13.2985258,2823
4,周末,23,23-00,未分类固定,306,2868,0.1066945607,10.66945607,2562
5,工作日,0,00-01,低谷,72,1517,0.04746209624,4.746209624,1445
5,工作日,1,01-02,低谷,9,1529,0.005886200131,0.5886200131,1520
5,工作日,2,02-03,低谷,8,1536,0.005208333333,0.5208333333,1528
5,工作日,3,03-04,低谷,14,1548,0.009043927649,0.9043927649,1534
5,工作日,4,04-05,低谷,14,1552,0.009020618557,0.9020618557,1538
5,工作日,5,05-06,低谷,125,1865,0.06702412869,6.702412869,1740
5,工作日,6,06-07,低谷,243,2578,0.09425911559,9.425911559,2335
5,工作日,7,07-08,平段,432,3087,0.139941691,13.9941691,2655
5,工作日,8,08-09,平段,368,3099,0.1187479832,11.87479832,2731
5,工作日,9,09-10,平段,483,2816,0.1715198864,17.15198864,2333
5,工作日,10,10-11,平段,601,2828,0.2125176803,21.25176803,2227
5,工作日,11,11-12,高峰,723,3539,0.2042949986,20.42949986,2816
5,工作日,12,12-13,高峰,845,3847,0.2196516766,21.96516766,3002
5,工作日,13,13-14,高峰,675,3556,0.1898200225,18.98200225,2881
5,工作日,14,14-15,平段,914,3265,0.2799387443,27.99387443,2351
5,工作日,15,15-16,平段,963,3079,0.3127638844,31.27638844,2116
5,工作日,16,16-17,高峰,841,3588,0.2343924192,23.43924192,2747
5,工作日,17,17-18,高峰,1085,4097,0.2648279229,26.48279229,3012
5,工作日,18,18-19,高峰,1514,3816,0.3967505241,39.67505241,2302
5,工作日,19,19-20,高峰,1327,3525,0.3764539007,37.64539007,2198
5,工作日,20,20-21,高峰,969,3038,0.318959842,31.8959842,2069
5,工作日,21,21-22,高峰,615,2549,0.2412710867,24.12710867,1934
5,工作日,22,22-23,高峰,435,2257,0.1927337173,19.27337173,1822
5,工作日,23,23-00,未分类固定,190,1866,0.1018220793,10.18220793,1676
5,周末,0,00-01,低谷,122,1517,0.0804218853,8.04218853,1395
5,周末,1,01-02,低谷,62,1529,0.04054937868,4.054937868,1467
5,周末,2,02-03,低谷,0,1536,0,0,1536
5,周末,3,03-04,低谷,0,1548,0,0,1548
5,周末,4,04-05,低谷,0,1552,0,0,1552
5,周末,5,05-06,低谷,178,1865,0.09544235925,9.544235925,1687
5,周末,6,06-07,低谷,295,2578,0.1144297905,11.44297905,2283
5,周末,7,07-08,平段,478,3087,0.1548428895,15.48428895,2609
5,周末,8,08-09,平段,722,3099,0.2329783801,23.29783801,2377
5,周末,9,09-10,平段,1087,2816,0.3860085227,38.60085227,1729
5,周末,10,10-11,平段,1487,2828,0.5258132956,52.58132956,1341
5,周末,11,11-12,高峰,1694,3539,0.4786662899,47.86662899,1845
5,周末,12,12-13,高峰,1808,3847,0.4699766051,46.99766051,2039
5,周末,13,13-14,高峰,1725,3556,0.485095613,48.5095613,1831
5,周末,14,14-15,平段,1616,3265,0.4949464012,49.49464012,1649
5,周末,15,15-16,平段,1490,3079,0.4839233517,48.39233517,1589
5,周末,16,16-17,高峰,1331,3588,0.3709587514,37.09587514,2257
5,周末,17,17-18,高峰,1187,4097,0.2897241884,28.97241884,2910
5,周末,18,18-19,高峰,1093,3816,0.2864255765,28.64255765,2723
5,周末,19,19-20,高峰,910,3525,0.2581560284,25.81560284,2615
5,周末,20,20-21,高峰,728,3038,0.2396313364,23.96313364,2310
5,周末,21,21-22,高峰,551,2549,0.2161632013,21.61632013,1998
5,周末,22,22-23,高峰,365,2257,0.1617190961,16.17190961,1892
5,周末,23,23-00,未分类固定,176,1866,0.09431939979,9.431939979,1690
6,工作日,0,00-01,低谷,133,1915,0.06945169713,6.945169713,1782
6,工作日,1,01-02,低谷,79,1928,0.04097510373,4.097510373,1849
6,工作日,2,02-03,低谷,67,1936,0.03460743802,3.460743802,1869
6,工作日,3,03-04,低谷,12,1949,0.006157003592,0.6157003592,1937
6,工作日,4,04-05,低谷,64,1957,0.03270311702,3.270311702,1893
6,工作日,5,05-06,低谷,245,2469,0.09923045768,9.923045768,2224
6,工作日,6,06-07,低谷,487,3478,0.1400230017,14.00230017,2991
6,工作日,7,07-08,平段,856,4085,0.2095471236,20.95471236,3229
6,工作日,8,08-09,平段,793,4097,0.1935562607,19.35562607,3304
