区域,日期类型,高峰负荷总量_kWh,规定转移量_M_kWh,低谷可接纳能力_B_kWh,接纳能力比_B除M,是否可完成20%转移,实际转移比例_raw,实际转移比例_pct
1,工作日,13229,2645.8,15227,5.75515912,True,0.2,20
1,周末,8315,1663,15371,9.242934456,True,0.2,20
2,工作日,12224,2444.8,13734,5.617637435,True,0.2,20
2,周末,7705,1541,14097,9.147955873,True,0.2,20
3,工作日,9485,1897,12567,6.624670532,True,0.2,20
3,周末,6546,1309.2,12698,9.699052857,True,0.2,20
4,工作日,13172,2634.4,16597,6.300106286,True,0.2,20
4,周末,8901,1780.2,16967,9.530951578,True,0.2,20
5,工作日,9029,1805.8,11640,6.445896556,True,0.2,20
5,周末,11392,2278.4,11468,5.033356742,True,0.2,20
6,工作日,12319,2463.8,14545,5.903482426,True,0.2,20
6,周末,7708,1541.6,14984,9.719771666,True,0.2,20
7,工作日,4659,931.8,9457,10.14917364,True,0.2,20
7,周末,4243,848.6,9477,11.1678058,True,0.2,20
8,工作日,5509,1101.8,12741,11.56380468,True,0.2,20
8,周末,3243,648.6,12949,19.96453901,True,0.2,20
9,工作日,7822,1564.4,7951,5.082459729,True,0.2,20
9,周末,12981,2596.2,7316,2.817964718,True,0.2,20
10,工作日,6097,1219.4,10454,8.573068722,True,0.2,20
10,周末,4891,978.2,10609,10.84543038,True,0.2,20
