区域,日期类型,z_00_01_kW,z_01_02_kW,z_02_03_kW,z_03_04_kW,z_04_05_kW,z_05_06_kW,z_06_07_kW,分配总量_kWh,规定转移量_M_kWh,转移闭合误差,第一阶段求解器,第二阶段求解器,是否补算
1,工作日,394.1084502,446.1145342,450.1131377,502.1131377,497.1120676,334.1246488,22.11402373,2645.8,2645.8,9.999894246e-10,HiGHS,SLSQP,False
1,周末,171.1412804,231.1501331,303.1412804,293.1412804,358.1412804,237.1412804,69.14346478,1663,1663,9.999894246e-10,HiGHS,SLSQP,False
2,工作日,351.8287485,418.8310218,472.8307858,475.8287485,427.8263638,245.8300638,51.82426772,2444.8,2444.8,0,HiGHS,SLSQP,False
2,周末,183.8571424,244.8571423,245.8571423,306.8571423,300.8571423,194.8571424,63.85714588,1541,1541,0,HiGHS,CVXPY/CLARABEL,True
3,工作日,286.9993372,338.0001823,331.9994616,335.9995436,338.0015114,224.9998802,41.00008373,1897,1897,9.999894246e-10,HiGHS,SLSQP,False
3,周末,126.3134658,179.3142364,246.3154871,244.3154719,239.3140928,195.3121813,78.31506474,1309.2,1309.2,0,HiGHS,SLSQP,False
4,工作日,377.3448997,431.3420696,493.3448997,505.3448997,550.3448997,259.3364834,17.34184821,2634.4,2634.4,1.999978849e-09,HiGHS,SLSQP,False
4,周末,209.4544984,275.4564743,335.4611949,328.4613041,390.4551748,206.4553927,34.45596084,1780.2,1780.2,0,HiGHS,SLSQP,False
5,工作日,255.2571427,318.2571427,319.2571427,313.2571427,313.2571427,202.2571428,84.25714388,1805.8,1805.8,0,HiGHS,CVXPY/CLARABEL,True
5,周末,297.3453056,357.3453056,419.3436323,419.3387461,419.342525,241.3487581,124.3357273,2278.4,2278.4,0,HiGHS,SLSQP,False
6,工作日,374.2555444,428.2554935,440.2574962,495.2546502,443.2573011,262.2612318,20.25828282,2463.8,2463.8,9.999894246e-10,HiGHS,SLSQP,False
6,周末,191.8004982,257.8034389,250.8004982,312.8004982,312.8004982,199.8004982,15.79406989,1541.6,1541.6,2.000206223e-09,HiGHS,SLSQP,False
7,工作日,124.3999991,173.3999991,178.3999991,175.3999991,175.3999991,78.39999936,26.40000527,931.8,931.8,1.136868377e-13,HiGHS,CVXPY/CLARABEL,True
7,周末,111.9282845,170.933954,170.9377576,170.9341532,170.9357815,52.93006927,0,848.6,848.6,0,HiGHS,SLSQP,False
8,工作日,186.2999983,196.2999983,195.2999983,195.2999983,185.2999984,143.2999985,9.80376473e-06,1101.8,1101.8,0,HiGHS,CVXPY/CLARABEL,True
8,周末,117.4329052,117.4329052,117.434273,117.4331139,117.4331139,61.43368875,0,648.6,648.6,9.999894246e-10,HiGHS,SLSQP,False
9,工作日,221.7719953,260.769133,269.7739484,268.7738859,261.7693637,172.7726038,108.7690699,1564.4,1564.4,2.273736754e-13,HiGHS,SLSQP,False
9,周末,337.8916109,397.8819336,457.8916109,515.877944,515.881401,273.8796652,96.89583435,2596.2,2596.2,9.995346772e-10,HiGHS,SLSQP,False
10,工作日,188.2325173,256.2345194,204.2326246,244.234031,246.234031,80.23227685,0,1219.4,1219.4,9.999894246e-10,HiGHS,SLSQP,False
10,周末,95.69999775,154.6999977,210.6999977,210.6999977,210.6999977,95.6999979,1.365917254e-05,978.2,978.2,1.136868377e-13,HiGHS,CVXPY/CLARABEL,True
