区域,日期类型,调度前峰谷差_kW,调度后峰谷差_kW,峰谷差改善率_raw,峰谷差改善率_pct,调度前最大负荷_kW,调度后最大负荷_kW,最大负荷削减率_raw,最大负荷削减率_pct,调度前方差,调度后方差,方差改善率_raw,方差改善率_pct,调度后最大负荷率_raw,调度后最大负荷率_pct,最小安全裕度_kW,2100kW风险小时数,第二阶段求解器,第二阶段状态,是否补算
1,工作日,2202,1521.8,0.3089009991,30.89009991,2221,1776.8,0.2,20,371711.8542,136030.5846,0.6340429203,63.40429203,0.3519112696,35.19112696,1495.89155,0,SLSQP,,False
1,周末,1302,1068,0.1797235023,17.97235023,1304,1304,0,0,165237.9167,82518.10429,0.5006103566,50.06103566,0.3247820672,32.47820672,1656.85872,0,SLSQP,,False
2,工作日,2063,1465.4,0.2896752302,28.96752302,2078,1662.4,0.2,20,319456.0399,118952.5652,0.6276402688,62.76402688,0.3393345581,33.93345581,1325.171251,0,SLSQP,,False
2,周末,1277,1095,0.1425215348,14.25215348,1280,1280,0,0,159596.3889,83938.01317,0.4740606992,47.40606992,0.3311772316,33.11772316,1506.142858,0,CVXPY/CLARABEL,optimal,True
3,工作日,1521,1094.2,0.2806048652,28.06048652,1534,1227.2,0.2,20,192525.0764,70381.50306,0.6344294241,63.44294241,0.2669567109,26.69567109,1268.000663,0,SLSQP,,False
3,周末,1157,1042,0.09939498704,9.939498704,1159,1159,0,0,131680.9566,73262.28041,0.4436379998,44.36379998,0.3247408238,32.47408238,1370.686534,0,SLSQP,,False
4,工作日,1969,1280,0.3499238192,34.99238192,1985,1588,0.2,20,316140.4722,102825.2565,0.6747482036,67.47482036,0.2837234233,28.37234233,1651.6551,0,SLSQP,,False
4,周末,1395,1090,0.2186379928,21.86379928,1396,1396,0,0,180167.8177,87012.05866,0.5170499384,51.70499384,0.305738064,30.5738064,1826.545502,0,SLSQP,,False
5,工作日,1506,1021.2,0.3219123506,32.19123506,1514,1211.2,0.2,20,182408.0399,73248.62755,0.5984353125,59.84353125,0.3174004193,31.74004193,1189.742857,0,CVXPY/CLARABEL,optimal,True
5,周末,1808,1440,0.203539823,20.3539823,1808,1616,0.1061946903,10.61946903,384096.3733,200395.7476,0.4782670145,47.82670145,0.5258132956,52.58132956,1097.654694,0,SLSQP,,False
6,工作日,1750,1168.6,0.3322285714,33.22285714,1762,1409.6,0.2,20,285306.4722,94816.62651,0.6676674533,66.76674533,0.2925088193,29.25088193,1407.744456,0,SLSQP,,False
6,周末,1267,1094,0.136543015,13.6543015,1267,1267,0,0,159257.6875,82969.0775,0.4790262322,47.90262322,0.3113787171,31.13787171,1602.199502,0,SLSQP,,False
7,工作日,719,504.6,0.2981919332,29.81919332,727,581.6,0.2,20,42500.9375,14841.97417,0.6507847817,65.07847817,0.166142793,16.6142793,1032.600001,0,CVXPY/CLARABEL,optimal,True
7,周末,894,729,0.1845637584,18.45637584,894,729,0.1845637584,18.45637584,86149.80556,52363.11334,0.3921853567,39.21853567,0.3030983386,30.30983386,1048.071715,0,SLSQP,,False
8,工作日,980,725,0.2602040816,26.02040816,992,794,0.1995967742,19.95967742,86016.88889,43726.16308,0.491656073,49.1656073,0.2631753397,26.31753397,1409.700002,0,CVXPY/CLARABEL,optimal,True
8,周末,611,611,0,0,611,611,0,0,38455.65104,22528.93632,0.4141579791,41.41579791,0.2017167382,20.17167382,1500.567095,0,SLSQP,,False
9,工作日,1210,838.4,0.307107438,30.7107438,1218,974.4,0.2,20,140861.2431,60142.51496,0.5730371701,57.30371701,0.3987703118,39.87703118,739.2280047,0,SLSQP,,False
9,周末,2285,1853,0.189059081,18.9059081,2285,2038,0.1080962801,10.80962801,588366.901,334897.7615,0.4308011533,43.08011533,0.9447459299,94.47459299,112,0,SLSQP,,False
10,工作日,899,603.4,0.3288097887,32.88097887,908,726.4,0.2,20,66223.78993,21126.82854,0.6809782623,68.09782623,0.1973111902,19.73111902,1150.767483,0,SLSQP,,False
10,周末,952,717,0.2468487395,24.68487395,952,772,0.1890756303,18.90756303,91254.53993,52378.31746,0.4260195986,42.60195986,0.2831158561,28.31158561,1205.300002,0,CVXPY/CLARABEL,optimal,True
