区域,日期类型,第一阶段状态,第一阶段最优峰谷差_delta_star_kW,第二阶段求解器,第二阶段状态,是否补算,epsilon_delta,最终峰谷差_kW,峰谷差保持误差,调度前全天总量_kWh,调度后全天总量_kWh,电量守恒误差,转移闭合误差,最大容量约束左端值_kW,最小安全裕度_kW,全部核验通过
1,工作日,Optimal,1521.8,SLSQP,,False,1e-06,1521.8,2.273736754e-13,19206,19206,1.000444172e-09,9.999894246e-10,-1495.89155,1495.89155,True
1,周末,Optimal,1068,SLSQP,,False,1e-06,1068,0,14580,14580,1.000444172e-09,9.999894246e-10,-1656.85872,1656.85872,True
2,工作日,Optimal,1465.4,SLSQP,,False,1e-06,1465.4,0,17767,17767,0,0,-1325.171251,1325.171251,True
2,周末,Optimal,1095,CVXPY/CLARABEL,optimal,True,1e-06,1095,0,13348,13348,0,0,-1506.142858,1506.142858,True
3,工作日,Optimal,1094.2,SLSQP,,False,1e-06,1094.2,0,13486,13486,1.000444172e-09,9.999894246e-10,-1268.000663,1268.000663,True
3,周末,Optimal,1042,SLSQP,,False,1e-06,1042,0,11183,11183,0,0,-1370.686534,1370.686534,True
4,工作日,Optimal,1280,SLSQP,,False,1e-06,1280,0,19888,19888,2.000888344e-09,1.999978849e-09,-1651.6551,1651.6551,True
4,周末,Optimal,1090,SLSQP,,False,1e-06,1090,0,15711,15711,0,2.273736754e-13,-1826.545502,1826.545502,True
5,工作日,Optimal,1021.2,CVXPY/CLARABEL,optimal,True,1e-06,1021.2,0,13465,13465,0,2.273736754e-13,-1189.742857,1189.742857,True
5,周末,Optimal,1440,SLSQP,,False,1e-06,1440,0,19105,19105,0,4.547473509e-13,-1097.654694,1097.654694,True
6,工作日,Optimal,1168.6,SLSQP,,False,1e-06,1168.6,2.273736754e-13,18376,18376,1.000444172e-09,9.999894246e-10,-1407.744456,1407.744456,True
6,周末,Optimal,1094,SLSQP,,False,1e-06,1094,0,13350,13350,1.999069354e-09,2.000206223e-09,-1602.199502,1602.199502,True
7,工作日,Optimal,504.6,CVXPY/CLARABEL,optimal,True,1e-06,504.6,0,7038,7038,9.094947018e-13,0,-1032.600001,1032.600001,True
7,周末,Optimal,729,SLSQP,,False,1e-06,729,0,7864,7864,0,0,-1048.071715,1048.071715,True
8,工作日,Optimal,725,CVXPY/CLARABEL,optimal,True,1e-06,725,0,9524,9524,0,2.273736754e-13,-1409.700002,1409.700002,True
8,周末,Optimal,611,SLSQP,,False,1e-06,611,0,5775,5775,1.000444172e-09,9.999894246e-10,-1500.567095,1500.567095,True
9,工作日,Optimal,838.4,SLSQP,,False,1e-06,838.4,1.136868377e-13,11642,11642,0,2.273736754e-13,-739.2280047,739.2280047,True
9,周末,Optimal,1853,SLSQP,,False,1e-06,1853,0,23241,23241,1.004082151e-09,9.995346772e-10,-112,112,True
10,工作日,Optimal,603.4,SLSQP,,False,1e-06,603.4,1.136868377e-13,9529,9529,1.000444172e-09,9.999894246e-10,-1150.767483,1150.767483,True
10,周末,Optimal,717,CVXPY/CLARABEL,optimal,True,1e-06,717,0,9065,9065,0,1.136868377e-13,-1205.300002,1205.300002,True
