区域,日期类型,调度前峰谷差_kW,调度后峰谷差_kW,峰谷差改善率_Rdelta,调度前最大负荷_kW,调度后最大负荷_kW,最大负荷削减率_Rmax,调度前方差,调度后方差,方差改善率_Rsigma,调度后最大负荷率,最小安全裕度_kW,stage2_solver,stage2_status,is_supplemented
1,工作日,2202.0,1521.8000000000002,30.89009990917347,2221.0,1776.8000000000002,19.999999999999993,371711.8541666667,136030.58464909435,63.40429202774322,0.4559404670259174,894.8915497820001,SLSQP,,False
1,周末,1302.0,1068.0,17.972350230414747,1304.0,1304.0,0.0,165237.91666666666,82518.104288474,50.06103565506868,0.3346163715678727,1055.858719569,SLSQP,,False
2,工作日,2063.0,1465.4,28.967523024721274,2078.0,1662.4,19.999999999999996,319456.03993055556,118952.56517017551,62.764026876425994,0.4265845522196562,925.171251474,SLSQP,,False
2,周末,1277.0,1095.0,14.252153484729835,1280.0,1280.0,0.0,159596.3888888889,83938.01317460318,47.406069924902326,0.32845778804208364,1106.142857616282,CVXPY/CLARABEL,optimal,True
3,工作日,1521.0,1094.2,28.06048652202498,1534.0,1227.2,20.0,192525.07638888888,70381.5030556745,63.442942407404544,0.31490890428534773,1065.000662813,SLSQP,,False
3,周末,1157.0,1042.0,9.939498703543649,1159.0,1159.0,0.0,131680.95659722225,73262.28040710428,44.363799975121296,0.29740826276623045,1167.686534172,SLSQP,,False
4,工作日,1969.0,1280.0,34.99238191975622,1985.0,1588.0,20.0,316140.47222222225,102825.2565103491,67.47482035831499,0.40749294328971003,849.655100291,SLSQP,,False
4,周末,1395.0,1090.0,21.863799283154123,1396.0,1396.0,0.0,180167.81770833334,87012.05866277716,51.704993838778925,0.3582242750833975,1024.545501634,SLSQP,,False
5,工作日,1506.0,1021.2,32.191235059760956,1514.0,1211.2,20.0,182408.03993055553,73248.62754960317,59.84353125142421,0.31080318193482165,1088.7428573211364,CVXPY/CLARABEL,optimal,True
5,周末,1808.0,1440.0,20.353982300884958,1808.0,1616.0,10.619469026548673,384096.3732638888,200395.7475544056,47.82670144695012,0.4146779574031306,996.6546943579999,SLSQP,,False
6,工作日,1750.0,1168.6000000000001,33.22285714285714,1762.0,1409.6000000000001,19.999999999999993,285306.47222222225,94816.6265091938,66.76674532804074,0.36171413908134464,908.744455647,SLSQP,,False
6,周末,1267.0,1094.0,13.654301499605367,1267.0,1267.0,0.0,159257.6875,82969.07750205032,47.90262322372958,0.32512188863228125,1103.1995017670001,SLSQP,,False
7,工作日,719.0,504.6,29.819193324061192,727.0,581.6,19.999999999999996,42500.9375,14841.974166666667,65.07847817082467,0.14924300744162178,1229.6000008985613,CVXPY/CLARABEL,optimal,True
7,周末,894.0,729.0,18.456375838926174,894.0,729.0,18.456375838926174,86149.80555555555,52363.11333594873,39.21853566787071,0.18706697459584296,1245.071715483,SLSQP,,False
8,工作日,980.0,725.0,26.02040816326531,992.0,794.0,19.959677419354836,86016.88888888889,43726.163082270825,49.16560730445217,0.20374647164485502,1207.7000016512097,CVXPY/CLARABEL,optimal,True
8,周末,611.0,611.0,0.0,611.0,611.0,0.0,38455.651041666664,22528.936319495522,41.41579791462784,0.15678727226071337,1298.567094774,SLSQP,,False
9,工作日,1210.0,838.4000000000001,30.710743801652885,1218.0,974.4000000000001,19.999999999999993,140861.24305555553,60142.514961533605,57.30371700765593,0.2500384911470362,1138.22800473,SLSQP,,False
9,周末,2285.0,1853.0,18.90590809628009,2285.0,2038.0,10.809628008752735,588366.9010416666,334897.76153039536,43.08011532642643,0.522966384398255,614.0,SLSQP,,False
10,工作日,899.0,603.4000000000001,32.88097886540599,908.0,726.4000000000001,19.99999999999999,66223.78993055556,21126.82854185004,68.09782622830205,0.1863997947138825,1150.767482699,SLSQP,,False
10,周末,952.0,717.0,24.68487394957983,952.0,772.0,18.907563025210084,91254.53993055556,52378.31745935365,42.60195985951668,0.1981011034128817,1205.3000022463166,CVXPY/CLARABEL,optimal,True
