区域,年份,增长系数,预测日均车次需求,静态快充总数,静态慢充总数,静态服务能力,服务保障率_raw,服务保障率_pct,服务缺口_车次日,服务风险等级,首次服务不足年份
1,2026,1.15,1101.371429,144,96,13440,12.20296773,1220.296773,0,服务安全,无
1,2027,1.3225,1266.577143,144,96,13440,10.61127629,1061.127629,0,服务安全,无
1,2028,1.520875,1456.563714,144,96,13440,9.22719677,922.719677,0,服务安全,无
2,2026,1.15,1133.735714,144,95,13420,11.83697385,1183.697385,0,服务安全,无
2,2027,1.3225,1303.796071,144,95,13420,10.29302074,1029.302074,0,服务安全,无
2,2028,1.520875,1499.365482,144,95,13420,8.950452815,895.0452815,0,服务安全,无
3,2026,1.15,991.9571429,109,72,10160,10.24237798,1024.237798,0,服务安全,无
3,2027,1.3225,1140.750714,109,72,10160,8.906415637,890.6415637,0,服务安全,无
3,2028,1.520875,1311.863321,109,72,10160,7.74470925,774.470925,0,服务安全,无
4,2026,1.15,1559.235714,198,131,18460,11.83913364,1183.913364,0,服务安全,无
4,2027,1.3225,1793.121071,198,131,18460,10.29489882,1029.489882,0,服务安全,无
4,2028,1.520875,2062.089232,198,131,18460,8.952085929,895.2085929,0,服务安全,无
5,2026,1.15,1244.957143,172,113,16020,12.86791284,1286.791284,0,服务安全,无
5,2027,1.3225,1431.700714,172,113,16020,11.18948942,1118.948942,0,服务安全,无
5,2028,1.520875,1646.455821,172,113,16020,9.729990803,972.9990803,0,服务安全,无
6,2026,1.15,1156.571429,124,81,11540,9.977766798,997.7766798,0,服务安全,无
6,2027,1.3225,1330.057143,124,81,11540,8.676318955,867.6318955,0,服务安全,无
6,2028,1.520875,1529.565714,124,81,11540,7.544625178,754.4625178,0,服务安全,无
7,2026,1.15,692.7928571,162,108,15120,21.82470539,2182.470539,0,服务安全,无
7,2027,1.3225,796.7117857,162,108,15120,18.97800468,1897.800468,0,服务安全,无
7,2028,1.520875,916.2185536,162,108,15120,16.50261277,1650.261277,0,服务安全,无
8,2026,1.15,1071.307143,153,101,14260,13.3108419,1331.08419,0,服务安全,无
8,2027,1.3225,1232.003214,153,101,14260,11.57464513,1157.464513,0,服务安全,无
8,2028,1.520875,1416.803696,153,101,14260,10.06490881,1006.490881,0,服务安全,无
9,2026,1.15,1324.635714,177,118,16520,12.47135331,1247.135331,0,服务安全,无
9,2027,1.3225,1523.331071,177,118,16520,10.84465505,1084.465505,0,服务安全,无
9,2028,1.520875,1751.830732,177,118,16520,9.430134828,943.0134828,0,服务安全,无
10,2026,1.15,847.2214286,74,48,6880,8.120663345,812.0663345,0,服务安全,无
10,2027,1.3225,974.3046429,74,48,6880,7.061446387,706.1446387,0,服务安全,无
10,2028,1.520875,1120.450339,74,48,6880,6.140388162,614.0388162,0,服务安全,无
