方案,区域,年份,当年新增快充,当年新增慢充,当年新增总数,当年新增成本_万元,累计快充,累计慢充,累计服务能力,当年预测需求,服务保障率_raw,服务保障率_pct,地理覆盖率_raw,地理覆盖率_pct,是否满足服务约束
R-Base,1,2026,15,10,25,98,144,96,13440,1101.371429,12.20296773,1220.296773,0.9015110921,90.15110921,是
R-Base,1,2027,0,0,0,0,144,96,13440,1266.577143,10.61127629,1061.127629,0.9015110921,90.15110921,是
R-Base,1,2028,0,0,0,0,144,96,13440,1456.563714,9.22719677,922.719677,0.9015110921,90.15110921,是
R-Base,2,2026,25,16,41,162.8,144,95,13420,1133.735714,11.83697385,1183.697385,0.9402445508,94.02445508,是
R-Base,2,2027,0,0,0,0,144,95,13420,1303.796071,10.29302074,1029.302074,0.9402445508,94.02445508,是
R-Base,2,2028,0,0,0,0,144,95,13420,1499.365482,8.950452815,895.0452815,0.9402445508,94.02445508,是
R-Base,3,2026,10,6,16,64.8,109,72,10160,991.9571429,10.24237798,1024.237798,0.9027276167,90.27276167,是
R-Base,3,2027,0,0,0,0,109,72,10160,1140.750714,8.906415637,890.6415637,0.9027276167,90.27276167,是
R-Base,3,2028,0,0,0,0,109,72,10160,1311.863321,7.74470925,774.470925,0.9027276167,90.27276167,是
R-Base,4,2026,89,58,147,580.4,198,131,18460,1559.235714,11.83913364,1183.913364,0.9037640383,90.37640383,是
R-Base,4,2027,0,0,0,0,198,131,18460,1793.121071,10.29489882,1029.489882,0.9037640383,90.37640383,是
R-Base,4,2028,0,0,0,0,198,131,18460,2062.089232,8.952085929,895.2085929,0.9037640383,90.37640383,是
R-Base,5,2026,96,63,159,626.4,172,113,16020,1244.957143,12.86791284,1286.791284,0.9160573093,91.60573093,是
R-Base,5,2027,0,0,0,0,172,113,16020,1431.700714,11.18948942,1118.948942,0.9160573093,91.60573093,是
R-Base,5,2028,0,0,0,0,172,113,16020,1646.455821,9.729990803,972.9990803,0.9160573093,91.60573093,是
R-Base,6,2026,29,18,47,188.4,124,81,11540,1156.571429,9.977766798,997.7766798,0.9046429655,90.46429655,是
R-Base,6,2027,0,0,0,0,124,81,11540,1330.057143,8.676318955,867.6318955,0.9046429655,90.46429655,是
R-Base,6,2028,0,0,0,0,124,81,11540,1529.565714,7.544625178,754.4625178,0.9046429655,90.46429655,是
R-Base,7,2026,117,78,195,764.4,162,108,15120,692.7928571,21.82470539,2182.470539,0.9013512547,90.13512547,是
R-Base,7,2027,0,0,0,0,162,108,15120,796.7117857,18.97800468,1897.800468,0.9013512547,90.13512547,是
R-Base,7,2028,0,0,0,0,162,108,15120,916.2185536,16.50261277,1650.261277,0.9013512547,90.13512547,是
R-Base,8,2026,94,62,156,613.6,153,101,14260,1071.307143,13.3108419,1331.08419,0.906840577,90.6840577,是
R-Base,8,2027,0,0,0,0,153,101,14260,1232.003214,11.57464513,1157.464513,0.906840577,90.6840577,是
R-Base,8,2028,0,0,0,0,153,101,14260,1416.803696,10.06490881,1006.490881,0.906840577,90.6840577,是
