区域,年份,服务风险等级,调度后电网风险等级,是否需补桩,新增快充,新增慢充,是否需强化TOU,是否需逐时复核,建议优先级,建议文本
1,2026,服务安全,安全,否,15,10,否,否,低,常规监测，暂不新增
1,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
1,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
2,2026,服务安全,安全,否,25,16,否,否,低,常规监测，暂不新增
2,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
2,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
3,2026,服务安全,安全,否,10,6,否,否,低,常规监测，暂不新增
3,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
3,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
4,2026,服务安全,安全,否,89,58,否,否,低,常规监测，暂不新增
4,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
4,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
5,2026,服务安全,安全,否,96,63,否,否,低,常规监测，暂不新增
5,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
5,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
6,2026,服务安全,安全,否,29,18,否,否,低,常规监测，暂不新增
6,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
6,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
7,2026,服务安全,安全,否,117,78,否,否,低,常规监测，暂不新增
7,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
7,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
8,2026,服务安全,安全,否,94,62,否,否,低,常规监测，暂不新增
8,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
8,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
9,2026,服务安全,过载风险,否,138,92,否,是,高,先做逐时复核；建议配网增容、提高需求响应比例
9,2027,服务安全,过载风险,否,0,0,否,是,高,先做逐时复核；建议配网增容、提高需求响应比例
9,2028,服务安全,过载风险,否,0,0,否,是,高,先做逐时复核；建议配网增容、提高需求响应比例
10,2026,服务安全,安全,否,21,13,否,否,低,常规监测，暂不新增
10,2027,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
10,2028,服务安全,安全,否,0,0,否,否,低,常规监测，暂不新增
