区域,工作日全天负荷_kWh,周末全天负荷_kWh,综合日均负荷_kWh,全市占比_raw,全市占比_pct,综合日均负荷排名,归一化极差,周末相对工作日差异率_pct,日期类型,2025基准需求_kWh_day,2026保守10%_kWh_day,2026基准15%_kWh_day,2026乐观20%_kWh_day
1,19206,14580,17884.28571,0.1295896999,12.95896999,2,2.467481428,-24.08622306,工作日主导型,17884.28571,19672.71429,20566.92857,21461.14286
2,17767,13348,16504.42857,0.1195912423,11.95912423,4,2.512572383,-24.87195362,工作日主导型,16504.42857,18154.87143,18980.09286,19805.31429
3,13486,11183,12828.0,0.09295180679,9.295180679,7,2.440465054,-17.07696871,均衡型,12828.0,14110.8,14752.2,15393.6
4,19888,15711,18694.57143,0.1354610377,13.54610377,1,2.181901545,-21.00261464,工作日主导型,18694.57143,20564.02857,21498.75714,22433.48571
5,13465,19105,15076.42857,0.109243941,10.9243941,5,2.209541858,41.88637208,周末主导型,15076.42857,16584.07143,17337.89286,18091.71429
6,18376,13350,16940.0,0.1227473969,12.27473969,3,2.117456569,-27.35089247,工作日主导型,16940.0,18634.0,19481.0,20328.0
7,7038,7864,7274.0,0.05270747136,5.270747136,10,2.131898346,11.73628872,均衡型,7274.0,8001.4,8365.1,8728.8
8,9524,5775,8452.857143,0.06124948113,6.124948113,9,2.282778435,-39.36371273,工作日主导型,8452.857143,9298.142857,9720.785714,10143.42857
9,11642,23241,14956.0,0.1083713145,10.83713145,6,1.940549421,99.63064766,周末主导型,14956.0,16451.6,17199.4,17947.2
10,9529,9065,9396.428571,0.06808660844,6.808660844,8,2.002827822,-4.869346206,均衡型,9396.428571,10336.07143,10805.89286,11275.71429
