区域,年份,增长系数_x,预测日均车次需求,静态快充总数,静态慢充总数,静态服务能力,服务保障率_raw,服务保障率_pct,服务缺口_车次日,服务风险等级,首次服务不足年份,增长系数_y,基期原始最大负荷率_raw,基期原始最大负荷率_pct,原始峰时风险率_raw,原始峰时风险率_pct,原始风险等级,基期调度后最大负荷率_raw,基期调度后最大负荷率_pct,调度后峰时风险率_raw,调度后峰时风险率_pct,调度后风险等级,TOU缓解量_raw,TOU缓解量_pct,调度后容量裕度_raw,调度后容量裕度_pct,首次原始预警年,首次原始过载年,首次调度后预警年,首次调度后过载年,是否需补桩,建议优先级,建议文本
1,2026,1.15,1101.371429,144,96,13440,12.20296773,1220.296773,0,服务安全,无,1.15,0.4398890869,43.98890869,0.5058724499,50.58724499,安全,0.3519112696,35.19112696,0.40469796,40.469796,安全,0.1011744899,10.11744899,0.59530204,59.530204,无,无,无,无,否,低,常规监测，暂不新增
1,2027,1.3225,1266.577143,144,96,13440,10.61127629,1061.127629,0,服务安全,无,1.3225,0.4398890869,43.98890869,0.5817533174,58.17533174,安全,0.3519112696,35.19112696,0.465402654,46.5402654,安全,0.1163506634,11.63506634,0.534597346,53.4597346,无,无,无,无,否,低,常规监测，暂不新增
1,2028,1.520875,1456.563714,144,96,13440,9.22719677,922.719677,0,服务安全,无,1.520875,0.4398890869,43.98890869,0.669016315,66.9016315,安全,0.3519112696,35.19112696,0.5352130522,53.52130522,安全,0.1338032629,13.38032629,0.4647869478,46.47869478,无,无,无,无,否,低,常规监测，暂不新增
2,2026,1.15,1133.735714,144,95,13420,11.83697385,1183.697385,0,服务安全,无,1.15,0.4241681976,42.41681976,0.4877934272,48.77934272,安全,0.3393345581,33.93345581,0.3902347418,39.02347418,安全,0.09755868542,9.755868542,0.6097652582,60.97652582,无,无,无,无,否,低,常规监测，暂不新增
2,2027,1.3225,1303.796071,144,95,13420,10.29302074,1029.302074,0,服务安全,无,1.3225,0.4241681976,42.41681976,0.5609624413,56.09624413,安全,0.3393345581,33.93345581,0.4487699531,44.87699531,安全,0.1121924882,11.21924882,0.5512300469,55.12300469,无,无,无,无,否,低,常规监测，暂不新增
2,2028,1.520875,1499.365482,144,95,13420,8.950452815,895.0452815,0,服务安全,无,1.520875,0.4241681976,42.41681976,0.6451068075,64.51068075,安全,0.3393345581,33.93345581,0.5160854461,51.60854461,安全,0.1290213615,12.90213615,0.4839145539,48.39145539,无,无,无,无,否,低,常规监测，暂不新增
3,2026,1.15,991.9571429,109,72,10160,10.24237798,1024.237798,0,服务安全,无,1.15,0.3336958886,33.36958886,0.3837502719,38.37502719,安全,0.3247408238,32.47408238,0.3734519474,37.34519474,安全,0.01029832452,1.029832452,0.6265480526,62.65480526,无,无,无,无,否,低,常规监测，暂不新增
3,2027,1.3225,1140.750714,109,72,10160,8.906415637,890.6415637,0,服务安全,无,1.3225,0.3336958886,33.36958886,0.4413128127,44.13128127,安全,0.3247408238,32.47408238,0.4294697395,42.94697395,安全,0.0118430732,1.18430732,0.5705302605,57.05302605,无,无,无,无,否,低,常规监测，暂不新增
3,2028,1.520875,1311.863321,109,72,10160,7.74470925,774.470925,0,服务安全,无,1.520875,0.3336958886,33.36958886,0.5075097346,50.75097346,安全,0.3247408238,32.47408238,0.4938902004,49.38902004,安全,0.01361953418,1.361953418,0.5061097996,50.61097996,无,无,无,无,否,低,常规监测，暂不新增
4,2026,1.15,1559.235714,198,131,18460,11.83913364,1183.913364,0,服务安全,无,1.15,0.3546542791,35.46542791,0.407852421,40.7852421,安全,0.305738064,30.5738064,0.3515987736,35.15987736,安全,0.05625364737,5.625364737,0.6484012264,64.84012264,无,无,无,无,否,低,常规监测，暂不新增
4,2027,1.3225,1793.121071,198,131,18460,10.29489882,1029.489882,0,服务安全,无,1.3225,0.3546542791,35.46542791,0.4690302841,46.90302841,安全,0.305738064,30.5738064,0.4043385896,40.43385896,安全,0.06469169447,6.469169447,0.5956614104,59.56614104,无,无,无,无,否,低,常规监测，暂不新增
4,2028,1.520875,2062.089232,198,131,18460,8.952085929,895.2085929,0,服务安全,无,1.520875,0.3546542791,35.46542791,0.5393848267,53.93848267,安全,0.305738064,30.5738064,0.4649893781,46.49893781,安全,0.07439544864,7.439544864,0.5350106219,53.50106219,无,无,无,无,否,低,常规监测，暂不新增
5,2026,1.15,1244.957143,172,113,16020,12.86791284,1286.791284,0,服务安全,无,1.15,0.5258132956,52.58132956,0.6046852899,60.46852899,安全,0.5258132956,52.58132956,0.6046852899,60.46852899,安全,0.0,0.0,0.3953147101,39.53147101,无,无,无,无,否,低,常规监测，暂不新增
5,2027,1.3225,1431.700714,172,113,16020,11.18948942,1118.948942,0,服务安全,无,1.3225,0.5258132956,52.58132956,0.6953880834,69.53880834,安全,0.5258132956,52.58132956,0.6953880834,69.53880834,安全,0.0,0.0,0.3046119166,30.46119166,无,无,无,无,否,低,常规监测，暂不新增
5,2028,1.520875,1646.455821,172,113,16020,9.729990803,972.9990803,0,服务安全,无,1.520875,0.5258132956,52.58132956,0.7996962959,79.96962959,安全,0.5258132956,52.58132956,0.7996962959,79.96962959,安全,0.0,0.0,0.2003037041,20.03037041,无,无,无,无,否,低,常规监测，暂不新增
6,2026,1.15,1156.571429,124,81,11540,9.977766798,997.7766798,0,服务安全,无,1.15,0.3656360241,36.56360241,0.4204814277,42.04814277,安全,0.3113787171,31.13787171,0.3580855247,35.80855247,安全,0.06239590305,6.239590305,0.6419144753,64.19144753,无,无,无,无,否,低,常规监测，暂不新增
6,2027,1.3225,1330.057143,124,81,11540,8.676318955,867.6318955,0,服务安全,无,1.3225,0.3656360241,36.56360241,0.4835536419,48.35536419,安全,0.3113787171,31.13787171,0.4117983534,41.17983534,安全,0.07175528851,7.175528851,0.5882016466,58.82016466,无,无,无,无,否,低,常规监测，暂不新增
6,2028,1.520875,1529.565714,124,81,11540,7.544625178,754.4625178,0,服务安全,无,1.520875,0.3656360241,36.56360241,0.5560866882,55.60866882,安全,0.3113787171,31.13787171,0.4735681064,47.35681064,安全,0.08251858178,8.251858178,0.5264318936,52.64318936,无,无,无,无,否,低,常规监测，暂不新增
7,2026,1.15,692.7928571,162,108,15120,21.82470539,2182.470539,0,服务安全,无,1.15,0.3030983386,30.30983386,0.3485630894,34.85630894,安全,0.3030983386,30.30983386,0.3485630894,34.85630894,安全,0.0,0.0,0.6514369106,65.14369106,无,无,无,无,否,低,常规监测，暂不新增
7,2027,1.3225,796.7117857,162,108,15120,18.97800468,1897.800468,0,服务安全,无,1.3225,0.3030983386,30.30983386,0.4008475528,40.08475528,安全,0.3030983386,30.30983386,0.4008475528,40.08475528,安全,0.0,0.0,0.5991524472,59.91524472,无,无,无,无,否,低,常规监测，暂不新增
7,2028,1.520875,916.2185536,162,108,15120,16.50261277,1650.261277,0,服务安全,无,1.520875,0.3030983386,30.30983386,0.4609746857,46.09746857,安全,0.3030983386,30.30983386,0.4609746857,46.09746857,安全,0.0,0.0,0.5390253143,53.90253143,无,无,无,无,否,低,常规监测，暂不新增
8,2026,1.15,1071.307143,153,101,14260,13.3108419,1331.08419,0,服务安全,无,1.15,0.2631753397,26.31753397,0.3026516407,30.26516407,安全,0.2631753397,26.31753397,0.3026516407,30.26516407,安全,0.0,0.0,0.6973483593,69.73483593,无,无,无,无,否,低,常规监测，暂不新增
8,2027,1.3225,1232.003214,153,101,14260,11.57464513,1157.464513,0,服务安全,无,1.3225,0.2631753397,26.31753397,0.3480493868,34.80493868,安全,0.2631753397,26.31753397,0.3480493868,34.80493868,安全,0.0,0.0,0.6519506132,65.19506132,无,无,无,无,否,低,常规监测，暂不新增
8,2028,1.520875,1416.803696,153,101,14260,10.06490881,1006.490881,0,服务安全,无,1.520875,0.2631753397,26.31753397,0.4002567948,40.02567948,安全,0.2631753397,26.31753397,0.4002567948,40.02567948,安全,0.0,0.0,0.5997432052,59.97432052,无,无,无,无,否,低,常规监测，暂不新增
9,2026,1.15,1324.635714,177,118,16520,12.47135331,1247.135331,0,服务安全,无,1.15,0.9447459299,94.47459299,1.086457819,108.6457819,过载风险,0.9447459299,94.47459299,1.086457819,108.6457819,过载风险,0.0,0.0,-0.08645781938,-8.645781938,2026,2026,2026,2026,否,高,先做逐时复核；建议配网增容、提高需求响应比例
9,2027,1.3225,1523.331071,177,118,16520,10.84465505,1084.465505,0,服务安全,无,1.3225,0.9447459299,94.47459299,1.249426492,124.9426492,过载风险,0.9447459299,94.47459299,1.249426492,124.9426492,过载风险,0.0,0.0,-0.2494264923,-24.94264923,2026,2026,2026,2026,否,高,先做逐时复核；建议配网增容、提高需求响应比例
9,2028,1.520875,1751.830732,177,118,16520,9.430134828,943.0134828,0,服务安全,无,1.520875,0.9447459299,94.47459299,1.436840466,143.6840466,过载风险,0.9447459299,94.47459299,1.436840466,143.6840466,过载风险,0.0,0.0,-0.4368404661,-43.68404661,2026,2026,2026,2026,否,高,先做逐时复核；建议配网增容、提高需求响应比例
10,2026,1.15,847.2214286,74,48,6880,8.120663345,812.0663345,0,服务安全,无,1.15,0.2831158561,28.31158561,0.3255832345,32.55832345,安全,0.2831158561,28.31158561,0.3255832345,32.55832345,安全,0.0,0.0,0.6744167655,67.44167655,无,无,无,无,否,低,常规监测，暂不新增
