区域,实际典型日均需求,LOOCV折外预测,折外相对误差,全样本拟合值,样本内相对误差,短期预测值
1,17884.285714,16700.902847,6.616886,17042.423028,4.707276,17042.423028
2,16504.428571,15996.259141,3.078988,16115.286917,2.357801,16115.286917
3,12828.000000,15397.277591,20.028668,14789.726470,15.292536,14789.726470
4,18694.571429,18944.019784,1.334336,18868.942691,0.932737,18868.942691
5,15076.428571,13682.253207,9.247385,13912.818639,7.718074,13912.818639
6,16940.000000,14918.709165,11.932059,15245.168239,10.004910,15245.168239
7,7274.000000,11997.771251,64.940490,10647.287289,46.374585,10647.287289
8,8452.857143,12638.616693,49.518872,11911.137518,40.912561,11911.137518
9,14956.000000,6852.772645,54.180445,9610.929521,35.738637,9610.929521
10,9396.428571,10389.519752,10.568815,9863.279688,4.968389,9863.279688
