时段,平均负荷_Lt,是否峰值时段,是否谷值时段
00-01,94.100000,否,否
01-02,43.400000,否,否
02-03,34.600000,否,否
03-04,19.000000,否,是
04-05,26.300000,否,否
05-06,169.800000,否,否
06-07,340.200000,否,否
07-08,625.600000,否,否
08-09,567.000000,否,否
09-10,560.600000,否,否
10-11,604.100000,否,否
11-12,824.800000,否,否
12-13,956.000000,否,否
13-14,743.600000,否,否
14-15,700.300000,否,否
15-16,679.700000,否,否
16-17,1051.400000,否,否
17-18,1424.700000,是,否
18-19,1362.900000,否,否
19-20,1191.200000,否,否
20-21,878.300000,否,否
21-22,549.700000,否,否
22-23,371.900000,否,否
23-00,172.900000,否,否
